taxon_name,trait_name,entity_measured,trait_value,units,value_type
Polyscias sambucifolia subsp. Short leaflets (V.Stajsic 196) Vic. Herbarium,leaf_length,leaves,30,cm,maximum
Pomaderris andromedifolia f. andromedifolia,leaf_length,leaves,2,cm,minimum
Pomaderris andromedifolia f. andromedifolia,leaf_length,leaves,5,cm,maximum
Pomaderris andromedifolia f. narrow-leaved,leaf_length,leaves,1,cm,minimum
Pomaderris andromedifolia f. narrow-leaved,leaf_length,leaves,5,cm,maximum
Pomaderris andromedifolia f. small-leaved,leaf_length,leaves,1,cm,minimum
Pomaderris andromedifolia f. small-leaved,leaf_length,leaves,2,cm,maximum
Pothos longipes,leaf_length,lamina,2,cm,minimum
Pothos longipes,leaf_length,lamina,12,cm,maximum
Pothos longipes,leaf_length,lamina,1.5,cm,minimum
Pothos longipes,leaf_length,lamina,5,cm,maximum
Pothos longipes,leaf_length,lamina,2,cm,minimum
Pothos longipes,leaf_length,lamina,12,cm,maximum
Pothos longipes,leaf_length,lamina,1.5,cm,minimum
Pothos longipes,leaf_length,lamina,5,cm,maximum
Proiphys cunninghamii,leaf_length,lamina,10,cm,minimum
Proiphys cunninghamii,leaf_length,lamina,25,cm,maximum
Pseuderanthemum variabile,leaf_length,lamina,2,cm,minimum
Pseuderanthemum variabile,leaf_length,lamina,7,cm,maximum
Psilocaulon granulicaule,leaf_length,leaves,15,mm,maximum
Pteris nipponica,leaf_length,fronds,10,cm,minimum
Pteris nipponica,leaf_length,fronds,30,cm,maximum
Pteris nipponica,leaf_length,pinnules,10,cm,minimum
Pteris nipponica,leaf_length,pinnules,20,cm,maximum
Ptilotus erubescens,leaf_length,leaves,3,cm,maximum
Ptilotus exaltatus,leaf_length,leaves,50,mm,minimum
Ptilotus exaltatus,leaf_length,leaves,200,mm,maximum
Ptilotus extenuatus,leaf_length,leaves,12,mm,maximum
Ptilotus gaudichaudii,leaf_length,leaves,1,cm,minimum
Ptilotus gaudichaudii,leaf_length,leaves,3,cm,maximum
Ptilotus indivisus,leaf_length,leaves,1.5,cm,minimum
Ptilotus indivisus,leaf_length,leaves,2.5,cm,maximum
Ptilotus latifolius,leaf_length,leaves,1,cm,minimum
Ptilotus latifolius,leaf_length,leaves,3,cm,maximum
Ptilotus leucocoma,leaf_length,leaves,1,cm,minimum
Ptilotus leucocoma,leaf_length,leaves,3,cm,maximum
Ptilotus macrocephalus,leaf_length,leaves,5,cm,maximum
Ptilotus modestus,leaf_length,stem_leaves,5,mm,minimum
Ptilotus modestus,leaf_length,stem_leaves,25,mm,maximum
Ptilotus nobilis,leaf_length,leaves,5,cm,minimum
Ptilotus nobilis,leaf_length,leaves,15,cm,maximum
Ptilotus obovatus,leaf_length,leaves,1,cm,minimum
Ptilotus obovatus,leaf_length,leaves,4,cm,maximum
Ptilotus polystachyus,leaf_length,leaves,10,cm,maximum
Ptilotus remotiflorus,leaf_length,leaves,6,mm,maximum
Ptilotus semilanatus,leaf_length,leaves,20,mm,minimum
Ptilotus semilanatus,leaf_length,leaves,60,mm,maximum
Ptilotus seminudus,leaf_length,leaves,2,cm,minimum
Ptilotus seminudus,leaf_length,leaves,5,cm,maximum
Ptilotus sessilifolius,leaf_length,leaves,1,cm,minimum
Ptilotus sessilifolius,leaf_length,leaves,5,cm,maximum
Ptilotus spathulatus,leaf_length,leaves,2,cm,minimum
Ptilotus spathulatus,leaf_length,leaves,5,cm,maximum
Ptisana howeana,leaf_length,fronds,4,m,maximum
Ptisana howeana,leaf_length,pinnules,6,cm,minimum
Ptisana howeana,leaf_length,pinnules,9,cm,maximum
Pultenaea cunninghamii,leaf_length,leaves,8,mm,minimum
Pultenaea cunninghamii,leaf_length,leaves,22,mm,maximum
Pultenaea forsythiana,leaf_length,leaves,7,mm,minimum
Pultenaea forsythiana,leaf_length,leaves,30,mm,maximum
Pultenaea furcata,leaf_length,leaves,7.3,mm,minimum
Pultenaea furcata,leaf_length,leaves,18.7,mm,maximum
Pultenaea mutabilis,leaf_length,leaves,6.1,mm,minimum
Pultenaea mutabilis,leaf_length,leaves,21.7,mm,maximum
Pultenaea mutabilis var. angusta,leaf_length,leaves,6.1,mm,minimum
Pultenaea mutabilis var. angusta,leaf_length,leaves,18.3,mm,maximum
Pultenaea mutabilis var. mutabilis,leaf_length,leaves,9.8,mm,minimum
Pultenaea mutabilis var. mutabilis,leaf_length,leaves,21.7,mm,maximum
Pultenaea percussa,leaf_length,leaves,2.3,mm,minimum
Pultenaea percussa,leaf_length,leaves,3.9,mm,maximum
Pultenaea praecipua,leaf_length,leaves,9.2,mm,minimum
Pultenaea praecipua,leaf_length,leaves,21.6,mm,maximum
Pultenaea praecipua subsp. praecipua,leaf_length,leaves,9.2,mm,minimum
Pultenaea praecipua subsp. praecipua,leaf_length,leaves,21.6,mm,maximum
Pultenaea praecipua subsp. temperata,leaf_length,leaves,9.2,mm,minimum
Pultenaea praecipua subsp. temperata,leaf_length,leaves,21.6,mm,maximum
Pultenaea setigera,leaf_length,leaves,2,mm,minimum
Pultenaea setigera,leaf_length,leaves,4.1,mm,maximum
Pultenaea sp. New England (R.Coveny 16631),leaf_length,leaves,3,mm,minimum
Pultenaea sp. New England (R.Coveny 16631),leaf_length,leaves,12,mm,maximum
Pultenaea sp. Werrikimbe NP (L.M. Copeland 4477),leaf_length,leaves,8,mm,minimum
