Species,Data source,FAMILY,Major Lifeform (McIntyre et al 1995),"Hemicryptophyte type Pr = protohemicrytophyte, P= partial rosette",Disperal Unit,Source,Vegetative Spread,Source of vegetative spread data,Life Cycle (Tremont 1994),life cycle notes,Growth Form (Tremont 1994),growth form notes,Seed Weight (mg),source of seed weight data,Frequency? -rarity measure,Present in soil seedbank,Source_for_seedbank_data,seed_mass_duplicate_AusTraits,Seed Weight (mg)_filtered
Calotis scabiosifolia,(McIntyre et al 1995) for other Calotis spp.,ASTERACEAE,H,pr,A,(Benson and McDougall 1994),Y,(Benson and McDougall 1994),P,NA,Tf,NA,NA,NA,0.5,NA,NA,NA,NA
Calotis scapigera,(McIntyre et al 1995) for other Calotis spp.,ASTERACEAE,H,pr,A,NA,Y,Walsh and Entwistle 1999),P,NA,Tf,NA,1.3,Williams unpublished data,0.5,A,(Lunt and Morgan 1999),Duplicate of Williams_2020_1_031,NA
Carex breviculmis,(McIntyre et al 1995),CYPERACEAE,H,E,U,NA,N,NA,P,NA,E,NA,0.642,Moles; Westoby et al (1990) Ecology 71:1307-1315,16.7,P,"(Hill and French 2003, Marsden-Smedley et al 1997, Morgan 1998b)",Duplicate of Morgan_2011_2_027,NA
Carex inversa,(McIntyre et al 1995),CYPERACEAE,H,E,U,NA,N,NA,P,NA,Tf,NA,0.697,Clarke et al 2000,8.46,A,"(Lunt and Morgan 1999, Grant and MacGregor 2001)",NA,0.697
Centipeda minima,"(Benson and McDougall 1994, Walsh and Entwistle 1999 )",ASTERACEAE,T,NA,H2O,NA,N,"(Benson and McDougall 1994, Walsh and Entwistle 1999 )",A,NA,M,NA,NA,NA,0.5,NA,NA,NA,NA
Centrolepis aristata,NA,CENTROLEPIDACEAE,T,NA,U,NA,N,NA,A,NA,Tf,NA,NA,NA,2,P,"(Enright and Kintrup 2001, Marsden-Smedley et al 1997)",NA,NA
Centrolepis strigosa ssp. strigosa,NA,CENTROLEPIDACEAE,T,NA,U,NA,N,NA,A,NA,Tf,NA,NA,NA,1.78,P,"(Lunt 1997, Enright and Kintrup 2001, Marsden-Smedley et al 1997)",NA,NA
Chamaescilla corymbosa var. corymbosa,"(Lunt 1997, Walsh and Entwistle 1999)",LILIACEAE,G,NA,U,NA,N,NA,P,NA,R,NA,NA,NA,0.5,A,(Lunt 1997),NA,NA
Cheilanthes austrotenuifolia,(McIntyre et al 1995) for C.sieberi,ADIANTACEAE,H,Pr,M,NA,Y,NA,P,NA,Tf,NA,NA,NA,6.24,NA,NA,NA,NA
Cheilanthes sieberi,(McIntyre et al 1995) for C.sieberi,ADIANTACEAE,H,Pr,M,NA,Y,NA,P,NA,Tf,NA,NA,NA,3.34,P,"(Lunt 1997, Hill and French 2003) Lunt and Morgan 1999 suggest Absence",NA,NA
Chloris truncata,(McIntyre et al 1995),POACEAE,H,V,A,W according to Lunt and Morgan 1999),Y,NA,P,NA,Tf,NA,0.108,Moles; Lord et al. (1997) J. of Biogeography 24: 204-211,20.49,A,(Lunt and Morgan 1999) Grant and MacGregor 2001suggest its present,Duplicate of Leishman_1992_254,NA
Chrysocephalum apiculatum s.l.,(McIntyre et al 1995)(Tremont 1994),ASTERACEAE,H,P,W,NA,Y,NA,P,NA,E,NA,0.8,NA,24.05,P,"(Lunt 1995, Marsden-Smedley et al 1997, Morgan 1998b)",Duplicate of Cross_2009_11,NA
Chrysocephalum semipapposum,NA,ASTERACEAE,H,Pr,W,NA,N,NA,P,NA,E,NA,0.079,Lunt et al unpublished,0.5,A,(Marsden-Smedley et al 1997),Duplicate of Angevin_2011_19,NA
Comesperma polygaloides,(Walsh and Entwistle 1999),POLYGALACEAE,H,Pr,W,NA,Y,NA,P,NA,E,NA,NA,NA,6.24,NA,NA,NA,NA
Convolvulus erubescens,(McIntyre et al 1995),CONVOLVULACEAE,H,Pr,U,NA,N,NA,P,NA,Tr,NA,4.322,(lord et al 1997) Paul Gibson-Roy unpublished data and Lunt et al unpublished have other data,65.03,P,"(Lunt 1990 S, Marsden-Smedley et al 1997)(Morgan 1998b report absence)",Duplicate of Leishman_1992_092,NA
Craspedia glauca spp. agg. (variablis),(McIntyre et al 1995),ASTERACEAE,H,P,W,NA,N,NA,P,NA,PR,NA,0.24,Lunt et al unpublished,1.34,A,"(Lunt 1995, Marsden-Smedley et al 1997)",NA,0.24
Craspedia sp. 2 (Derrinallum),NA,ASTERACEAE,H,P,W,NA,N,NA,P,NA,PR,NA,0.63,NA,2,NA,NA,NA,0.63
Crassula decumbens var. decumbens,(Lunt 1997),CRASSULACEAE,T,NA,M,NA,N,Benson and McDougall 1995,A,NA,E,Benson and McDougall 1995,NA,NA,2.9,P,(Lunt 1990),NA,NA
Crassula sieberiana,(McIntyre et al 1995),CRASSULACEAE,T,NA,M,NA,N,NA,A,NA,E,NA,NA,NA,18.04,P,"(Lunt 1997, Gilfedder and Kirkpatrick 1993, Grant and MacGregor 2001, Marsden-Smedley et al 1997)",NA,NA
Cryptandra amara s.l.,NA,RHAMNACEAE,C,NA,Ant,NA,N,Benson and McDougall 2000,P,NA,E,NA,0.52,Moles; Westoby et al (1990) Ecology 71:1307-1315,0.5,NA,NA,Duplicate of Leishman_1993_045,NA
Cullen tenax,"Morgan 1998, (McIntyre et al 1995)",FABACEAE,H,Pr,U,NA,N,NA,P,NA,Tr,NA,5.26,"Morgan 1998, Clarke et al 2000 have similar data",0.5,P,"(Morgan 1998, Clarke et al 2000)",Duplicate of Kew_2019_1_05900,NA
Cymbonotus preissianus,NA,ASTERACEAE,H,V,W,NA,N,NA,P,NA,R,NA,NA,NA,4.9,A,(Morgan 1998b),NA,NA
Cynoglossum suaveolens,(McIntyre et al 1995) for C. australe,BORAGINACEAE,H,P,A,NA,N,NA,P,NA,PR,NA,3.117,Clarke et al 2000,5.35,NA,NA,NA,3.117
Daucus glochidiatus,(McIntyre et al 1995),APIACEAE,T,NA,A,(McIntyre et al 1993),N,NA,A,NA,E,NA,1.16,Moles; Lord et al. (1997) J. of Biogeography 24: 204-211,0.5,P,(Lunt 1997),Duplicate of Leishman_1992_193,NA
Deyeuxia quadriseta,(McIntyre et al 1995) for D parvista,POACEAE,H,E,U,NA,N,NA,P,NA,Tf,NA,1.56,Williams unpublished data,2.9,P,(Lunt 1990 S),Duplicate of Morgan_2011_2_041,NA
Dianella longifolia,(McIntyre et al 1995),LILIACEAE,H,E,I,NA,N,NA,P,NA,Tf,NA,3.33,Paul Gibson-Roy unpublished data,6.01,P,(Hill and French 2003,NA,3.33
Dianella revoluta s.l.,(McIntyre et al 1995) For D.rara,LILIACEAE,C,NA,I,NA,Y,NA,P,NA,Tf,NA,6.02,Morgan 1998,9.13,A,"(Lunt 1997, Morgan 1998b, Marsden-Smedley et al 1997)  Morgan 1998 reports presence",Duplicate of Kew_2019_1_13663,NA
Dichelachne crinita,(McIntyre et al 1995),POACEAE,H,E,A,NA,N,Could use similar spp,P,NA,Tf,NA,0.56,Paul Gibson-Roy unpublished data,35.86,A,"(Lunt and Morgan 1999, Morgan 1998b)",Duplicate of Cross_2009_15,NA
Dichondra repens,(McIntyre et al 1995),CONVOLVULACEAE,H,V,U,NA,Y,NA,P,NA,M,NA,1.08,Morgan and Lunt 1994),12.25,P,"(Lunt 1997, Marsden-Smedley et al 1997, Grant and MacGregor 2001, Hahs unpublished present, Morgan 1998b) (Lunt and Morgan 1999 absent)",Duplicate of Cross_2009_16,NA
Dillwynia cinerascens,(McIntyre et al 1995) for Dillwynia juniperina,FABACEAE,Ph,NA,U,NA,N,NA,P,NA,E,NA,4.324,Lunt et al unpublished,0.5,NA,NA,Duplicate of Morgan_2011_2_048,NA
Drosera glanduligera,NA,DROSERACEAE,tuber absent,NA,M,NA,NA,NA,P,NA,PR,NA,NA,NA,0.5,P,(Enright and Kintrup 2001) for heathy woodland,NA,NA
Drosera peltata ssp. peltata,(McIntyre et al 1995),DROSERACEAE,G,NA,M,NA,Y,NA,P,NA,PR,NA,0.009,Moles; Westoby et al (1990) Ecology 71:1307-1315,36.53,A,(Lunt and Morgan 1999)(Morgan 1998b says Present),NA,0.009
Drosera pygmaea,NA,DROSERACEAE,tuber absent,NA,M,NA,NA,NA,P,NA,R,NA,NA,NA,0.5,NA,NA,NA,NA
Drosera whittakeri ssp. aberrans,NA,DROSERACEAE,G,NA,M,NA,N,NA,P,NA,R,NA,NA,NA,4.68,P,(Enright et al 1997) for heathy woodland,NA,NA
Einadia nutans ssp. nutans,(McIntyre et al 1995),CHENOPODACEAE,C,NA,I,NA,N,NA,P,NA,Tr,NA,0.78,Williams unpublished data,2.9,P,(Gilfedder and Kirpatrick 1993),Duplicate of Morgan_2011_2_056,NA
Elymus scaber var. scaber,(McIntyre et al 1995),POACEAE,H,E,A,NA,N,NA,P,NA,Tf,NA,5.2,Williams unpublished data,36.53,A,"(Lunt and Morgan 1999, Marsden-Smedley et al 1997, Morgan 1998b)) Grant and MacGregor 2001suggest its present",Duplicate of Cross_2009_18,NA
Enchylaena tomentosa var. tomentosa,NA,CHENOPODACEAE,Ph,NA,I,Benson and McDougall 1995,N,NA,P,NA,E,NA,10.76,Williams unpublished data,1.78,NA,NA,NA,10.76
Epilobium billardierianum,(McIntyre et al 1995),ONAGRACEAE,H,Pr,W,NA,Y,NA,P,NA,E,NA,NA,NA,0.5,P,"(Lunt and Morgan 1999) (Marsden-Smedley et al 1997, Wang 1997 suggests its present in wet forest)",NA,NA
Epilobium hirtigerum,(McIntyre et al 1995),ONAGRACEAE,H,Pr,W,NA,Y,NA,P,NA,E,NA,NA,NA,0.5,NA,NA,NA,NA
Erodium crinitum,NA,GERANIACEAE,T,NA,A,NA,N,NA,A,NA,E,NA,4.26,Williams unpublished data,2,NA,NA,Duplicate of Morgan_2011_2_059,NA
Eryngium ovinum,(McIntyre et al 1995),APIACEAE,H,P,U,NA,N,check,P,NA,PR,NA,1.95,Morgan 1998,48.55,P,(Lunt and Morgan 1999 S),Duplicate of Kew_2019_1_00510,NA
Eryngium vesiculosum,NA,APIACEAE,H,P,U,NA,N,NA,P,NA,PR,NA,NA,NA,2.23,NA,NA,NA,NA
Eucalyptus camaldulensis,NA,MYTACEAE,Ph,NA,M,NA,N,NA,P,NA,E,NA,0.844,Mean Moles data,5.12,A,Eucalypts lack a soil seed bank ?,NA,0.844
Eucalyptus melliodora,Clarke et al 2000,MYTACEAE,Ph,NA,M,NA,N,NA,P,NA,E,NA,0.278,Clarke et al 2000,0.5,A,NA,Duplicate of Ooi_2007_06072,NA
Euchiton involucratus s.s.,NA,ASTERACEAE,H,P,W,NA,Y,"Benson and McDougall 1994, Walsh and Entwistle 1999)",P,NA,E,NA,NA,NA,0.5,P,(Marsden-Smedley et al 1997),NA,NA
Euchiton sphaericus,NA,ASTERACEAE,T,NA,W,NA,N,NA,A,NA,E,NA,NA,NA,0.5,NA,NA,NA,NA
Eutaxia microphylla,Morgan 1998,FABACEAE,C,NA,U,NA,N,NA,P,NA,M,NA,3.818,Lunt et al unpublished,2,P,"(Morgan 1998, Morgan 1998b)",Duplicate of Morgan_2011_2_063,NA
Geranium potentilloides,(McIntyre et al 1995),GERANIACEAE,H,Pr,A,Benson and McDougall 1997,N,NA,P,NA,Tr,NA,NA,NA,0.5,P,"(Grant and MacGregor 2001, Wang 1997) (Marsden-Smedley et al 1997 report absence)",NA,NA
Geranium retrorsum s.l.,NA,GERANIACEAE,H,E,U,NA,N,NA,P,NA,Tf,NA,2.5,Paul Gibson-Roy unpublished data,12.92,A,(Morgan 1998b),Duplicate of Morgan_2011_2_064,NA
Geranium solanderi s.l.,(McIntyre et al 1995),GERANIACEAE,H,Pr,U,NA,N,NA,P,NA,Tr,NA,1.14,Williams unpublished data,2.67,P,(Marsden-Smedley et al 1997),Duplicate of Cross_2009_21,NA
Glycine latrobeana,Walsh and Enwistle 1996,FABACEAE,H,Pr,U,NA,N,NA,P,NA,Tr,NA,6.67,Lunt et al unpublished,3.79,NA,NA,Duplicate of Morgan_2011_2_065,NA
Glycine tabacina s.l.,(McIntyre et al 1995),FABACEAE,H,Pr,U,NA,Y,NA,P,NA,Tr,NA,8.08,Williams unpublished data,2,P,"(Hill and French 2003, McIntyre et al 1995)",Duplicate of Morgan_2011_2_066,NA
Gonocarpus tetragynus,(McIntyre et al 1995),HALORAGACEAE,C,NA,U,NA,Y,NA,P,NA,E,NA,NA,NA,13.59,P,(Marsden-Smedley et al 1997)(Morgan 1998b reports absence),NA,NA
Goodenia pinnatifida,NA,GOODENIACEAE,H,P,Ant,Benson and McDougall 1997,N,NA,P,NA,PR,NA,3.27,Morgan 1998,14.03,A,(Morgan 1998),Duplicate of Kew_2019_1_03857,NA
Haloragis aspera,(Benson and McDougall 1997),HALORAGACEAE,H,Pr,U,NA,Y,NA,P,NA,E,NA,NA,NA,1.34,NA,NA,NA,NA
Haloragis heterophylla,(McIntyre et al 1995),HALORAGACEAE,H,Pr,U,NA,N,NA,P,NA,E,NA,NA,NA,12.47,A,"(Lunt 1997, Lunt and Morgan 1999, Grant and MacGregor 2001)",NA,NA
Hardenbergia violacea,(McIntyre et al 1995),FABACEAE,C,NA,Ant,NA,N,NA,P,NA,Tr,NA,39.64,Clarke et al 2000,0.5,P,"(Clarke et al 2000, Benson and McDougall 1997)",NA,39.64
Helichrysum rutidolepis s.l.,(Benson and McDougall 1994),ASTERACEAE,H,Pr,W,NA,Y,NA,P,NA,Tr,NA,NA,NA,1.34,A,(Lunt and Morgan 1999),NA,NA
Helichrysum scorpioides,(McIntyre et al 1995),ASTERACEAE,H,Pr,W,NA,Y,NA,P,NA,E,NA,0.34,Lunt et al unpublished,0.5,NA,NA,NA,0.34
Hibbertia stricta,NA,DILLENIACEAE,C,NA,U,NA,N,NA,P,NA,E,NA,NA,NA,0.5,NA,NA,NA,NA
Homopholis proluta,NA,POACEAE,H,E,A,NA,N,NA,P,NA,TS,NA,NA,NA,5.35,NA,NA,NA,NA
Hydrocotyle laxiflora,(McIntyre et al 1995),APIACEAE,H,E,U,NA,Y,NA,P,NA,Tr,NA,NA,NA,2.45,P,(Grant and MacGregor 2001),NA,NA
Hymenanthera dentata s.l.,(McIntyre et al 1995),VIOLACEAE,Ph,NA,I,Staley and Lill 2002),N,NA,P,NA,E,NA,11.825,Williams unpublished data,4.01,A,(Marsden-Smedley et al 1997 only one site),NA,11.825
Hypericum gramineum,(McIntyre et al 1995),CLUSIACEAE,H,Pr,M,NA,N,NA,P,NA,E,NA,0.015,Willis et al 1997,20.94,P,"(Gilfedder and Kirpatrick 1993, Lunt and Morgan 1999 S, Grant and MacGregor 2001, Hill and French 2003, Wills et al 1997, Marsden-Smedley et al 1997, Morgan 1998b)",Duplicate of Meers_2010_077,NA
Hypericum japonicum,(McIntyre et al 1995),CLUSIACEAE,H,Pr,M,NA,Y,NA,P,NA,M,NA,NA,NA,0.5,P,(Lunt 1997) (Marsden-Smedley et al 1997 report absence but only one site),NA,NA
Hypoxis glabella var. glabella,NA,LILIACEAE,G,NA,NA,NA,N,NA,P,NA,Tf,NA,NA,NA,1.34,NA,NA,NA,NA
Isoetopsis graminifolia,NA,ASTERACEAE,T,NA,U,NA,N,NA,A,NA,R,NA,0.9,Moles; Lord et al. (1997) J. of Biogeography 24: 204-211,0.5,NA,NA,Duplicate of Leishman_1992_013,NA
Isolepis marginata,NA,CYPERACEAE,T,NA,U,NA,N,NA,A,NA,Tf,NA,NA,NA,7.8,P,"(Marsden-Smedley et al 1997, Morgan 1998b)",NA,NA
Isolepis nodosa,NA,CYPERACEAE,H,E,U,NA,Y,NA,P,NA,TS,NA,0.3,Williams unpublished data,0.5,NA,NA,NA,0.3
Isotoma fluviatilis ssp. australis,NA,CAMPANULACEAE,H,Pr,U,NA,N,NA,P,NA,M,NA,NA,NA,0.5,NA,NA,NA,NA
Ixiolaena sp. 1 Leptorrynchos panetiodes,NA,ASTERACEAE,C,NA,W,NA,N,NA,P,NA,E,NA,NA,NA,0.5,NA,NA,NA,NA
Juncus bufonius,(McIntyre et al 1995),JUNCACEAE,T,NA,M,NA,N,NA,A,NA,Tf,NA,0.019,Average of Moles data,21.6,P,"(Lunt 1997, Gilfedder and Kirkpatrick 1993, Lunt and Morgan 1999, Marsden-Smedley et al 1997, Morgan 1998b)",NA,0.019
Juncus gregiflorus,NA,JUNCACEAE,H,E,M,NA,Y,NA,P,NA,TS,NA,NA,NA,0.5,NA,NA,NA,NA
Juncus radula,(Lunt and Morgan 1999),JUNCACEAE,H,E,M,NA,Y,NA,P,NA,TS,NA,NA,NA,2.23,P,(Lunt and Morgan 1999 M),NA,NA
Juncus subsecundus,(McIntyre et al 1995),JUNCACEAE,H,E,M,NA,N,NA,P,NA,Tf,NA,NA,NA,22.05,P,(Lunt 1990),NA,NA
Juncus usitatus,NA,JUNCACEAE,H,E,M,NA,Y,NA,P,NA,TS,NA,NA,NA,0.5,NA,NA,NA,NA
Kennedia prostrata,(Morgan 1998),FABACEAE,C,NA,U,NA,N,NA,P,NA,Tr,NA,15.69,Morgan 1998,2.67,P,(Marsden-Smedley et al 1997),Duplicate of Kew_2019_1_06258,NA
Lepidosperma curtisiae,(Walsh and Entwistle 1994),CYPERACEAE,H,E,Ant,NA,N,NA,P,NA,Tf,NA,3.2,Williams unpublished data,0.5,NA,NA,Duplicate of Williams_2020_1_150,NA
Lepidosperma gunnii,NA,CYPERACEAE,H,E,Ant,NA,N,NA,P,NA,Tf,NA,NA,NA,0.5,A,NA,NA,NA
Lepidosperma laterale,NA,CYPERACEAE,H,E,Ant,Benson and Mcdougall 2002,N,NA,P,NA,Tf,NA,2.848,Moles; Westoby et al (1990) Ecology 71:1307-1315,0.5,NA,NA,NA,2.848
Leptorhynchos squamatus s.l.,(McIntyre et al 1995),ASTERACEAE,H,P,W,NA,N,NA,P,NA,PR,NA,0.1,Morgan 1998,34.52,A,"(Lunt 1995, Marsden-Smedley et al 1997)(Lunt and Morgan 1999 suggest its present in low numbers",NA,0.1
Leptorhynchos tenuifolius,NA,ASTERACEAE,H,Pr,W,NA,N,NA,P,NA,E,NA,0.89,"Morgan 1998, Lunt unpublished have other data",3.34,A,Morgan 1998,Duplicate of Kew_2019_1_01902,NA
Leucochrysum albicans,(McIntyre et al 1995),ASTERACEAE,H,P,W,NA,N,NA,P,NA,E,NA,0.312,Clarke et al 2000,2.67,P,(Gilfedder and Kirpatrick 1993),NA,0.312
Linum marginale,(McIntyre et al 1995),LINACEAE,H,Pr,U,NA,N,NA,P,NA,E,NA,1.25,"Paul Gibson-Roy unpublished data, Lunt et al unpublished have other data",3.56,A,(Lunt and Morgan 1999)(Marsden-Smedley et al 1997 report presence),Duplicate of Morgan_2011_2_076,NA
Lissanthe strigosa ssp. subulata,(McIntyre et al 1995),EPACRIDACEAE,C,NA,I,NA,N,NA,P,NA,E,NA,8.965,Clarke et al 2000,0.5,NA,NA,Duplicate of Williams_2020_1_631,NA
Lobelia pratioides,NA,CAMPANULACEAE,H,Pr,U,NA,Y,NA,P,NA,M,NA,NA,NA,12.47,A,(Lunt and Morgan 1999),NA,NA
Lomandra filiformis,(McIntyre et al 1995),XANTHORRHEACEAE,H,E,U,NA,N,NA,P,NA,Tf,NA,10,Paul Gibson-Roy unpublished data,12.69,A,(Morgan 1998b),NA,10
Lomandra longifolia,(McIntyre et al 1995),XANTHORRHEACEAE,H,E,U,NA,N,NA,P,NA,TS,NA,12.275,Clarke et al 2000,0.5,A,(Lunt 1997) Marsden-Smedley et al 1997 suggest present,NA,12.275
Lomandra micrantha s.l.,NA,XANTHORRHEACEAE,H,E,U,NA,N,NA,P,NA,Tf,NA,10.2,Williams unpublished data,2.67,A,(Morgan 1998b),Duplicate of Morgan_2014_106,NA
Lomandra nana,Lunt 1997,XANTHORRHEACEAE,H,E,U,NA,N,NA,P,NA,Tf,NA,0.6375,Williams unpublished data,13.14,A,"(Lunt 1997, Marsden-Smedley et al 1997, Morgan 1998b)",NA,0.6375
Lotus australis,(McIntyre et al 1995),FABACEAE,H,Pr,U,NA,N,NA,P,NA,E,NA,2.83,"Morgan 1998, Clarke has other data",0.5,P,(Clarke et al 2000),Duplicate of Kew_2019_1_06281,NA
