Taxon_ALA,Latitude,Longitude,source,ldmc,lma,lamina_size,thickness,sala,wood_dens,N_percent,dC13,delta,cica,Narea,MAP,MAT
Eucalyptus blakelyi,-29.74583333,151.5605556,CCA,NA,200.9610667,1514.333333,33.3,3.018963,0.661159,1.526,-27.4,19.94653506,0.687899781,3.066665877,850.5,13.85
Eucalyptus brassiana,-14.615,143.4511111,CCA,NA,156.6435,1351.333333,38.9,1.262668333,0.639072,1.413,-29.05,21.67979814,0.764592838,2.213372655,1420.9,24.75
Eucalyptus bridgesiana,-36.32027778,146.6791667,CCA,NA,203.3690667,2164.333333,37.6666667,1.671266,0.656325,1.291,-28.32,20.91223448,0.730629844,2.625494651,832,13.95
Eucalyptus angophoroides,-37.48222222,149.5766667,CCA,NA,155.97555,2817.5,51.825,1.112196,0.645034,1.186,-29.29,21.9324,0.775769911,1.849870023,883.7,14.95
Eucalyptus rodwayi,-42.12305556,146.8913889,CCA,NA,NA,NA,32.9166667,2.403973667,0.602913667,2.004,-28.21,20.79667418,0.725516557,NA,756.2,7.85
Eucalyptus yarraensis,-37.87722222,145.1930556,CCA,NA,128.5394,1589,41.975,1.2078355,0.6808745,1.721,-28.2,20.78616999,0.72505177,2.212163074,812.8,14.15
Eucalyptus nortonii,-37.19111111,147.815,CCA,NA,230.6245,3024.666667,47.25,2.217388333,0.655034,1.154,-27.81,20.37667534,0.706932537,2.66140673,670.3,12.25
Eucalyptus pseudoglobulus,-37.87777778,147.8541667,CCA,NA,270.09195,3459.5,37.8,2.0339635,0.657238,1.145,-28.62,21.22753196,0.74458106,3.092552828,688.5,14.55
Eucalyptus morrisbyi,-42.95277778,147.5072222,CCA,NA,180.5943,1475.666667,39.3166667,1.704410667,0.650958333,1.88,-29.12,21.75346078,0.767852247,3.39517284,699.6,12.45
Eucalyptus rubida rubida,-35.74694444,149.3758333,CCA,NA,NA,NA,35.85,1.775033667,0.615430667,1.29,-27.74,20.30321108,0.703681906,NA,736.3,10.75
Eucalyptus conspicua,-37.27388889,149.7980556,CCA,NA,175.6504333,1592.333333,28.55,1.680270333,0.594398,1.411,-28.58,21.18548105,0.7427204,2.478427614,827.5,14.85
Eucalyptus cinerea triplex,-36.30722222,146.6677778,CCA,NA,158.1227333,1138.666667,37.6,2.139136667,0.602716333,1.232,-29.13,21.76398488,0.768317915,1.948072075,812.6,13.95
Eucalyptus cephalocarpa,-37.87722222,145.1930556,CCA,NA,168.6764,1687.5,40.075,2.225193,0.6801585,1.27,-29.63,22.29046652,0.791613563,2.14219028,812.8,14.15
Eucalyptus baeuerlenii,-35.54277778,149.9580556,CCA,NA,234.1633,1096.666667,37.0333333,1.840514333,0.994131,1.3,-28.12,20.7021443,0.721333818,3.0441229,969.4,11.65
Eucalyptus orbifolia,-29.62055556,118.9122222,CCA,NA,324.9444333,1058,53.7166667,4.622693333,0.772778667,0.991,-27.78,20.34518936,0.705539352,3.220199334,325.8,19.35
Eucalyptus socialis socialis,-34.50305556,138.6947222,CCA,NA,267.5695,975.6666667,43.8333333,3.702879,0.726263333,1.009,-29.44,22.0903396,0.782758389,2.699776255,463.9,16.45
Eucalyptus saxatilis,-37.066667,148.366667,CCA,NA,208.9953333,1140.333333,31.5833333,2.708028,0.708061,1.495,-27.3,19.8416778,0.68326008,3.124480233,658.6,12.35
Eucalyptus grandis,-31.69166667,152.7341667,CCA,NA,137.73835,1809,33.9,2.0877385,0.524216,1.353,-26.57,19.0768725,0.649419137,1.863599876,1468.5,18.25
Corymbia abergiana,-19.00722222,146.0911111,CCA,NA,219.1984667,2375.666667,33.2666667,1.708173667,0.700297,0.674,-26.25,18.74197689,0.634600747,1.477397665,1512.9,19.25
Corymbia ferriticola,-26.36333333,118.4094444,CCA,NA,202.2644333,686.3333333,62.85,4.659321667,0.738072667,1.108,-27.12,19.65298906,0.674911021,2.241089921,250.6,22.85
Eucalyptus dumosa,-33.83638889,140.9458333,CCA,NA,NA,NA,61.9666667,3.1291715,0.799602333,0.815,-26.62,19.12921983,0.651735391,NA,259.8,18.15
Eucalyptus rigidula,-30.05444444,116.2552778,CCA,NA,NA,NA,53.4833333,2.504198,0.777330667,0.746,-29.14,21.7745092,0.768783593,NA,344.1,18.75
Eucalyptus griffithsii,-30.391944,121.32,CCA,NA,318.7031,1074.666667,47.7166667,4.2232145,0.825077333,NA,NA,NA,NA,NA,311.4,18.95
Eucalyptus formanii broad,-30.36388889,119.6338889,CCA,NA,245.1184667,234.3333333,40.7333333,2.377299,0.778223,1.285,-27.92,20.49214056,0.712041618,3.149772297,336,18.95
Eucalyptus insularis,-33.97333333,122.1313889,CCA,NA,146.24545,125,119.15,2.729696,0.8218425,1.249,-28.81,21.42732112,0.753421289,1.826605671,718.5,16.55
Eucalyptus brandiana,-34.07694444,119.5244444,CCA,NA,711.3914667,10855,58.3666667,2.593154333,0.77411,0.545,-25.98,18.45957989,0.622105305,3.877083493,481.1,16.35
Eucalyptus socialis eucentrica,-23.12888889,119.2761111,CCA,NA,294.1913,1256,32.4833333,3.129220333,0.744613,1.1,-28.91,21.53250471,0.75807543,3.2361043,360.5,24.15
Eucalyptus camfieldii,-33.64333333,151.2622222,CCA,NA,347.9466,1847.666667,74.8,3.427663333,0.625816,0.683,-25.77,18.24004599,0.612391415,2.376475278,1267.5,17.15
Eucalyptus capitanea,-31.79277778,133.43,CCA,NA,403.2757,1692.666667,45.5,3.220165,0.833613,0.514,-26.14,18.62690736,0.629509175,2.072837098,268,17.15
Eucalyptus lucasii,-26.59111111,120.1163889,CCA,NA,261.4198222,1135.651084,47.79166665,2.073295347,0.7310335,1.442,-24.665,17.0867663,0.561361341,3.772732776,270.8,22.55
Eucalyptus smithii,-36.00416667,149.6577778,CCA,NA,180.4889617,1275.41015,47.90416665,1.434649205,0.663942834,1.6305,-26.975,19.50114074,0.668192068,2.937791551,896.7,10.25
Eucalyptus hallii,-25.17,152.3722222,CCA,NA,208.2297586,2585.408033,38.49166667,2.011072207,0.660839833,1.0865,-28.33,20.9228893,0.731101296,2.262128832,933.1,21.05
Eucalyptus largiflorens,-34.01333333,141.9258333,CCA,NA,243.4025434,998.7252002,45.61666665,1.259536301,0.715475167,1.0515,-28.5,21.10180549,0.739017942,2.558089447,267.1,17.75
Eucalyptus foecunda,-31.94194444,115.7797222,CCA,NA,233.0177409,388.7995,46.74999999,3.717728485,0.761281667,1.174,-28.545,21.14872248,0.741093915,2.737110753,759.9,18.55
Eucalyptus victrix,-24.01777778,113.4880556,CCA,NA,249.1719829,1702.9016,48.175,3.685486484,0.739257334,0.9565,-28.92,21.54311537,0.758544928,2.390129084,249,22.55
Eucalyptus lockeryi,-17.58861111,145.4647222,CCA,NA,180.9904656,915.2673,34.75416665,2.118262897,0.6152875,1.201,-28.705,21.31690624,0.748535674,2.176496712,1924.2,19.15
Eucalyptus largeana,-32.16861111,151.8880556,CCA,NA,185.3733451,1715.193867,32.27499999,1.3232787,0.724875667,1.398,-26.72,19.23395172,0.656369545,2.589591424,1282.7,15.85
