Sample,Genus,Species,Name,sp,Thickness,LMA,Aarea,Amass,LipidP,MetabolicP,NucleicP,ResidualP,Pi,EsterP,TotalP,Parea,LipidPc,MetabolicPc,NucleicPc,ResidualPc,Pic,EsterPc,TotalN,Narea,PPUE,Site,slope position,soil conductivity (uS/cm),soil pH (CaCl2),"soil P, total (mg/kg)","soil P, inorganic (mg/kg)","soil P, organic (mg/kg)","soil P, Resin (mg/kg)"
30,Hakea,flabellifolia,Hakea flabellifolia,H. flabellifolia,0.855,428,1.2,2.7,0.018,0.05,0.033,0.001,0.016,0.034,0.101,43.332,0.174,0.496,0.324,0.007,0.158,0.338,0.602,257.537,27,Badgingarra National Park location 06,Slope,27 ± 7,4.7 ± 0.1,5.5 ± 1.1,0.07 ± 0.03,5.4 ± 1.0,0.17 ± 0.02
31,Banksia,candolleana,Banksia candolleana,B. candolleana,0.563,277,17.3,62.6,0.046,0.079,0.065,0.011,0.051,0.029,0.201,55.792,0.229,0.395,0.322,0.055,0.251,0.144,0.787,218.002,311,Badgingarra National Park location 03,Slope,17 ± 1,4.6 ± 0.1,4.2 ± 0.8,0.16 ± 0.05,4.0 ± 0.7,0.27 ± 0.01
32,Banksia,candolleana,Banksia candolleana,B. candolleana,0.552,327,7,21.3,0.03,0.058,0.052,0.012,0.03,0.028,0.153,49.945,0.195,0.38,0.343,0.081,0.196,0.184,0.584,191.261,140,Badgingarra National Park location 03,Slope,17 ± 1,4.6 ± 0.1,4.2 ± 0.8,0.16 ± 0.05,4.0 ± 0.7,0.27 ± 0.01
33,Banksia,candolleana,Banksia candolleana,B. candolleana,0.402,328,4.4,13.5,0.032,0.059,0.056,0.011,0.028,0.031,0.158,51.898,0.203,0.372,0.354,0.071,0.178,0.193,0.617,202.568,86,Badgingarra National Park location 03,Slope,17 ± 1,4.6 ± 0.1,4.2 ± 0.8,0.16 ± 0.05,4.0 ± 0.7,0.27 ± 0.01
34,Banksia,candolleana,Banksia candolleana,B. candolleana,0.594,470,7.5,15.9,0.038,0.064,0.051,0.01,NA,NA,0.163,76.629,0.232,0.394,0.312,0.061,NA,NA,0.615,289.091,98,Badgingarra National Park location 03,Slope,17 ± 1,4.6 ± 0.1,4.2 ± 0.8,0.16 ± 0.05,4.0 ± 0.7,0.27 ± 0.01
35,Banksia,candolleana,Banksia candolleana,B. candolleana,0.4,381,5.4,14.1,0.03,0.059,0.056,0.012,0.029,0.03,0.157,59.751,0.194,0.376,0.355,0.075,0.187,0.189,0.684,260.541,90,Badgingarra National Park location 03,Slope,17 ± 1,4.6 ± 0.1,4.2 ± 0.8,0.16 ± 0.05,4.0 ± 0.7,0.27 ± 0.01
36,Hakea,conchifolia,Hakea conchifolia,H. conchifolia Mid,0.345,184,2.4,13.1,0.053,0.09,0.068,0.008,0.071,0.019,0.22,40.428,0.242,0.41,0.31,0.038,0.323,0.086,0.583,107.149,60,Badgingarra National Park location 08,Laterite,27 ± 1,4.5 ± 0,16.7 ± 1.8,0.52 ± 0.13,16.2 ± 1.6,0.11 ± 0.02
37,Hakea,conchifolia,Hakea conchifolia,H. conchifolia Mid,0.373,136,2.8,20.7,0.026,0.064,0.063,0.013,0.031,0.032,0.167,22.728,0.155,0.384,0.381,0.08,0.189,0.195,0.616,84.006,124,Badgingarra National Park location 08,Laterite,27 ± 1,4.5 ± 0,16.7 ± 1.8,0.52 ± 0.13,16.2 ± 1.6,0.11 ± 0.02
38,Hakea,conchifolia,Hakea conchifolia,H. conchifolia Mid,0.325,222,1.5,6.9,0.026,0.063,0.055,0.007,0.046,0.017,0.151,33.459,0.174,0.419,0.364,0.044,0.307,0.112,0.675,149.964,46,Badgingarra National Park location 08,Laterite,27 ± 1,4.5 ± 0,16.7 ± 1.8,0.52 ± 0.13,16.2 ± 1.6,0.11 ± 0.02
39,Hakea,conchifolia,Hakea conchifolia,H. conchifolia Mid,0.308,212,2.8,13,0.058,0.09,0.087,0.012,0.057,0.033,0.246,52.249,0.236,0.363,0.352,0.049,0.229,0.134,0.727,154.1,53,Badgingarra National Park location 08,Laterite,27 ± 1,4.5 ± 0,16.7 ± 1.8,0.52 ± 0.13,16.2 ± 1.6,0.11 ± 0.02
40,Hakea,conchifolia,Hakea conchifolia,H. conchifolia Mid,0.363,148,NA,NA,0.036,0.069,0.055,0.008,0.048,0.021,0.169,24.941,0.216,0.408,0.326,0.05,0.281,0.127,0.602,88.827,NA,Badgingarra National Park location 08,Laterite,27 ± 1,4.5 ± 0,16.7 ± 1.8,0.52 ± 0.13,16.2 ± 1.6,0.11 ± 0.02
41,Banksia,chamaephyton,Banksia chamaephyton,B. chamaephyton,0.582,296,14.5,48.8,0.028,0.096,0.051,0.005,0.068,0.028,0.179,53.193,0.158,0.534,0.282,0.027,0.377,0.157,0.526,155.994,272,Badgingarra National Park location 04,Slope,15 ± 5,4.6 ± 0,3.4 ± 0.6,0.12 ± 0.01,3.3 ± 0.5,0.24 ± 0.05
42,Banksia,chamaephyton,Banksia chamaephyton,B. chamaephyton,0.73,409,7.4,18.1,0.011,0.051,0.032,0.004,0.017,0.034,0.097,39.884,0.112,0.52,0.332,0.036,0.171,0.349,0.43,175.905,186,Badgingarra National Park location 04,Slope,15 ± 5,4.6 ± 0,3.4 ± 0.6,0.12 ± 0.01,3.3 ± 0.5,0.24 ± 0.05
43,Banksia,chamaephyton,Banksia chamaephyton,B. chamaephyton,0.683,341,16,47,0.028,0.067,0.054,0.005,0.015,0.052,0.154,52.365,0.182,0.437,0.35,0.031,0.1,0.337,0.579,197.111,306,Badgingarra National Park location 04,Slope,15 ± 5,4.6 ± 0,3.4 ± 0.6,0.12 ± 0.01,3.3 ± 0.5,0.24 ± 0.05
