species in Read et al.,APC species,replicate,vegetation,N-fixer,leaf,leaf area (mm2),SLA (mm2/mg),thickness (mm),N (mg/g),Narea (g/m2),P (%),Parea (g/m2),freshweight (g),dryweight (g),leaf_dry_matter_content,succulence,bending_test_MN/m2,force_to_tear_per_unit_width_N/m,work_to_shear_J/m,average_punch_strength_N/m2,work_to_tear_J/m,average_work_to_punch_kJ/m2,work_to_shear_per_width_J/m2,work_to_punch_adjusted_MJ/m2/m
Leucopogon parviflorus,Leucopogon parviflorus,3,Royal Botanic Gardens Melbourne,,simple,56,11.26,0.089,11.3,1,0.064,0.057,0.013,0.005,0.385,142.10,,,,,,,,
Leucopogon parviflorus,Leucopogon parviflorus,4,Royal Botanic Gardens Melbourne,,simple,61,12.16,0.105,14,1.15,0.064,0.052,0.011,0.005,0.455,98.68,,,,,,,,
Leucopogon parviflorus,Leucopogon parviflorus,5,Royal Botanic Gardens Melbourne,,simple,,,,15,,,,,,,,,,,,,,,
Nothofagus moorei,Nothofagus moorei,1,Royal Botanic Gardens Melbourne,,simple,1263,6.68,0.622,12.8,1.91,0.126,0.189,0.403,0.189,0.469,169.38,,,,,,,,
Nothofagus moorei,Nothofagus moorei,2,Royal Botanic Gardens Melbourne,,simple,1593,8.34,0.134,13.2,1.58,0.168,0.201,0.413,0.191,0.462,139.35,,,,,,,,
Nothofagus moorei,Nothofagus moorei,3,Royal Botanic Gardens Melbourne,,simple,1308,8.78,0.222,13.3,1.52,0.121,0.138,0.327,0.149,0.456,136.04,,,,,,,,
Nothofagus moorei,Nothofagus moorei,4,Royal Botanic Gardens Melbourne,,simple,1724,7.53,0.199,13.1,1.74,0.095,0.126,0.494,0.229,0.464,153.75,,,,,,,,
Nothofagus moorei,Nothofagus moorei,5,Royal Botanic Gardens Melbourne,,simple,1064,7.36,0.229,13.8,1.88,0.169,0.23,0.322,0.1445,0.449,166.85,,,,,,,,
Tasmannia lanceolata,Tasmannia lanceolata,1,Royal Botanic Gardens Melbourne,,simple,1049,9.62,0.342,20.4,2.12,0.081,0.084,0.338,0.109,0.322,218.34,,,,,,,,
Tasmannia lanceolata,Tasmannia lanceolata,2,Royal Botanic Gardens Melbourne,,simple,731,9.38,0.319,17,1.81,0.177,0.189,0.25,0.078,0.312,235.20,,,,,,,,
Tasmannia lanceolata,Tasmannia lanceolata,3,Royal Botanic Gardens Melbourne,,simple,1070,8.84,0.25,18.1,2.05,0.171,0.194,0.429,0.121,0.282,287.93,,,,,,,,
Tasmannia lanceolata,Tasmannia lanceolata,4,Royal Botanic Gardens Melbourne,,simple,425,11.17,0.341,17,1.52,0.061,0.055,0.159,0.038,0.239,285.04,,,,,,,,
Tasmannia lanceolata,Tasmannia lanceolata,5,Royal Botanic Gardens Melbourne,,simple,473,8.16,0.395,23.5,2.88,0.12,0.147,0.212,0.058,0.274,325.31,,,,,,,,
Viola hederacea,Viola hederacea,1,Royal Botanic Gardens Melbourne,,simple,739,28.44,0.129,19.3,0.68,0.26,0.092,0.164,0.026,0.159,186.64,,,,,,,,
Viola hederacea,Viola hederacea,2,Royal Botanic Gardens Melbourne,,simple,1578,43.84,0.191,20.2,0.46,0.136,0.031,0.367,0.036,0.098,209.71,,,,,,,,
Viola hederacea,Viola hederacea,3,Royal Botanic Gardens Melbourne,,simple,602,31.66,0.235,31.9,1.01,0.292,0.092,0.16,0.019,0.119,234.38,,,,,,,,
Viola hederacea,Viola hederacea,4,Royal Botanic Gardens Melbourne,,simple,930,40.44,0.198,32.9,0.81,0.359,0.089,0.214,0.023,0.107,205.35,,,,,,,,
Viola hederacea,Viola hederacea,5,Royal Botanic Gardens Melbourne,,simple,651,32.54,0.206,21.7,0.67,0.093,0.028,0.139,0.02,0.144,182.88,,,,,,,,
Acacia melanoxylon,Acacia melanoxylon,,Royal Botanic Gardens Melbourne,,,,,,,,,,,,,,1.12,1366,0.689,19.36,0.748,4.18,1.95,16.49
Acmena smithii,Syzygium smithii,,Royal Botanic Gardens Melbourne,,,,,,,,,,,,,,0.68,422,0.172,12.17,0.202,2.46,0.58,8.15
Agapetes meiniana,Paphia meiniana,,Royal Botanic Gardens Melbourne,,,,,,,,,,,,,,3.4,560,0.445,9.26,0.422,4.92,0.49,5.74
Anopterus glandulosus,Anopterus glandulosus,,Royal Botanic Gardens Melbourne,,,,,,,,,,,,,,0.69,548,0.227,7.52,0.253,1.9,0.55,4.65
Austrobaileya scandens,Austrobaileya scandens,,Royal Botanic Gardens Melbourne,,,,,,,,,,,,,,0.81,313,0.368,17.87,0.34,5.89,0.95,15.71
Banksia marginata,Banksia marginata,,"Gardens, Monash University, Clayton, Victoria",,,,,,,,,,,,,,1.07,878,0.821,13.4,0.557,5.3,2,17.1
Banksia serrata,Banksia serrata,,Royal Botanic Gardens Melbourne,,,,,,,,,,,,,,1.78,1041,0.486,15.51,0.704,4.69,1.38,14.97
Diospyros australis,Diospyros australis,,Royal Botanic Gardens Melbourne,,,,,,,,,,,,,,0.69,646,0.245,12.18,0.489,2.45,0.74,8.4
Goodenia ovata,Goodenia ovata,,Royal Botanic Gardens Melbourne,,,,,,,,,,,,,,0.2,179,0.104,3.44,0.304,0.65,0.44,3.1
Guilfoylia monostylis,Guilfoylia monostylis,,Royal Botanic Gardens Melbourne,,,,,,,,,,,,,,0.51,270,0.137,6.17,0.257,1.74,0.4,5.78
Heritiera trifoliolata,Argyrodendron trifoliolatum,,Royal Botanic Gardens Melbourne,,,,,,,,,,,,,,0.32,678,0.274,12.53,0.424,1.42,1.29,7.06
Hernandia bivalvis,Hernandia bivalvis,,Royal Botanic Gardens Melbourne,,,,,,,,,,,,,,0.14,252,0.236,6.21,0.331,1.6,1.12,6.96
Leucopogon parviflorus,Leucopogon parviflorus,,Royal Botanic Gardens Melbourne,,,,,,,,,,,,,,1.01,1767,0.469,7.36,0.441,1.5,1.04,7.49
Nothofagus moorei,Nothofagus moorei,,Royal Botanic Gardens Melbourne,,,,,,,,,,,,,,0.7,717,0.379,13.77,0.487,3.4,1.34,11.97
Tasmannia lanceolata,Tasmannia lanceolata,,Royal Botanic Gardens Melbourne,,,,,,,,,,,,,,1.25,447,0.249,6.8,0.498,2,0.56,4.62
Viola hederacea,Viola hederacea,,Royal Botanic Gardens Melbourne,,,,,,,,,,,,,,0.16,131,0.055,2.35,0.165,0.52,0.23,2.22
