Site,Position,Spp,Branchno,(airspaceproportion),360/angle*number,Abundanceinplot,airspace.mm2,Angle,ApexWidth.mm,area.cm2,area/individ vessel,Area_mean,Area_sum,Areaxylem,Budsample,budXsectionarea.mm2,D1.cm,D2.cm,Date,Date dryweight,Dry_weight,DryweightGroup,HairDensity,Height.cm,HorizontalDistance1.mm,HorizontalDistance2.mm,HorizontalTissueDistance1.mm,HorizontalTissueDistance2.mm,HorizontalTissueProportion1,HorizontalTissueProportion2,leaf_count,Lumen.area,lumen.fraction,Magnification,n,NlayersHorizontal,NLayersVertical,no.vessle,non-lumen.fraction,Plot,SampleXylem,SLA.cm2/g,Species,Stem.Density,SumArea.mm2,SumLDW.g,UniqueID,VerticalDistance.mm,VerticalTissueDistance.mm,VerticalTissueProportion
BPN,Top,BoFol,3,NA,NA,15.5,NA,NA,NA,11499.015,NA,7.358055555555556,132.445,NA,NA,NA,140,102,26-Apr,30-Apr,0.0010555555555555555,0.019,NA,110,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,BPNT,NA,69.708,Bossiaea foliosa,NA,132.445,0.019,24,NA,NA,NA
BPN,Top,HoMon,1,NA,NA,1.9,NA,NA,NA,20611.989,NA,94.40249999999999,566.415,NA,NA,NA,151,173,26-Apr,30-Apr,0.018333333333333333,0.11,NA,84,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,BPNT,NA,51.492,Hovea montana,0.686,566.415,0.11,25,NA,NA,NA
BPN,Top,HoMon,2,NA,NA,1.9,NA,NA,NA,11215.682,NA,79.7748,398.874,NA,NA,NA,122,117,26-Apr,30-Apr,0.023200000000000002,0.116,NA,58,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,BPNT,NA,34.386,Hovea montana,NA,398.874,0.116,26,NA,NA,NA
BPN,Top,HoMon,3,NA,NA,1.9,NA,NA,NA,11404.178,NA,96.37440000000001,481.872,NA,NA,NA,128,113,26-Apr,30-Apr,0.020200000000000003,0.101,NA,57,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,BPNT,NA,47.71,Hovea montana,NA,481.872,0.101,27,NA,NA,NA
BPN,Top,TaXer,1,0.025,NA,1,0.139,NA,0.38,20995.46,NA,501.7383333333334,1505.2150000000001,NA,TaXer1,5.505,155,172,26-Apr,30-Apr,0.108,0.324,none,75,1.13,1.094,1.001,1.002,0.886,0.916,3,NA,NA,NA,NA,6,12,NA,NA,BPNT,NA,46.457,Tasmannia xerophila,0.439,1505.215,0.324,28,2.593,1.572,0.606
BPN,Top,TaXer,2,NA,NA,1,NA,NA,NA,26015.529,NA,485.2933333333333,1455.8799999999999,NA,NA,NA,180,184,26-Apr,30-Apr,0.10533333333333333,0.316,NA,55,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,BPNT,NA,46.072,Tasmannia xerophila,NA,1455.88,0.316,29,NA,NA,NA
BPN,Top,TaXer,3,0.051,NA,1,0.339,NA,0.247,4417.865,NA,483.38000000000005,1450.14,NA,TaXer2,6.691,58,92,26-Apr,30-Apr,0.106,0.318,none,70,1.257,0.931,1.199,0.876,0.954,0.941,3,NA,NA,NA,NA,6,9,NA,NA,BPNT,NA,45.602,Tasmannia xerophila,NA,1450.14,0.318,30,3.484,3.272,0.939
Cope,Bottom,AsTry,1,NA,644.6067899,0.125,NA,27.924,NA,2332.829,2.37e-4,NA,NA,0.192,NA,NA,73,36,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,0.01185,0.0617,x10,NA,NA,NA,50,0.9383,COPESB,AsTryCB1s1,45.525,Asterolasia trymalioides,NA,268.595,0.059,31,NA,NA,NA
Cope,Bottom,GrAus,1,NA,NA,2.5,NA,NA,NA,7313.824,NA,NA,NA,NA,NA,NA,133,60,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COPESB,NA,42.506,Grevillea australis,NA,242.284,0.057,32,NA,NA,NA
Cope,Bottom,GrAus,2,NA,NA,2.5,NA,NA,NA,6503.882,NA,NA,NA,NA,NA,NA,122,60,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COPESB,NA,53.294,Grevillea australis,NA,261.14,0.049,33,NA,NA,NA
Cope,Bottom,GrAus,3,NA,NA,2.5,NA,NA,NA,1555.285,NA,NA,NA,NA,NA,NA,32,57,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COPESB,NA,44.498,Grevillea australis,NA,249.191,0.056,34,NA,NA,NA
Cope,Bottom,OlBre,1,NA,NA,0.125,NA,NA,NA,855.299,NA,NA,NA,NA,NA,NA,48,18,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COPESB,NA,67.054,Olearia brevipedunculata,NA,697.361,0.104,35,NA,NA,NA
Cope,Bottom,OlBre,2,NA,NA,0.125,NA,NA,NA,415.476,NA,NA,NA,NA,NA,NA,28,18,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COPESB,NA,100.831,Olearia brevipedunculata,NA,373.074,0.037,36,NA,NA,NA
Cope,Bottom,OlBre,3,NA,NA,0.125,NA,NA,NA,2290.221,NA,NA,NA,NA,NA,NA,68,40,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COPESB,NA,96.183,Olearia brevipedunculata,NA,577.097,0.06,37,NA,NA,NA
Cope,Bottom,PhSqu,1,NA,NA,0.375,NA,NA,NA,226.98,NA,NA,NA,NA,NA,NA,21,13,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COPESB,NA,57.723,Phebalium squamulosum,NA,265.524,0.046,38,NA,NA,NA
Cope,Bottom,PhSqu,2,NA,NA,0.375,NA,NA,NA,1625.971,NA,NA,NA,NA,NA,NA,49,42,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COPESB,NA,53.04,Phebalium squamulosum,NA,222.77,0.042,39,NA,NA,NA
Cope,Bottom,PhSqu,3,NA,NA,0.375,NA,NA,NA,7466.191,NA,NA,NA,NA,NA,NA,121,74,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COPESB,NA,55.769,Phebalium squamulosum,NA,256.536,0.046,40,NA,NA,NA
Cope,Bottom,PiAxi,1,NA,NA,1.375,NA,NA,NA,779.311,NA,NA,NA,NA,NA,NA,42,21,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COPESB,NA,100.799,Pimelea axiflor,NA,544.317,0.054,41,NA,NA,NA
Cope,Bottom,PiAxi,2,NA,NA,1.375,NA,NA,NA,637.94,NA,NA,NA,NA,NA,NA,27,30,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COPESB,NA,109.083,Pimelea axiflor,NA,261.798,0.024,42,NA,NA,NA
Cope,Bottom,PiAxi,3,NA,NA,1.375,NA,NA,NA,572.555,NA,NA,NA,NA,NA,NA,32,22,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COPESB,NA,112.516,Pimelea axiflor,NA,427.561,0.038,43,NA,NA,NA
Cope,Bottom,PrCun,1,NA,NA,5,NA,NA,NA,35132.627,NA,NA,NA,NA,NA,NA,280,143,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COPESB,NA,65.007,Prostanthera cuneata,NA,286.029,0.044,44,NA,NA,NA
Cope,Bottom,PrCun,2,NA,NA,5,NA,NA,NA,19980.726,NA,NA,NA,NA,NA,NA,225,94,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COPESB,NA,62.002,Prostanthera cuneata,NA,279.011,0.045,45,NA,NA,NA
Cope,Bottom,PrCun,3,NA,NA,5,NA,NA,NA,47529.155,NA,NA,NA,NA,NA,NA,158,334,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COPESB,NA,73.064,Prostanthera cuneata,NA,226.497,0.031,46,NA,NA,NA
Cope,Mid,GrAus,1,NA,NA,5,NA,NA,NA,35465.636,NA,NA,NA,NA,NA,NA,267,158,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COPESM,NA,44.76,Grevillea australis,NA,281.987,0.063,47,NA,NA,NA
Cope,Mid,GrAus,2,NA,NA,5,NA,NA,NA,31415.927,NA,NA,NA,NA,NA,NA,290,110,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COPESM,NA,44.015,Grevillea australis,NA,356.524,0.081,48,NA,NA,NA
Cope,Mid,GrAus,3,NA,NA,5,NA,NA,NA,89727.028,NA,NA,NA,NA,NA,NA,382,294,NA,NA,NA,NA,NA,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COPESM,NA,42.493,Grevillea australis,NA,259.21,0.061,49,NA,NA,NA
Cope,Mid,LeMon,1,NA,NA,0.5,NA,NA,NA,6720.063,NA,NA,NA,NA,NA,NA,68,117,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COPESM,NA,66.626,Acrothamnus montanus,NA,133.252,0.02,50,NA,NA,NA
Cope,Mid,LeMon,2,NA,NA,0.5,NA,NA,NA,1847.453,NA,NA,NA,NA,NA,NA,57,40,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COPESM,NA,NA,Acrothamnus montanus,NA,NA,NA,51,NA,NA,NA
Cope,Mid,LeMon,3,NA,NA,0.5,NA,NA,NA,881.413,NA,NA,NA,NA,NA,NA,35,32,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COPESM,NA,NA,Acrothamnus montanus,NA,NA,NA,52,NA,NA,NA
Cope,Mid,OlBre,1,NA,491.1103656,0.25,NA,44.715,NA,165.13,1.91311e-4,NA,NA,0.46,NA,NA,15,14,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,0.01167,0.0254,x5,NA,NA,NA,61,0.9746,COPESM,OlBreCB1s3,99.52,Olearia brevipedunculata,NA,885.731,0.089,53,NA,NA,NA
Cope,Mid,OlBre,2,NA,NA,0.25,NA,NA,NA,38.485,NA,NA,NA,NA,NA,NA,10,4,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COPESM,NA,164.847,Olearia brevipedunculata,NA,708.843,0.043,54,NA,NA,NA
Cope,Mid,OlBre,3,NA,NA,0.25,NA,NA,NA,86.59,NA,NA,NA,NA,NA,NA,14,7,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COPESM,NA,136.387,Olearia brevipedunculata,NA,204.58,0.015,55,NA,NA,NA
Cope,Mid,OrLan,1,NA,NA,0.25,NA,NA,NA,60698.712,NA,NA,NA,NA,NA,NA,316,240,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COPESM,NA,45.108,Orites lancifolia,NA,1357.756,0.301,56,NA,NA,NA
Cope,Mid,OrLan,2,NA,NA,0.25,NA,NA,NA,90525.189,NA,NA,NA,NA,NA,NA,139,540,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COPESM,NA,40.781,Orites lancifolia,NA,1504.829,0.369,57,NA,NA,NA
Cope,Mid,OrLan,3,NA,NA,0.25,NA,NA,NA,90525.189,NA,NA,NA,NA,NA,NA,139,540,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COPESM,NA,41.422,Orites lancifolia,NA,1068.683,0.258,58,NA,NA,NA
Cope,Mid,PhSqu,1,NA,NA,0.875,NA,NA,NA,5152.997,NA,NA,NA,NA,NA,NA,52,110,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COPESM,NA,54.37,Phebalium squamulosum,NA,358.844,0.066,59,NA,NA,NA
Cope,Mid,PhSqu,2,NA,NA,0.875,NA,NA,NA,5089.576,NA,NA,NA,NA,NA,NA,87,74,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COPESM,NA,62.468,Phebalium squamulosum,NA,293.601,0.047,60,NA,NA,NA
Cope,Mid,PhSqu,3,NA,NA,0.875,NA,NA,NA,4717.298,NA,NA,NA,NA,NA,NA,67,88,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COPESM,NA,59.091,Phebalium squamulosum,NA,366.365,0.062,61,NA,NA,NA
Cope,Mid,PiAxi,1,NA,NA,0.625,NA,NA,NA,1418.625,NA,NA,NA,NA,NA,NA,43,42,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COPESM,NA,129.706,Pimelea axiflor,NA,311.294,0.024,62,NA,NA,NA
Cope,Mid,PiAxi,2,NA,NA,0.625,NA,NA,NA,1352.652,NA,NA,NA,NA,NA,NA,51,32,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COPESM,NA,95.6,Pimelea axiflor,NA,573.6,0.06,63,NA,NA,NA
Cope,Mid,PiAxi,3,NA,NA,0.625,NA,NA,NA,2551.759,NA,NA,NA,NA,NA,NA,54,60,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COPESM,NA,85.923,Pimelea axiflor,NA,429.617,0.05,64,NA,NA,NA
Cope,Mid,PrCun,1,NA,NA,10.5,NA,NA,NA,321699.088,NA,NA,NA,NA,NA,NA,800,480,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COPESM,NA,69.208,Prostanthera cuneata,NA,415.246,0.06,65,NA,NA,NA
Cope,Mid,PrCun,2,NA,NA,10.5,NA,NA,NA,24744.951,NA,NA,NA,NA,NA,NA,222,133,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COPESM,NA,71.814,Prostanthera cuneata,NA,481.152,0.067,66,NA,NA,NA
Cope,Top,GrAus,1,NA,NA,2,NA,NA,NA,3903.625,NA,NA,NA,NA,NA,NA,93,48,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COPEST,NA,49.798,Grevillea australis,NA,1110.491,0.223,67,NA,NA,NA
Cope,Top,GrAus,2,NA,NA,2,NA,NA,NA,9940.196,NA,NA,NA,NA,NA,NA,98,127,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COPEST,NA,53.708,Grevillea australis,NA,1412.523,0.263,68,NA,NA,NA
Cope,Top,GrAus,3,NA,833.5745297,2,NA,10.365,NA,7853.982,1.74583e-4,NA,NA,0.172,NA,NA,137,63,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,0.00419,0.0244,x5,NA,NA,NA,24,0.9756,COPEST,GrAusCT3s1,66.154,Grevillea australis,NA,502.771,0.076,69,NA,NA,NA
Cope,Top,LeMon,1,NA,NA,0.25,NA,NA,NA,2687.829,NA,NA,NA,NA,NA,NA,77,40,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COPEST,NA,52.725,Acrothamnus montanus,NA,732.884,0.139,70,NA,NA,NA
Cope,Top,LeMon,2,NA,NA,0.25,NA,NA,NA,2687.829,NA,NA,NA,NA,NA,NA,70,47,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COPEST,NA,50.515,Acrothamnus montanus,NA,954.739,0.189,71,NA,NA,NA
Cope,Top,LeMon,3,NA,1658.554709,0.25,NA,26.915,NA,1625.971,1.20161e-4,NA,NA,0.196,NA,NA,53,38,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,0.0149,0.076,x10,NA,NA,NA,124,0.924,COPEST,LeMonCT3s3,55.932,Acrothamnus montanus,NA,352.37,0.063,72,NA,NA,NA
Cope,Top,OrLan,1,NA,NA,5.5,NA,NA,NA,66966.189,NA,NA,NA,NA,NA,NA,234,350,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COPEST,NA,43.517,Orites lancifolia,NA,3463.974,0.796,73,NA,NA,NA
Cope,Top,OrLan,2,NA,NA,5.5,NA,NA,NA,3267.453,NA,NA,NA,NA,NA,NA,74,55,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COPEST,NA,46.754,Orites lancifolia,NA,4011.488,0.858,74,NA,NA,NA
Cope,Top,OrLan,3,NA,NA,5.5,NA,NA,NA,148275.516,NA,NA,NA,NA,NA,NA,532,337,NA,NA,NA,NA,NA,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COPEST,NA,50.939,Orites lancifolia,NA,1084.996,0.213,75,NA,NA,NA
