Species,season,Tree,site,leaf longevity,growth form,leaf type,photosynthetic pathway,Nfixer,leaf longevity (months),DBHincr,Aarea,Amass,saturated water content (g H20/gDW),LMA,Leaf thickness (mm),CHLarea,leaf chlorophyll (umol/g),Nmass,Pmass,DENSITY_,Narea,Parea,SLA (cm2/g),Leaf size (cm2),water%
Eucalyptus foelscheana,wet,1,woodland,semi-deciduous,T,simple,C3,No,10,0.06,14.5,69.7,0.91,208,0.366,0.471,2.268,0.91,0.045,568,1.888787324,0.093401571,48.17906116,57.98,0.476424501
Eucalyptus foelscheana,wet,2,woodland,semi-deciduous,T,simple,C3,No,5,-0.03,9.3,41.1,1.011,225,0.426,0.47,2.086,0.58,0.033,528,1.306654798,0.074344152,44.38815829,56.45333333,0.50266004
Eucalyptus foelscheana,wet,3,woodland,semi-deciduous,T,simple,C3,No,12,0.39,15.1,66.6,0.869,226,0.409,0.561,2.487,0.91,0.035,552,2.052382533,0.07893779,44.33871295,107.2966667,0.464926029
Eucalyptus foelscheana,wet,4,woodland,semi-deciduous,T,simple,C3,No,12,0.54,13.9,64.7,0.894,215,0.383,0.618,2.879,0.82,0.042,561,1.760469448,0.090170386,46.57848513,129.2,0.472079079
Eucalyptus foelscheana,wet,5,woodland,semi-deciduous,T,simple,C3,No,8,0.13,12.8,49.4,0.942,258,0.447,0.545,2.107,0.51,0.023,578,1.318063324,0.059442071,38.69313339,106.76,0.485085658
Eucalyptus foelscheana,wet,6,woodland,semi-deciduous,T,simple,C3,No,12,0.19,11.7,59.6,1.309,197,0.429,0.586,2.972,0.93,0.046,460,1.835170973,0.090771898,50.6764772,90.82,0.566964629
Eucalyptus tetrodonta,wet,1,open forest,evergreen,T,simple,C3,No,9,0.22,8.2,38.9,1.383,210,0.423,0.443,2.105,0.68,0.028,498,1.430531721,0.058904247,47.53477256,112.12,0.580300169
Eucalyptus tetrodonta,wet,2,open forest,evergreen,T,simple,C3,No,9,0.13,16,81.1,1.223,197,0.38,0.465,2.359,0.68,0.031,519,1.340450103,0.061108755,50.72922882,73.15333333,0.550124231
Eucalyptus tetrodonta,wet,3,open forest,evergreen,T,simple,C3,No,8,-0.03,14.1,80.7,1.38,175,0.359,0.395,2.257,0.71,0.034,488,1.241384119,0.059446563,57.19422291,96.47333333,0.579830079
Eucalyptus tetrodonta,wet,4,open forest,evergreen,T,simple,C3,No,5,0.22,9.3,62.4,1.63,150,0.342,0.44,2.933,0.8,0.039,438,1.200101057,0.058504927,66.66105285,89.18,0.619709232
Eucalyptus tetrodonta,wet,5,open forest,evergreen,T,simple,C3,No,7,0.12,9.6,51.1,1.542,187,0.441,0.467,2.493,0.77,0.034,425,1.442525726,0.063695941,53.37859742,76.89,0.60658811
Eucalyptus tetrodonta,wet,6,open forest,evergreen,T,simple,C3,No,11,0.12,9.5,55.8,1.408,171,0.353,0.412,2.407,0.63,0.031,487,1.078607067,0.053074316,58.40866606,60.96333333,0.584712669
Ficus racemosa,wet,1,dry monsoon forest,semi-deciduous,T,simple,C3,No,8,3.02,18.5,287,2.233,64,0.181,0.491,7.667,2.63,0.193,353,1.683843382,0.123567214,156.1902982,69.94,0.69070688
Ficus racemosa,wet,2,dry monsoon forest,semi-deciduous,T,simple,C3,No,3,2.71,14.8,242.5,2.143,61,0.179,0.531,8.712,2.21,0.169,341,1.347504673,0.103044475,164.0068524,87.81333333,0.681821663
Ficus racemosa,wet,3,dry monsoon forest,semi-deciduous,T,simple,C3,No,4,0.8,17.3,240.9,1.835,72,0.185,0.523,7.216,2.36,0.185,393,1.710796813,0.134109072,137.9474162,87.48333333,0.647291466
Ficus racemosa,wet,4,dry monsoon forest,semi-deciduous,T,simple,C3,No,6,1.53,14.7,271.1,2.201,54,0.166,0.542,9.969,2.63,0.145,328,1.43044465,0.078864819,183.8589141,49.91666667,0.687576002
Ficus racemosa,wet,5,dry monsoon forest,semi-deciduous,T,simple,C3,No,7,2.58,14.9,209.6,2.054,71,0.187,0.469,6.608,2.29,0.186,379,1.624106909,0.13191436,141.00057,80.72666667,0.672519755
Ficus racemosa,wet,6,dry monsoon forest,semi-deciduous,T,simple,C3,No,8,2.19,18.2,246.5,1.934,74,0.199,0.438,5.889,2.32,0.165,373,1.723720661,0.122592202,134.5925736,57.43333333,0.659171668
Ficus scobina,wet,1,dry monsoon forest,semi-deciduous,T,simple,C3,No,2,0.48,9.7,102.7,2.189,93,0.313,0.406,4.366,2.62,0.159,297,2.438837444,0.148005784,107.4282342,35.02333333,0.686467146
Ficus scobina,wet,2,dry monsoon forest,semi-deciduous,T,simple,C3,No,5,0.29,15.8,236.1,3.239,67,0.299,0.467,6.932,3.04,0.293,225,2.047755195,0.197365879,148.4552454,45.71333333,0.764090239
Ficus scobina,wet,3,dry monsoon forest,semi-deciduous,T,simple,C3,No,2,0.83,12.5,147.6,2.255,83,0.29,0.425,5.107,3.06,0.168,286,2.547697456,0.139873586,120.1084529,56.05666667,0.692806357
Ficus scobina,wet,4,dry monsoon forest,semi-deciduous,T,simple,C3,No,4,0.86,10.5,119.2,2.26,88,0.335,0.389,4.428,2.91,0.151,263,2.557104878,0.13268826,113.8005729,29.35,0.693252618
Ficus scobina,wet,5,dry monsoon forest,semi-deciduous,T,simple,C3,No,5,0.8,13.4,167.5,2.464,80,0.281,0.465,5.844,3.04,0.16,283,2.421422243,0.127443276,125.5460509,42.37666667,0.711326944
Ficus scobina,wet,6,dry monsoon forest,semi-deciduous,T,simple,C3,No,5,0.98,11.8,138.2,2.239,86,0.292,0.463,5.405,3.4,0.19,295,2.91070278,0.16265692,116.8102777,27.68,0.691267153
Lophostemon lactifluus,wet,1,swamp,semi-deciduous,T,simple,C3,No,10,0.51,8.9,65,1.162,137,0.302,0.506,3.702,0.88,0.043,452,1.202749564,0.058770717,73.16568855,57.50333333,0.537564282
Lophostemon lactifluus,wet,2,swamp,semi-deciduous,T,simple,C3,No,12,0.19,8.5,69,1.101,123,0.267,0.515,4.182,0.83,0.039,462,1.021649444,0.048005215,81.24117377,41.47666667,0.524019693
Lophostemon lactifluus,wet,3,swamp,semi-deciduous,T,simple,C3,No,12,-0.13,14.6,88.8,1.145,164,0.331,0.493,3.007,1.02,0.048,508,1.672022215,0.078683398,61.00397414,51.96,0.533777311
Lophostemon lactifluus,wet,4,swamp,semi-deciduous,T,simple,C3,No,5,-0.03,6.6,67.8,1.66,98,0.279,0.482,4.911,1.08,0.054,352,1.059681785,0.052984089,101.9173883,71.82333333,0.624041067
Lophostemon lactifluus,wet,5,swamp,semi-deciduous,T,simple,C3,No,4,0.09,6.1,56.4,1.656,108,0.293,0.48,4.452,1.01,0.061,368,1.087869652,0.065703019,92.84200529,57.29333333,0.623515804
Lophostemon lactifluus,wet,6,swamp,semi-deciduous,T,simple,C3,No,9,0.04,5.7,58.6,1.49,98,0.257,0.43,4.386,0.94,0.05,382,0.92185197,0.049034679,101.9686491,44.18,0.5983678
Mallotus nesophilus,wet,1,dry monsoon forest,semi-deciduous,T,simple,C3,No,6,0.67,15.3,171.2,1.27,90,0.268,0.421,4.7,2.36,0.128,335,2.115915747,0.114761532,111.535632,32.50333333,0.559433974
Mallotus nesophilus,wet,2,dry monsoon forest,semi-deciduous,T,simple,C3,No,5,0.79,14.3,206.2,1.303,69,0.234,0.388,5.596,2.31,0.14,295,1.600429956,0.096995755,144.3362136,53.31333333,0.565779459
Mallotus nesophilus,wet,3,dry monsoon forest,semi-deciduous,T,simple,C3,No,4,0.51,12.2,159.5,1.303,76,0.244,0.433,5.668,2.38,0.157,314,1.817195726,0.119873836,130.9710323,44.91,0.565755634
Mallotus nesophilus,wet,4,dry monsoon forest,semi-deciduous,T,simple,C3,No,4,0.35,11.6,174.9,1.474,65,0.222,0.356,5.458,2.03,0.136,291,1.32226216,0.088585051,153.5247746,35.39333333,0.595771423
Mallotus nesophilus,wet,5,dry monsoon forest,semi-deciduous,T,simple,C3,No,5,1.27,11.4,186,1.433,62,0.222,0.362,5.846,2.28,0.137,279,1.410146567,0.084732491,161.6853208,56.22666667,0.588974962
Mallotus nesophilus,wet,6,dry monsoon forest,semi-deciduous,T,simple,C3,No,6,0.79,14.3,153.2,1.331,94,0.267,0.335,3.561,2.1,0.183,352,1.978154237,0.172382012,106.1595684,28.89,0.570973018
Melaleuca DMF,wet,1,dry monsoon forest,evergreen,T,simple,C3,No,9,1.88,19.6,97.7,1.42,207,0.448,0.486,2.348,0.94,0.06,461,1.947623365,0.124316385,48.26395168,20.79666667,0.586780851
Melaleuca DMF,wet,2,dry monsoon forest,evergreen,T,simple,C3,No,8,1.31,17.4,157.1,3.146,111,0.435,0.48,4.326,1.07,0.09,256,1.186651348,0.099811796,90.16970335,16.47666667,0.758827718
Melaleuca DMF,wet,3,dry monsoon forest,evergreen,T,simple,C3,No,7,0.41,20.4,126.4,2.139,162,0.467,0.716,4.434,1.22,0.133,347,1.970564663,0.214823853,61.91118836,25.97,0.681420533
Melaleuca DMF,wet,4,dry monsoon forest,evergreen,T,simple,C3,No,9,1.02,19.3,128.3,2.352,151,0.484,0.512,3.392,0.81,0.058,315,1.222943973,0.087568828,66.23361475,22.15,0.701690697
Melaleuca DMF,wet,5,dry monsoon forest,evergreen,T,simple,C3,No,7,1.62,19.6,133.8,2.156,148,0.428,0.635,4.302,1.34,0.074,346,1.977541537,0.109207518,67.76090287,30.16333333,0.683149094
Melaleuca DMF,wet,6,dry monsoon forest,evergreen,T,simple,C3,No,9,1.59,15.8,131.7,2.665,120,0.413,0.395,3.296,0.91,0.075,290,1.090642891,0.08988815,83.43702672,27.82333333,0.727151108
Melaleuca W,wet,1,woodland,evergreen,T,simple,C3,No,6,0.16,15.6,69.9,1.458,225,0.506,0.541,2.402,0.68,0.042,444,1.530527431,0.094532577,44.42912858,18.20666667,0.593133418
Melaleuca W,wet,2,woodland,evergreen,T,simple,C3,No,8,-0.06,16.6,62.2,1.525,269,0.632,0.525,1.951,0.69,0.04,426,1.856818093,0.107641629,37.16034449,17.29666667,0.603985695
Melaleuca W,wet,3,woodland,evergreen,T,simple,C3,No,12,0.07,11.8,51.8,1.557,230,0.539,0.586,2.55,0.76,0.033,428,1.747082901,0.075860179,43.50108398,22.3,0.608974722
Melaleuca W,wet,4,woodland,evergreen,T,simple,C3,No,11,0.12,12.6,55.4,1.583,229,0.542,0.596,2.599,0.74,0.031,422,1.695460318,0.07102604,43.645964,19.41666667,0.612897751
Melaleuca W,wet,5,woodland,evergreen,T,simple,C3,No,12,-0.06,15.5,75.3,1.714,207,0.528,0.605,2.921,0.94,0.042,394,1.945686928,0.086934948,48.31198618,44.89666667,0.631512675
Melaleuca W,wet,6,woodland,evergreen,T,simple,C3,No,12,-0.03,12.3,52,1.727,240,0.619,0.747,3.105,0.83,0.033,387,1.995941458,0.079356709,41.584386,21.61333333,0.633262986
Melaleuca Sw,wet,1,swamp,evergreen,T,simple,C3,No,10,-0.03,11.7,69.2,1.618,169,0.417,0.677,4.01,0.66,0.028,406,1.114200062,0.047269094,59.23532252,43.86333333,0.618076512
Melaleuca Sw,wet,2,swamp,evergreen,T,simple,C3,No,10,0.22,13.4,67.7,1.433,198,0.453,0.665,3.363,0.61,0.028,438,1.206440272,0.055377586,50.56197261,28.27,0.588933923
Melaleuca Sw,wet,3,swamp,evergreen,T,simple,C3,No,10,0.92,11,43.9,1.031,252,0.462,0.623,2.471,0.62,0.03,546,1.561956387,0.075578535,39.69380996,31.79,0.507619961
Melaleuca Sw,wet,4,swamp,evergreen,T,simple,C3,No,9,0.86,16.5,84.9,1.448,192,0.422,0.642,3.335,0.62,0.03,456,1.193478106,0.057748941,51.94900491,24.06,0.591454478
Melaleuca Sw,wet,5,swamp,evergreen,T,simple,C3,No,9,0.92,15.6,63.5,1.38,246,0.526,0.714,2.907,0.66,0.031,469,1.622161254,0.076192423,40.68646063,31.43666667,0.579905771
Melaleuca Sw,wet,6,swamp,evergreen,T,simple,C3,No,11,1.05,16.4,57.1,1.314,291,0.604,0.708,2.437,0.49,0.024,480,1.424271656,0.069760244,34.4035492,34.74,0.567863006
Syzygium eucalyptoides,wet,1,woodland,semi-deciduous,T,simple,C3,No,10,-0.07,9.5,61.9,1.986,153,0.46,0.458,2.985,1.15,0.059,334,1.764329454,0.090517772,65.1805703,41.67666667,0.665142789
Syzygium eucalyptoides,wet,2,woodland,semi-deciduous,T,simple,C3,No,12,0.16,9.4,67,2.216,140,0.482,0.425,3.037,1.08,0.069,290,1.5112673,0.096553189,71.46320177,45.97666667,0.68904206
Syzygium eucalyptoides,wet,3,woodland,semi-deciduous,T,simple,C3,No,12,-0.1,5.6,49.2,2.45,113,0.411,0.383,3.376,1.2,0.069,276,1.360452213,0.078226002,88.20596478,39.74,0.710118985
Syzygium eucalyptoides,wet,4,woodland,semi-deciduous,T,simple,C3,No,13,-0.03,7.8,68.5,2.499,113,0.426,0.387,3.426,1.2,0.061,265,1.355010104,0.06887968,88.56022521,49.55333333,0.71423165
Syzygium eucalyptoides,wet,5,woodland,semi-deciduous,T,simple,C3,No,12,0.07,8.7,79.2,2.089,110,0.36,0.357,3.254,1.13,0.066,305,1.239914901,0.072419808,91.13528674,50.4,0.6762428
Syzygium eucalyptoides,wet,6,woodland,semi-deciduous,T,simple,C3,No,9,0.07,8.9,69.6,1.83,127,0.379,0.41,3.219,1.23,0.062,337,1.567907906,0.079032756,78.44848509,43.80333333,0.646652454
Syzygium suborbiculare,wet,1,open forest,semi-deciduous,T,simple,C3,No,8,0.35,11.9,84.9,1.849,140,0.414,0.476,3.39,1.01,0.059,341,1.418299441,0.082851155,71.21204243,56.51,0.649040432
Syzygium suborbiculare,wet,2,open forest,semi-deciduous,T,simple,C3,No,11,0.03,11.4,91.7,1.757,124,0.347,0.541,4.368,1.13,0.068,358,1.399625528,0.084225253,80.73588098,82.56666667,0.637263952
Syzygium suborbiculare,wet,3,open forest,semi-deciduous,T,simple,C3,No,9,0.04,13.7,89.1,1.5,154,0.369,0.563,3.663,1.28,0.061,417,1.966400784,0.093711287,65.09354605,50.75333333,0.599957334
Syzygium suborbiculare,wet,4,open forest,semi-deciduous,T,simple,C3,No,8,0.07,9.5,58.8,1.362,163,0.364,0.454,2.79,1.18,0.058,448,1.919709123,0.094358584,61.46764558,56.23333333,0.576623172
Syzygium suborbiculare,wet,5,open forest,semi-deciduous,T,simple,C3,No,12,0.22,10,79.4,1.636,126,0.357,0.52,4.111,1.33,0.063,354,1.681186937,0.079635171,79.11077412,63.12666667,0.620590414
Syzygium suborbiculare,wet,6,open forest,semi-deciduous,T,simple,C3,No,9,0.09,10.3,85.8,1.941,123,0.349,0.526,4.287,1.27,0.069,350,1.556661089,0.0845745,81.58487475,69.95,0.659978812
Xanthostemon paradoxus,wet,1,woodland,semi-deciduous,T,simple,C3,No,13,0.28,11.4,83.2,1.415,138,0.324,0.356,2.581,1.02,0.044,424,1.406079796,0.060654423,72.54211338,107.0566667,0.585869952
Xanthostemon paradoxus,wet,2,woodland,semi-deciduous,T,simple,C3,No,12,0.35,13.5,88.7,1.244,153,0.36,0.438,2.865,1.14,0.052,427,1.741222615,0.079424189,65.47123788,136.4733333,0.554333154
Xanthostemon paradoxus,wet,3,woodland,semi-deciduous,T,simple,C3,No,9,0.16,10.9,76.5,1.696,142,0.365,0.411,2.907,1.21,0.048,388,1.712619595,0.067938629,70.65200021,81.66333333,0.629099136
Xanthostemon paradoxus,wet,4,woodland,semi-deciduous,T,simple,C3,No,9,-0.06,12.8,99,1.339,130,0.347,0.41,3.162,1.29,0.049,376,1.671235472,0.063481037,77.18840472,100.4366667,0.572400474
Xanthostemon paradoxus,wet,5,woodland,semi-deciduous,T,simple,C3,No,9,0.13,8.8,75,1.853,118,0.357,0.346,2.94,1.04,0.052,331,1.225111886,0.061255594,84.89020572,94.49666667,0.649472495
Xanthostemon paradoxus,wet,6,woodland,semi-deciduous,T,simple,C3,No,11,0.16,12.4,86,1.584,144,0.381,0.419,2.901,1.18,0.051,379,1.704453593,0.073667062,69.23039765,94.35,0.612984072
Callitris intratropica,wet,1,woodland,evergreen,T,simple,C3,No,,0.12,8.4,36.2,1.554,235,,,,1.09,0.075,,2.562778421,0.176337965,42.53196418,,0.608486606
Callitris intratropica,wet,2,woodland,evergreen,T,simple,C3,No,,0.04,5.2,24.9,1.636,210,,,,1.25,0.09,,2.624704835,0.188978748,47.62440268,,0.620576023
Callitris intratropica,wet,3,woodland,evergreen,T,simple,C3,No,,0.12,4.8,21,1.532,228,,,,1.15,0.073,,2.623102026,0.166509955,43.84122267,,0.605107001
Callitris intratropica,wet,4,woodland,evergreen,T,simple,C3,No,,-0.07,6.3,29.5,1.565,212,,,,1.07,0.057,,2.268111493,0.120824631,47.17581138,,0.610153751
Callitris intratropica,wet,5,woodland,evergreen,T,simple,C3,No,,0.32,9.6,44.9,1.537,224,,,,1.19,0.062,,2.662177397,0.13870168,44.70025181,,0.605890684
Callitris intratropica,wet,6,woodland,evergreen,T,simple,C3,No,,0.19,12.6,60.4,1.43,210,,,,0.91,0.055,,1.907419327,0.115283586,47.70843974,,0.588416988
Brachychiton megaphyllus,wet,1,open forest,deciduous,T,simple,C3,No,7,0.19,13.6,140.2,1.406,97,0.315,0.437,4.49,2.02,0.115,309,1.964955685,0.111866289,102.8013006,368.2133333,0.584308144
Brachychiton megaphyllus,wet,2,open forest,deciduous,T,simple,C3,No,7,0.1,9.1,82.6,1.355,109,0.326,0.458,4.194,1.89,0.111,340,2.065319567,0.121296546,91.51126198,304.1633333,0.57545041
Brachychiton megaphyllus,wet,3,open forest,deciduous,T,simple,C3,No,7,-0.03,7.5,80.1,1.363,94,0.269,0.455,4.85,1.6,0.113,351,1.501930468,0.106073839,106.5295654,329.9366667,0.576874786
Brachychiton megaphyllus,wet,4,open forest,deciduous,T,simple,C3,No,7,,8.9,110.2,1.519,80,0.29,0.509,6.36,2.21,0.177,278,1.768211435,0.141616934,124.985053,336.4233333,0.602995752
Brachychiton megaphyllus,wet,5,open forest,deciduous,T,simple,C3,No,7,0,11.7,115,1.627,103,0.303,0.547,5.325,2.26,0.122,341,2.319245535,0.12519821,97.44548242,237.8733333,0.619402042
Brachychiton megaphyllus,wet,6,open forest,deciduous,T,simple,C3,No,7,0.15,12.7,121.2,1.655,108,0.336,0.527,4.895,2.17,0.124,320,2.335365182,0.133449439,92.91908678,244.7766667,0.62334304
Buchanania obovata,wet,1,open forest,semi-deciduous,T,simple,C3,No,10,0.19,10.8,64,1.589,168,0.365,0.547,3.254,1.28,0.07,460,2.149719258,0.117562772,59.54265867,164.28,0.613735813
Buchanania obovata,wet,2,open forest,semi-deciduous,T,simple,C3,No,12,0.41,11.4,61.7,1.634,185,0.396,0.586,3.175,1.17,0.078,466,2.160664043,0.14404427,54.15001946,163.2566667,0.620282356
Buchanania obovata,wet,3,open forest,semi-deciduous,T,simple,C3,No,11,0.35,11.2,67.7,1.515,166,0.345,0.581,3.49,1.25,0.078,481,2.079643591,0.12976976,60.10645312,172.66,0.602372065
Buchanania obovata,wet,4,open forest,semi-deciduous,T,simple,C3,No,11,-0.03,8.5,55.6,1.844,158,0.374,0.535,3.388,1.08,0.064,416,1.70407889,0.100982453,63.37734749,220.9766667,0.648397522
Buchanania obovata,wet,5,open forest,semi-deciduous,T,simple,C3,No,10,0.19,11.5,75.7,1.49,152,0.332,0.527,3.474,1.22,0.08,458,1.8498824,0.121303764,65.95013825,83.86333333,0.598436707
Buchanania obovata,wet,6,open forest,semi-deciduous,T,simple,C3,No,12,0,10,61,1.628,164,0.394,0.537,3.268,0.92,0.065,419,1.51248254,0.106860179,60.82714844,139.9466667,0.619430652
Cochlospermum fraseri,wet,1,woodland,deciduous,T,simple,C3,No,4,0.38,8.7,134,2.212,65,0.185,0.284,4.388,1.39,0.078,350,0.899474205,0.050474092,154.5347261,100.3666667,0.688631085
Cochlospermum fraseri,wet,2,woodland,deciduous,T,simple,C3,No,4,0.09,12.6,216.2,1.914,59,0.154,0.287,4.906,1.81,0.091,382,1.060354451,0.053310638,170.6976377,84.53666667,0.656836709
Cochlospermum fraseri,wet,3,woodland,deciduous,T,simple,C3,No,3,,10.9,185.6,2.019,59,0.157,0.356,6.01,2.05,0.073,378,1.214704412,0.043255328,168.7653375,53.66666667,0.668727824
Cochlospermum fraseri,wet,4,woodland,deciduous,T,simple,C3,No,3,0.1,8.2,130.2,1.78,63,0.147,0.303,4.796,1.61,0.078,430,1.016530167,0.049248045,158.3819205,61.04333333,0.640245133
Cochlospermum fraseri,wet,5,woodland,deciduous,T,simple,C3,No,3,,7.5,125.6,1.885,60,0.163,0.292,4.832,1.73,0.07,371,1.045309157,0.042295746,165.5012767,98.93666667,0.653366867
Cochlospermum fraseri,wet,6,woodland,deciduous,T,simple,C3,No,3,0.09,8.4,152.1,1.756,55,0.134,0.3,5.459,1.97,0.089,412,1.082540107,0.048906634,181.9794008,93.91333333,0.637099939
Planchonia careya A,wet,1,open forest,deciduous,T,simple,C3,No,7,0.12,10.5,133.4,2.36,79,0.241,0.379,4.827,1.72,0.095,325,1.35156723,0.074650516,127.2596702,69.94666667,0.702337769
Planchonia careya A,wet,2,open forest,deciduous,T,simple,C3,No,8,0.26,7.1,73.5,1.767,97,0.237,0.397,4.099,1.75,0.131,408,1.696343876,0.126983456,103.1630453,60.73666667,0.638644443
Planchonia careya A,wet,3,open forest,deciduous,T,simple,C3,No,7,0.29,11.3,135,2.126,84,0.242,0.442,5.274,1.96,0.118,346,1.64147715,0.098823624,119.4046472,59.55666667,0.680059954
Planchonia careya A,wet,4,open forest,deciduous,T,simple,C3,No,9,0.63,11.4,136.1,2.039,83,0.226,0.378,4.573,1.98,0.103,367,1.638730826,0.085247109,120.8252123,89.89666667,0.670915269
Planchonia careya A,wet,5,open forest,deciduous,T,simple,C3,No,6,0.13,13.9,164.4,1.933,84,0.22,0.381,4.529,1.51,0.109,382,1.268832376,0.091591211,119.0070515,68.3,0.659066985
Planchonia careya A,wet,6,open forest,deciduous,T,simple,C3,No,5,0.48,9.2,117.9,2.261,78,0.235,0.412,5.269,1.98,0.124,334,1.546621037,0.096859095,128.0210182,61.26,0.693362513
Planchonia careya C,wet,1,woodland,deciduous,T,simple,C3,No,6,-0.03,14.8,126.7,1.376,117,0.246,0.479,4.079,1.71,0.08,479,2.00906485,0.093991338,85.11422617,68.77,0.579143877
Planchonia careya C,wet,2,woodland,deciduous,T,simple,C3,No,8,0,12.2,139.7,1.926,88,0.252,0.466,5.3,1.73,0.089,351,1.520220555,0.078207878,113.7992769,49.13333333,0.65821589
Planchonia careya C,wet,3,woodland,deciduous,T,simple,C3,No,8,0.64,9.4,109,1.882,86,0.217,0.42,4.865,1.98,0.105,398,1.708085437,0.090580288,115.9192601,82.83,0.653045175
Planchonia careya C,wet,4,woodland,deciduous,T,simple,C3,No,10,0.45,7.8,87.5,1.934,90,0.231,0.352,3.932,1.35,0.085,389,1.208466933,0.076088659,111.7117865,77.01,0.659151241
Planchonia careya C,wet,5,woodland,deciduous,T,simple,C3,No,10,0.25,4.9,54.1,1.944,90,0.226,0.347,3.847,1.42,0.087,399,1.281012802,0.078484587,110.84979,50.03666667,0.660326368
Planchonia careya C,wet,6,woodland,deciduous,T,simple,C3,No,9,0.07,11.8,85.8,1.434,136,0.303,0.554,4.063,1.44,0.064,453,1.964607579,0.087315892,73.29708056,56.4,0.589212728
Terminalia ferdinandiana C,wet,1,woodland,deciduous,T,simple,C3,No,7,0.26,13.3,111.9,1.526,120,0.272,0.376,3.135,1.32,0.085,441,1.584005475,0.102000353,83.33304532,168.9233333,0.604039453
Terminalia ferdinandiana C,wet,2,woodland,deciduous,T,simple,C3,No,4,0.19,13.8,113.2,1.633,123,0.271,0.352,2.865,1.31,0.082,453,1.608947559,0.100712748,81.41968284,145.93,0.620220175
Terminalia ferdinandiana C,wet,3,woodland,deciduous,T,simple,C3,No,4,0.03,12.9,116.9,1.582,110,0.257,0.375,3.411,1.72,0.092,429,1.892372099,0.101219903,90.89121536,144.97,0.6126299
Terminalia ferdinandiana C,wet,4,woodland,deciduous,T,simple,C3,No,5,0.51,15.9,136.5,1.741,117,0.278,0.439,3.756,1.65,0.076,420,1.926988315,0.08875825,85.62584355,224.31,0.635143997
Terminalia ferdinandiana C,wet,5,woodland,deciduous,T,simple,C3,No,5,0.48,10.7,83.9,1.586,126,0.287,0.422,3.34,1.52,0.076,441,1.920746347,0.096037317,79.13590476,157.99,0.613307713
Terminalia ferdinandiana C,wet,6,woodland,deciduous,T,simple,C3,No,4,0.35,11,85.6,1.507,129,0.29,0.417,3.241,1.6,0.076,449,2.058630979,0.097784972,77.72155457,156.6533333,0.601101841
