species,Accepted_name_rank,orig.species,ps.type,little.d13.org,big.D13.org,big.D13.merged,latitude,longitude,collection.year,collection.month,author,year
Acacia difficilis,species,Acacia difficilis,C3,-29.39,NA,21.5749006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Acacia dimidiata,species,Acacia dimidiata,C3,-29.66,NA,21.8449006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Acacia dimidiata,species,Acacia dimidiata,C3,-26.1,18.79,18.79,-14.3,132.083,1993,October,Schulze_etal,1998
Acacia dimidiata,species,Acacia dimidiata,C3,-29.44,NA,21.6249006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Acacia falcata,species,Acacia falcata,C3,-31.31,NA,23.5070921211604,-28.03,152.83,1993,NA,Stewart_etal,1995
Acacia floribunda,species,Acacia floribunda,C3,-31.4,NA,23.4823850801193,-33.58,151.3,1998,NA,unpub,NA
Acacia gonocarpa,species,Acacia gonocarpa,C3,-27.45,NA,19.6349006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Acacia gonocarpa,species,Acacia gonocarpa,C3,-26.59,NA,18.7749006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Acacia hammondii,species,Acacia plectocarpa,C3,-26.59,NA,18.7749006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Acacia harpophylla,species,Acacia harpophylla,C3,-28.88,NA,21.1014266303874,-24.08,145,1992,NA,Stewart_etal,1995
Acacia havilandiorum,species,Acacia havilandiorum,C3,-26.8,NA,18.8824601246412,-32.97,146.15,1998,NA,unpub,NA
Acacia lamprocarpa,species,Acacia lamprocarpa,C3,-30.35,NA,22.5701048996961,-27.13,153.02,1992,NA,Stewart_etal,1995
Acacia lamprocarpa,species,Acacia lamprocarpa,C3,-27.3,NA,19.4849006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Acacia latescens,species,Acacia latescens,C3,-26.98,NA,19.1649006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Acacia trapezoidea,species,Acacia littorea,C3,-29.525,NA,21.5164606595709,-35.017,117.23,2002,Feb,Cernusak_etal,2004
Acacia mimula,species,Acacia mimula,C3,-29.02,NA,21.2049006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Acacia mimula,species,Acacia mimula,C3,-28.9,21.7,21.7,-12.683,132.383,1993,October,Schulze_etal,1998
Acacia mimula,species,Acacia mimula,C3,-28.81,NA,20.9949006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Acacia mountfordiae,species,Acacia mountfordiae,C3,-27.65,NA,19.8349006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Acacia multisiliqua,species,Acacia multisiliqua,C3,-28.29,NA,20.4749006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Acacia oncinocarpa,species,Acacia oncinocarpa,C3,-27.7,NA,19.8849006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Acacia oncinocarpa,species,Acacia oncinocarpa,C3,-28.14,NA,20.3249006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Acacia oswaldii,species,Acacia oswaldii,C3,-27.7,NA,19.7824601246412,-32.97,146.13,1998,NA,unpub,NA
Acacia rostellifera,species,Acacia rostellifera,C3,-28.3,NA,20.4511710326412,-29.817,115.267,1995,August,Tennakoon_etal,1997
Acacia,genus,Acacia sp.,C3,-31.18,NA,23.3649006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Acacia suaveolens,species,Acacia suaveolens,C3,-29.6,NA,21.6823740602752,-33.68,151.13,1998,NA,unpub,NA
Acacia torulosa,species,Acacia torulosa,C3,-27.94,NA,20.1249006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Acacia wilhelmiana,species,Acacia wilhelmiana,C3,-27.5,NA,19.5824601246412,-32.97,146.15,1998,NA,unpub,NA
Acalypha,genus,Ricinocarpus sp.,C3,-29.6,NA,21.5914648625381,-34.95,117.283,2002,Feb,Cernusak_etal,2004
Actinoschoenus aphyllus,species,Arthrostylis aphylla,C3,-28.34,NA,20.5249006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Actinoschoenus aphyllus,species,Arthrostylis aphylla,C3,-28.12,NA,20.3049006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Adenanthera intermedia,species,Adenanthera pavonina,C3,-28.36,NA,20.5449006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Aegialitis rotundifolia,species,Aegialitis annulata,C3,-28.63,NA,20.8149006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Alectryon oleifolius,species,Alectryon oleifolius,C3,-26.7,NA,18.9214266303874,-24.08,145,1992,NA,Stewart_etal,1995
Allocasuarina,genus,Allocasuarina sp,C3,-30.3,NA,22.3823850801193,-33.58,151.3,1998,NA,unpub,NA
Allosyncarpia ternata,species,Allosyncarpia ternata,C3,-28.13,NA,20.3149006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Allosyncarpia ternata,species,Allosyncarpia ternata,C3,-30.65,NA,22.8349006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Alphitonia excelsa,species,Alphitonia excelsa,C3,-27.62,NA,19.8174417800787,-27.03,152.83,1993,NA,Stewart_etal,1995
Alphitonia excelsa,species,Alphitonia excelsa,C3,-28.64,NA,20.8601048996961,-27.13,153.02,1992,NA,Stewart_etal,1995
Alphitonia excelsa,species,Alphitonia excelsa,C3,-30.24,NA,22.4249006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Alstonia actinophylla,species,Alstonia actinophylla,C3,-28.54,NA,20.7249006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Alstonia actinophylla,species,Alstonia actinophylla,C3,-28.74,NA,20.9249006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Alysicarpus heterophyllus,species,Alysicarpus vaginalis,C3,-29.54,NA,21.7249006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Alysicarpus schomburgkii,species,Alysicarpus schomburgkii,C3,-31.24,NA,23.4249006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Alyxia oblongata,species,Alyxia ruscifolia,C3,-28.5,NA,20.6849006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Ampelocissus acetosa,species,Ampelocissus acetosa,C3,-28.27,NA,20.4549006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Ampelocissus acetosa,species,Ampelocissus acetosa,C3,-29.17,NA,21.3549006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Ampelocissus acetosa,species,Ampelocissus acetosa,C3,-30.63,NA,22.8149006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Amyema maidenii,species,Amyema maidenii,C3,-29.57,NA,21.7914266303874,-24.08,145,1992,NA,Stewart_etal,1995
Amyema miquelii,species,Amyema miquelii,C3,-31,NA,22.9917197034707,-32.55,119.283,2002,Feb,Cernusak_etal,2004
Amyema preissii,species,Amyema preissii,C3,-29.8,NA,21.7916583840905,-32.983,116.85,2002,Feb,Cernusak_etal,2004
Amyema quandang,species,Amyema quandang,C3,-27.67,NA,19.8914266303874,-24.08,145,1992,NA,Stewart_etal,1995
Anisomeles,genus,Epimeredi sp,C3,-29.63,NA,21.8149006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Anthoxanthum amarum,species,Anthoxanthum odoratum,C3,-29,NA,20.9914648625381,-34.95,117.283,2002,Feb,Cernusak_etal,2004
Capparis anomala,species,Apophyllum anomalum,C3,-27,NA,19.2214266303874,-24.08,145,1992,NA,Stewart_etal,1995
Araucaria,genus,Araucaria,C3,-30.7,NA,22.670499415125,-26.876,151.96,2003,NA,unpub,NA
Araucaria cunninghamii,species,Araucaria cunninghamii,C3,-31.57,NA,23.5405312824238,-26.792,152.001,2003,NA,unpub,NA
Araucaria cunninghamii,species,Araucaria cunninghamii,C3,-30.33,NA,22.3004447490271,-27.022,151.878,2003,NA,unpub,NA
Araucaria cunninghamii,species,Araucaria cunninghamii,C3,-30.92,NA,22.8904745896051,-26.942,151.922,2003,NA,unpub,NA
Archidendron kanisii,species,Archidendron kanisii,C3,-32.8163,NA,24.861609127071,-16.133,145.433,2000,NA,unpub,NA
Archidendron whitei,species,Archidendron whitei,C3,-33.7595,NA,25.8038246708228,-17.283,145.633,2000,NA,unpub,NA
Heliodendron basalticum,species,Archidendropsis basaltica,C3,-25.64,NA,17.8614266303874,-24.08,145,1992,NA,Stewart_etal,1995
Heritiera trifoliolata,species,Argyrodendron trifoliolatum,C3,-31.8,NA,23.9970921211604,-28.03,152.83,1993,NA,Stewart_etal,1995
Astrotricha floccosa,species,Astrotricha floccosa,C3,-28.2,NA,20.2823850801193,-33.58,151.3,1998,NA,unpub,NA
Atalaya hemiglauca,species,Atalaya hemiglauca,C3,-24.98,NA,17.2014266303874,-24.08,145,1992,NA,Stewart_etal,1995
Atriplex lindleyi,species,Atriplex lindleyi,C4,-14.97,NA,7.19142663038742,-24.08,145,1992,NA,Stewart_etal,1995
Atriplex stipitata,species,Atriplex stipitata,C4,-16.5,NA,8.5824601246412,-32.97,146.13,1998,NA,unpub,NA
Avicennia marina,species,Avicennia marina,C3,-27.925,NA,20.1099006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Baeckea frutescens,species,Baeckea stenophylla,C3,-29.57,NA,21.7448092463352,-26.85,153,1994,NA,unpub,NA
Baloghia inophylla,species,Baloghia inophylla,C3,-30.58,NA,22.7770921211604,-28.03,152.83,1993,NA,Stewart_etal,1995
Banksia aemula,species,Banksia aemula,C3,-29.55,NA,21.7248092463352,-26.85,153,1994,NA,unpub,NA
Banksia marginata,species,Banksia marginata,C3,-28.8,NA,20.8823740602752,-33.68,151.13,1998,NA,unpub,NA
Banksia oblongifolia,species,Banksia oblongifolia,C3,-29.88,NA,22.0548092463352,-26.85,153,1994,NA,unpub,NA
Banksia oblongifolia,species,Banksia oblongifolia,C3,-29.1,NA,21.0234728699771,-33.691,151.144,2005,NA,unpub,NA
Banksia robur,species,Banksia robur,C3,-28.62,NA,20.7948092463352,-26.85,153,1994,NA,unpub,NA
Barringtonia acutangula,species,Barringtonia acutangula,C3,-28.58,NA,20.7649006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Bellardia trixago,species,Bartsia trixago,C3,-29.3,NA,21.2914606595709,-35.017,117.267,2002,Feb,Cernusak_etal,2004
Lysiphyllum cunninghamii,species,Bauhinia cunninghamii,C3,-27.7,20.47,20.47,-16.117,130.917,1993,October,Schulze_etal,1998
Lysiphyllum cunninghamii,species,Bauhinia cunninghamii,C3,-27.4,20.15,20.15,-14.3,132.083,1993,October,Schulze_etal,1998
Lysiphyllum cunninghamii,species,Bauhinia cunninghamii,C3,-24.8,17.43,17.43,-17.3,130.75,1993,October,Schulze_etal,1998
Bertya cunninghamii,species,Bertya cunninghamii,C3,-26.3,NA,18.3824601246412,-32.97,146.15,1998,NA,unpub,NA
Beyeria opaca,species,Beyeria opaca,C3,-25.8,NA,17.8824601246412,-32.97,146.15,1998,NA,unpub,NA
Bidens bipinnata,species,Bidens bipinnata,C3,-30.55,NA,22.7349006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Boronia glabra,species,Boronia ledifolia,C3,-30.8,NA,22.8823740602752,-33.68,151.13,1998,NA,unpub,NA
Bossiaea bossiaeoides,species,Bossiaea bossiaeoides,C3,-26.79,NA,18.9749006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Bossiaea linophylla,species,Bossiaea linophylla,C3,-27.9,NA,19.8914596786131,-35.033,117.317,2002,Feb,Cernusak_etal,2004
Bossiaea walkeri,species,Bossiaea walkeri,C3,-26.4,NA,18.4824601246412,-32.97,146.15,1998,NA,unpub,NA
Brachychiton gregorii,species,Brachychiton populneus,C3,-24.3,NA,16.3824601246412,-32.97,146.15,1998,NA,unpub,NA
Brachychiton gregorii,species,Brachychiton populneus,C3,-24.1,NA,16.1824601246412,-32.97,146.13,1998,NA,unpub,NA
Brachychiton megaphyllus,species,Brachychiton megaphyllus,C3,-28.91,NA,21.0949006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Breynia oblongifolia,species,Breynia oblongifolia,C3,-28.05,NA,20.2474417800787,-27.03,152.83,1993,NA,Stewart_etal,1995
Bruguiera,genus,Bruguiera sp.,C3,-27.095,NA,19.2799006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Buchanania obovata,species,Buchanania obovata,C3,-28.74,NA,20.9249006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Buchanania obovata,species,Buchanania obovata,C3,-29.145,NA,21.3299006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Buchanania obovata,species,Buchanania obovata,C3,-27.1,19.84,19.84,-14.3,132.083,1993,October,Schulze_etal,1998
Buchanania obovata,species,Buchanania obovata,C3,-26.75,19.47,19.47,-12.683,132.383,1993,October,Schulze_etal,1998
Buchanania obovata,species,Buchanania obovata,C3,-28.12,NA,20.3049006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Cajanus acutifolius,species,Cajanus acutifolius,C3,-28.73,NA,20.9149006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Cakile arctica,species,Cakile maritima,C3,-28.3,NA,20.2914606595709,-35.017,117.23,2002,Feb,Cernusak_etal,2004
Melaleuca pachyphylla,species,Callistemon pachyphyllus,C3,-28.56,NA,20.7348092463352,-26.85,153,1994,NA,unpub,NA
Melaleuca lophantha,species,Callistemon salignus,C3,-29.82,NA,22.0401048996961,-27.13,153.02,1992,NA,Stewart_etal,1995
Callitris columellaris,species,Callitris glaucophylla,C3,-25.9,NA,17.9824601246412,-32.97,146.13,1998,NA,unpub,NA
Calopogonium mucunoides,species,Calopogonium mucunoides,C3,-28.7,NA,20.8849006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Calycopeplus collinus,species,Calycopeplus collinus,C3,-27.93,NA,20.1149006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Calytrix achaeta,species,Calytrix achaeta,C3,-28.84,NA,21.0249006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Calytrix brownii,species,Calytrix brownii,C3,-27.85,NA,20.0349006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Calytrix exstipulata,species,Calytrix exstipulata,C3,-27.37,NA,19.5549006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Calytrix exstipulata,species,Calytrix exstipulata,C3,-29.06,NA,21.2449006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Capparis lasiantha,species,Capparis lasiantha,C3,-26.57,NA,18.7914266303874,-24.08,145,1992,NA,Stewart_etal,1995
Capparis mitchellii,species,Capparis mitchellii,C3,-24.87,NA,17.0914266303874,-24.08,145,1992,NA,Stewart_etal,1995
Carissa spinarum,species,Carissa ovata,C3,-26.6,NA,18.8214266303874,-24.08,145,1992,NA,Stewart_etal,1995
Carissa spinarum,species,Carissa lanceolata,C3,-28.9,21.73,21.73,-16.117,130.917,1993,October,Schulze_etal,1998
Carpentaria acuminata,species,Carpentaria acuminata,C3,-34.05,NA,26.2349006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Cartonema parviflorum,species,Cartonema spicatum,C3,-29.62,NA,21.8049006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Cassinia trinerva,species,Cassinia laevis,C3,-30.3,NA,22.3824601246412,-32.97,146.15,1998,NA,unpub,NA
Cassytha,genus,Cassytha sp.,C3,-27.367,NA,19.3584606595709,-35.017,117.23,2002,Feb,Cernusak_etal,2004
Cassytha,genus,Cassytha sp.,C3,-26.1,NA,18.0914596786131,-35.033,117.317,2002,Feb,Cernusak_etal,2004
Castanospermum australe,species,Castanospermum australe,C3,-25.26,NA,17.2078473301286,-26.75,152.867,2004,NA,unpub,NA
Casuarina glauca,species,Casuarina glauca,C3,-29.71,NA,21.9301048996961,-27.13,153.02,1992,NA,Stewart_etal,1995
Cathormion umbellatum,species,Cathormion umbellatum,C3,-28.88,NA,21.0649006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Caustis recurvata,species,Caustis recurvata,C3,-28.29,NA,20.4648092463352,-26.85,153,1994,NA,unpub,NA
Cayratia,genus,Cayratia sp,C3,-32.02,NA,24.2049006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Centipeda,genus,Centipeda sp.,C3,-30.55,NA,22.7349006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Cissus hypoglauca,species,Cissus hypoglauca,C3,-28.28,NA,20.4770921211604,-28.03,152.83,1993,NA,Stewart_etal,1995
Cheirodendron,genus,Clerodendron sp.,C3,-31.65,NA,23.8349006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Cochlospermum fraseri,species,Cochlospermum fraseri,C3,-29.1,21.94,21.94,-11.767,130.867,1993,October,Schulze_etal,1998
Cochlospermum fraseri,species,Cochlospermum fraseri,C3,-28.33,NA,20.5149006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Cochlospermum fraseri,species,Cochlospermum fraseri,C3,-28.19,NA,20.3749006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Coldenia procumbens,species,Coldenia procumbens,C3,-28.99,NA,21.1749006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Commelina,genus,Commelina sp.,C3,-29.51,NA,21.6949006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Coprosma hirtella,species,Coprosma hirtella,C3,-28.232,NA,20.1553280817156,-35.66,148.15,2005,NA,NA,NA
Correa reflexa,species,Correa reflexa,C3,-31.3,NA,23.3823850801193,-33.58,151.3,1998,NA,unpub,NA
Corymbia aparrerinja,species,Corymbia aparrerinja,C3,-26.08666667,NA,18.0579172311734,-25.074,128.169,2003,NA,Schulze_etal,2006
Corymbia aparrerinja,species,Corymbia aparrerinja,C3,-28.48666667,NA,20.4579231708063,-25.061,128.329,2003,NA,Schulze_etal,2006
Corymbia bleeseri,species,Eucalyptus terminalis,C3,-27.1,19.8,19.8,-17.3,130.75,1993,October,Schulze_etal,1998
Corymbia bleeseri,species,Eucalyptus terminalis,C3,-27,19.7,19.7,-16.117,130.917,1993,October,Schulze_etal,1998
Corymbia bleeseri,species,Corymbia bleeseri,C3,-28.395,NA,20.5799006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Corymbia bleeseri,species,Eucalyptus bleeseri,C3,-26.9,19.63,19.63,-14.3,132.083,1993,October,Schulze_etal,1998
Corymbia calophylla,species,Corymbia calophylla,C3,-28.27,NA,20.2387947319594,-34.53,116.01,2003,NA,Schulze_etal,2006
Corymbia calophylla,species,Corymbia calophylla,C3,-27.82333333,NA,19.7921310659822,-34.492,115.952,2003,NA,Schulze_etal,2006
Corymbia calophylla,species,Corymbia calophylla,C3,-25.974,NA,17.9431257174101,-31.895,116.559,2003,NA,Schulze_etal,2006
Corymbia calophylla,species,Corymbia calophylla,C3,-28.3425,NA,20.3116264143996,-31.891,116.249,2003,NA,Schulze_etal,2006
Corymbia calophylla,species,Corymbia calophylla,C3,-27.51,NA,19.4788069665854,-34.379,117.78,2003,NA,Schulze_etal,2006
Corymbia chippendalei,species,Corymbia chippendalei,C3,-29.05,NA,21.0210956847371,-25.419,127.554,2003,NA,Schulze_etal,2006
Corymbia chippendalei,species,Corymbia chippendalei,C3,-28.48666667,NA,20.457416986471,-26.235,126.276,2003,NA,Schulze_etal,2006
Corymbia citriodora,species,Corymbia citriodora,C3,-28.64,NA,20.8374417800787,-27.03,152.83,1993,NA,Stewart_etal,1995
Corymbia clavigera,species,Eucalyptus clavigera,C3,-26.2,18.9,18.9,-12.683,132.383,1993,October,Schulze_etal,1998
Corymbia eremaea,species,Corymbia eremaea,C3,-27.21,NA,19.1813600327109,-24.837,128.934,2003,NA,Schulze_etal,2006
Corymbia foelscheana,species,Corymbia foelscheana,C3,-28.22,NA,20.4049006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Corymbia gummifera,species,Corymbia gummifera,C3,-27.2,NA,19.2823740602752,-33.68,151.13,1998,NA,unpub,NA
Corymbia latifolia,species,Corymbia latifolia,C3,-28.67,NA,20.8549006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Corymbia polycarpa,species,Corymbia polycarpa,C3,-26.25,NA,18.4349006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Corymbia porrecta,species,Corymbia porrecta,C3,-28.665,NA,20.8499006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Corymbia porrecta,species,Corymbia porrecta,C3,-28.62,NA,20.8049006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Corymbia porrecta,species,Eucalyptus porrecta,C3,-28.8,21.6,21.6,-12.683,132.383,1993,October,Schulze_etal,1998
Corymbia porrecta,species,Corymbia porrecta,C3,-28.35,NA,20.5349006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Corymbia ptychocarpa,species,Corymbia ptychocarpa,C3,-26.93,NA,19.1149006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Corymbia terminalis,species,Corymbia opaca,C3,-27.76666667,NA,19.7379172311734,-25.074,128.169,2003,NA,Schulze_etal,2006
Corymbia terminalis,species,Corymbia opaca,C3,-27.32,NA,19.2911807731766,-25.228,130.58,2003,NA,Schulze_etal,2006
Corymbia terminalis,species,Corymbia opaca,C3,-26.97,NA,18.9404533000499,-26.999,125.534,2003,NA,Schulze_etal,2006
Corymbia terminalis,species,Corymbia opaca,C3,-28.36333333,NA,20.3344290147371,-25.419,127.554,2003,NA,Schulze_etal,2006
Corymbia terminalis,species,Corymbia opaca,C3,-27.575,NA,19.5454544170745,-26.996,125.594,2003,NA,Schulze_etal,2006
Corymbia tessellaris,species,Corymbia tessellaris,C3,-26.64,NA,18.8374417800787,-27.03,152.83,1993,NA,Stewart_etal,1995
Crotalaria novae-hollandiae,species,Crotalaria novae-hollandiae,C3,-30.55,NA,22.7349006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Cryptocarya erythroxylon,species,Cryptocarya erythroxylon,C3,-27.48,NA,19.7001048996961,-27.13,153.02,1992,NA,Stewart_etal,1995
Cupaniopsis anacardioides,species,Cupaniopsis anacardioides,C3,-29.7,NA,21.9201048996961,-27.13,153.02,1992,NA,Stewart_etal,1995
Cupaniopsis anacardioides,species,Cupaniopsis anacardioides,C3,-30.99,NA,23.1749006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Cuscuta campestris,species,Cuscuta campestris,C3,-26.471,NA,18.4624606595709,-35.017,117.23,2002,Feb,Cernusak_etal,2004
Cycas armstrongii,species,Cycas armstrongii,C3,-25.6,18.27,18.27,-11.767,130.867,1993,October,Schulze_etal,1998
Cyperus aquatilis,species,Cyperus aquatilis,C3,-27.68,NA,19.8649006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Dampiera,genus,Dampiera sp.,C3,-29.48,NA,21.6649006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Dampiera stricta,species,Dampiera stricta,C3,-30.49,NA,22.6648092463352,-26.85,153,1994,NA,unpub,NA
Daviesia latifolia,species,Daviesia latifolia,C3,-29.784,NA,21.7073280817156,-35.66,148.15,2005,NA,NA,NA
Grona brownii,species,Desmodium brownii,C3,-27.19,NA,19.3749006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Grona brownii,species,Desmodium brownii,C3,-30.73,NA,22.9149006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Desmodium,genus,Desmodium sp,C3,-29.64,NA,21.8249006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Dianella,genus,Dianella sp.,C3,-30.04,NA,22.2249006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Dioscorea bulbifera,species,Dioscorea bulbifera,C3,-31.55,NA,23.7349006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Dodonaea megazyga,species,Dodonaea viscosa,C3,-26.71,NA,18.9074417800787,-27.03,152.83,1993,NA,Stewart_etal,1995
Dodonaea triquetra,species,Dodonaea triquetra,C3,-28.6,NA,20.6823850801193,-33.58,151.3,1998,NA,unpub,NA
Dodonaea viscosa,species,Dodonaea viscosa ssp spatulata,C3,-27.2,NA,19.2824601246412,-32.97,146.13,1998,NA,unpub,NA
Dodonaea viscosa,species,Dodonaea viscosa ssp cuneata,C3,-25.6,NA,17.6824601246412,-32.97,146.13,1998,NA,unpub,NA
Dodonaea viscosa,species,Dodonaea viscosa ssp angustissima,C3,-27.5,NA,19.5824601246412,-32.97,146.13,1998,NA,unpub,NA
Dolichandrone filiformis,species,Dolichandrone filiformis,C3,-28.73,NA,20.9149006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Drypetes deplanchei,species,Drypetes deplanchei,C3,-29.45,NA,21.6701048996961,-27.13,153.02,1992,NA,Stewart_etal,1995
Duboisia myoporoides,species,Duboisia myoporoides,C3,-29.47,NA,21.6670921211604,-28.03,152.83,1993,NA,Stewart_etal,1995
Dunbaria,genus,Dunbaria sp.,C3,-32.33,NA,24.5149006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Elaeocarpus arnhemicus,species,Elaeocarpus arnhemicus,C3,-30.55,NA,22.7349006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Elaeocarpus arnhemicus,species,Elaeocarpus obovatus,C3,-28.08,NA,20.300104899696105,-27.13,153.02,1992,NA,Stewart_etal,1995
Elaeocarpus serratus,species,Elaeocarpus angustifolius,C3,-28.38,NA,20.3278473301286,-26.75,152.867,2004,NA,unpub,NA
Elaeocarpus serratus,species,Elaeocarpus angustifolius,C3,-28.47,NA,20.6670921211604,-28.03,152.83,1993,NA,Stewart_etal,1995
Empodisma minus,species,Empodisma minus,C3,-27.99,NA,20.1648092463352,-26.85,153,1994,NA,unpub,NA
Enchylaena tomentosa,species,Enchylaena tomentosa,C3,-24.93,NA,17.1514266303874,-24.08,145,1992,NA,Stewart_etal,1995
Epacris pulchella,species,Epacris pulchella,C3,-30.25,NA,22.4248092463352,-26.85,153,1994,NA,unpub,NA
