species,Accepted_name_rank,orig.species,ps.type,little.d13.org,big.D13.org,big.D13.merged,latitude,longitude,collection.year,collection.month,author,year
Adenia pechuelii,species,Adenia pechuelii,CAM,-18.3,NA,10.9082338603436,-22.4,14.6,1975,NA,Mooney_etal,1977
Adenolobus pechuelii,species,Adenolobus pechuelii,C3,-25.39,NA,17.9980622685194,-22.7,15.8,1975,February,Schulze_etal,1996
Adenophora stenophylla,species,Adenophora stenophylla,C3,-27.16,NA,19.2453502477717,44.77,123.78,2004,NA,Wang,2007
Adenophyllum porophylloides,species,Dyssodia porophylloides,C3,-27,NA,19.4672894084753,34.95,-114.42,1986,NA,Ehleringer_etal,1987
Adenosma glutinosa,species,Adenosma glutihosum,C3,-30.32,NA,22.778051779886,23.13,112.58,1985,NA,Ehleringer_etal,1987
Adenostoma fasciculatum,species,Adenostoma fasciculatum,C3,-26.94688929,NA,19.0043418555558,34.5,-119.82,2004,NA,Bhaskar_etal,2007
Adesmia,genus,Adesmia sp.,C3,-22.9,NA,15.2345029045248,-24.96,-70.43,1987,December,Ehleringer_etal,1997
Adesmia spinosissima,species,Adesmia spinosissima,C3,NA,17.7,17.7,-18.333,-69.667,1998,NA,Rundel_etal,2003
Adiantum capillus-veneris,species,Adiantum capillus-veneris,C3,-29.2,NA,21.658051779886,23.13,112.58,1985,NA,Ehleringer_etal,1987
Adiantum capillus-veneris,species,Adiantum capillus-veneris,C3,-28.1,NA,20.4828892785047,37.28,-110.85,1990,NA,Flanagan_etal,1997
Adiantum flabellulatum,species,Adiantum flabellulatum,C3,-32.76,NA,25.218051779886,23.13,112.58,1985,NA,Ehleringer_etal,1987
Adiantum latifolium,species,Adiantum latifolium,C3,-34.9,NA,26.8732863803388,10.433,-83.983,2005,NA,Watkins_etal,2007
Adiantum obliquum,species,Adiantum obliqum,C3,-33.9,NA,25.8732863803388,10.433,-83.983,2005,NA,Watkins_etal,2007
Adromischus sphenophyllus,species,Adromischus rhombifolius,CAM,-14.5,NA,7.10451785086929,-33.3,26.517,1975,NA,Mooney_etal,1977
Aechmea bracteata,species,Aechmea bracteata,CAM,-15.4,NA,7.8028614132043,19.31,-104.89,1987,NA,Mooney_etal,1989
Aechmea bracteata,species,Aechmea bracteata,CAM,-13.6,NA,5.62162981090436,21.15,-89.82,2004,NA,unpub,NA
Aechmea floribunda,species,Streptocalyx floribundus,CAM,-14.6,6.7,6.7,-22.817,-41.983,1997,October,Scarano_etal,2001
Aechmea tillandsioides,species,Aechmea tillandsioides,CAM,-12.3,NA,4.51981767524557,8.97,-79.38,1994,NA,ParqueNaturalMetropolitano,2002
Aegialitis rotundifolia,species,Aegialitis annulata,C3,-28.63,NA,20.8149006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Aerva javanica,species,Aerva persica,C4,-12.4,NA,5.13958916733188,26.583,71.95,1973,NA,Sankhla_etal,1975
Aerva javanica var. bovei,variety,Aerva pseudotomentosa,C4,-12.78,NA,5.51958916733188,26.583,71.95,1973,NA,Sankhla_etal,1975
Afzelia quanzensis,species,Afzelia quanzensis,C3,-26.5,NA,18.4722948697992,-23,31.483,2003,NA,Codron_etal,2005
Agathis borneensis,species,Agathis borneensis,C3,-30,NA,22.1427657471813,4.577,114.503,1997,NA,Turner_etal,2000
Agave ortgiesiana,species,Agave colimana,CAM,-13.6,NA,6.0028614132043,19.31,-104.89,1987,NA,Mooney_etal,1989
Agave tequilana,species,Agave angustifolia,CAM,-12.65,NA,5.0528614132043,19.31,-104.89,1987,NA,Mooney_etal,1989
Agave tequilana,species,Agave angustifolia,CAM,-15.64,NA,7.66162981090436,21.15,-89.82,2004,NA,unpub,NA
Ageratum conyzoides,species,Ageratum conyzoides,C3,-28.58,NA,21.0686875265301,-5.67,145.02,1981,NA,Korner_etal,1988
Ageratum conyzoides,species,Ageratum conyzoides,C3,-30.85,NA,23.308051779886,23.13,112.58,1985,NA,Ehleringer_etal,1987
Agropyron badamense,species,Agropyron cristatum,C3,-28.57,NA,20.610981548384,36.767,109.25,2005,June,Zheng_Shangguan,2007
Agropyron badamense,species,Agropyron cristatum,C3,-26.18,NA,18.2239519126677,37.85,110.167,2005,June,Zheng_Shangguan,2007
Agropyron badamense,species,Agropyron cristatum,C3,-28.47,NA,20.5165052781732,38.783,110.35,2005,June,Zheng_Shangguan,2007
Agropyron badamense,species,Agropyron cristatum,C3,-27.35,NA,19.3890591192426,36.067,108.533,2005,June,Zheng_Shangguan,2007
Agrostis exarata,species,Agrostis alaskana,C3,-33.5,NA,25.7115462251353,59.38,-135.63,2000,7,Woollers_etal,2007
Agrostis clavata,species,Agrostis clavata,C3,-32.9,NA,25.1406703713145,62.52,-152.41,1999,7,Woollers_etal,2007
Agrostis exarata,species,Agrostis exarata,C3,-32.2,NA,24.8832709809195,57.1,-135.26,1979,7,Woollers_etal,2007
Agrostis hyemalis,species,Agrostis geminata,C3,-28.5,NA,21.3265895068868,60.4,-145.27,1973,8,Woollers_etal,2007
Agrostis imberbis,species,Agrostis scabra,C3,-30.6,NA,22.7901762521216,60.01,-152.61,2001,7,Woollers_etal,2007
Agrostis mertensii,species,Agrostis mertensii,C3,-31.1,NA,23.5843070861728,59.55,-135.1,1988,8,Woollers_etal,2007
Agrostis stolonifera,species,Agrostis stolonifera,C3,-32.1,NA,24.7841394214107,57.49,-135.86,1979,8,Woollers_etal,2007
Agrostis vinealis,species,Agrostis trinii,C3,-26.3,NA,19.2936925748969,64.58,-165.61,1966,8,Woollers_etal,2007
Aizoanthemum galenioides,species,Aizoanthemum galenioides,C3,-22,NA,14.6086201233998,-21.75,13.98,1975,NA,Mooney_etal,1977
Alantsilodendron pilosum,species,Dichrostachys cinerea,C3,-26.4,NA,18.3722948697992,-23,31.483,2003,NA,Codron_etal,2005
Pseudalbizzia adinocephala,species,Albizia adinocephala,C3,-28.4,NA,20.6198176752456,8.97,-79.38,1994,NA,ParqueNaturalMetropolitano,2002
Hydrochorea pedicellaris,species,Balizia pedicellaris,C3,-30.86,NA,22.9216148633588,-2.85,-54.95,2000,NA,unpub,NA
Hydrochorea pedicellaris,species,Balizia pedicellaris,C3,-29.5,NA,21.6215379850688,5.33,-52.83,1998,NA,Bonal_etal,2000
Alchornea latifolia,species,Alchornea latifolia,C3,-32.8,NA,25.0641400828125,18.3,-65.783,1993,NA,von_Fischer_etal,1995
Alchornea latifolia,species,Alchornea latifolia,C3,-29.3,NA,21.5641400828125,18.3,-65.783,1993,NA,von_Fischer_etal,1995
Alchornea sicca,species,Homalanthus populneus,C3,-27.88,NA,19.9212192424403,-1.417,120.33,2001,NA,Juhrbandt,2004
Alchornea trewioides,species,Alchornea trewioides,C3,-29.65,NA,22.108051779886,23.13,112.58,1985,NA,Ehleringer_etal,1987
Alectryon oleifolius,species,Alectryon oleifolius,C3,-26.7,NA,18.9214266303874,-24.08,145,1992,NA,Stewart_etal,1995
Alepis flavida,species,Alepis flavida,C3,-31.05,NA,23.2467072312778,-45.3,170.5,1993,NA,Bannister_Strong,2001
Alexa grandiflora,species,Alexa grandiflora,C3,-30.29,NA,22.3516148633588,-2.85,-54.95,2000,NA,unpub,NA
Alibertia edulis,species,Alibertia edulis,C3,-32.2,NA,24.3756680413351,-2.5,-54.967,1995,NA,Magnus_etal,1999
Allagoptera arenaria,species,Allagoptera arenaria,C3,-26.6,19.1,19.1,-22.867,-42.525,1997,October,Scarano_etal,2001
Allagoptera arenaria,species,Allagoptera arenaria,C3,-24.7,17.1,17.1,-22.933,-42.217,1997,October,Scarano_etal,2001
Allantoma integrifolia,species,Cariniana integrifolia,C3,-28.52,NA,20.5821680413351,-2.5,-60,2000,NA,unpub,NA
Allium ericetorum,species,Allium odorum,C3,-27.01,NA,19.0953502477718,44.77,123.78,2004,NA,Wang,2007
Allocasuarina,genus,Allocasuarina sp,C3,-30.3,NA,22.3823850801193,-33.58,151.3,1998,NA,unpub,NA
Allosyncarpia ternata,species,Allosyncarpia ternata,C3,-28.13,NA,20.3149006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Allosyncarpia ternata,species,Allosyncarpia ternata,C3,-30.65,NA,22.8349006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Alluaudia ascendens,species,Alluaudia ascendens,CAM,-12,NA,4.53878447225422,-25,46.6,1978,November,Winter,1979
Alluaudia comosa,species,Alluaudia comosa,CAM,-13.4,NA,5.93878447225423,-25,46.6,1978,November,Winter,1979
Alluaudia dumosa,species,Alluaudia dumosa,CAM,-13.1,NA,5.63878447225422,-25,46.6,1978,November,Winter,1979
Alluaudia humbertii,species,Alluaudia humbertii,CAM,-14,NA,6.53878447225422,-25,46.6,1978,November,Winter,1979
Alluaudia procera,species,Alluaudia procera,CAM,-13.25,NA,5.78878447225422,-25,46.6,1978,November,Winter,1979
Alnus alnobetula subsp. crispa,subspecies,Alnus crispa,C3,-27.6265,NA,19.9666176327342,55.927,-98.62,1994,NA,Brooks_Curd,1998
Alnus alnobetula subsp. crispa,subspecies,Alnus crispa,C3,-28.3,NA,20.6344417507071,53.5,-105.75,1994,NA,Brooks_etal,1998
Alnus alnobetula subsp. crispa,subspecies,Alnus crispa,C3,-28.4,NA,20.7397119975736,55.75,-97.867,1994,NA,Brooks_etal,1998
Alnus alnobetula subsp. crispa,subspecies,Alnus crispa,C3,-27.76556522,NA,20.1055752737831,55.88,-98.67,1994,NA,Brooks_Curd,1998
Alnus alnobetula subsp. crispa,subspecies,Alnus crispa,C3,-29.7286,NA,22.0681971666676,55.7,-98.51,1994,NA,Brooks_Curd,1998
Alnus alnobetula subsp. crispa,subspecies,Alnus crispa,C3,-28.8379,NA,21.1733315729878,53.916,-104.69,1994,NA,Brooks_Curd,1998
Alnus incana,species,Alnus incana,C3,-29.13,NA,21.3267072312778,-45.3,170.5,1993,NA,Bannister_Strong,2001
Alnus incana,species,Alnus incana,C3,-30.10333333,NA,22.3544187606896,68.33,18.85,1999,July/Aug.,unpub,NA
Alocasia macrorrhizos,species,Alocasia macrorrhiza,C3,-27.74,NA,20.198051779886,23.13,112.58,1985,NA,Ehleringer_etal,1987
Aloe ferox,species,Aloe ferox,CAM,-14.7,NA,7.30451785086929,-33.3,26.517,1975,NA,Mooney_etal,1977
Aloe x hexapetala,species,Aloe speciosa,CAM,-20.3,NA,12.9045178508693,-33.3,26.517,1975,NA,Mooney_etal,1977
Aloidendron ramosissimum,species,Aloe ramosissima,CAM,NA,6.5,6.5,-28.23,17.08,1995,NA,Rundel_etal,1999
Alopecurus aequalis,species,Alopecurus aequalis,C3,-29,NA,21.1436162218246,59.46,-138.04,2003,6,Woollers_etal,2007
Alopecurus magellanicus,species,Alopecurus alpinus,C3,-30.3,NA,23.0634009499675,78.533,-72.383,1977,NA,Blake_etal,1977
Alopecurus brachystachyus,species,Alopecurus pratensis,C3,-27.7,NA,20.2635250360883,65.2,-148.06,1985,7,Woollers_etal,2007
Alopecurus geniculatus,species,Alopecurus geniculatus,C3,-30,NA,22.5175433736312,64.88,-148.81,1987,6,Woollers_etal,2007
