taxon_name,authors
Pinus pinaster,"Citation: Aiton, Hort. Kew. 3:367 (1789)."
Pinus ponderosa,"Citation: Douglas in Loudon, Arboret. frut. Brit. 4:2243 (1838)."
Pinus radiata,"Citation: D. Don, Trans. Linn. Soc. 17:442 (1837)."
Cupressaceae,Author:Prepared by J. Venning
Callitris,"Citation: Vent., Dec. Gert. Nov. 10 (1808)."
Callitris columellaris,"Citation: F. Muell., Fragm. Phyt. Aust. 5:198 (1866)."
Callitris preissii,"Citation: Miq. in Lehm., Pl. Preiss. 1:643 (1845)."
Callitris rhomboidea,"Citation: R. Br. ex Rich., Conif. 47 (1826)."
Callitris canescens,"Citation: S.T. Blake, Proc. R. Soc. Qld 70:39 (1959)."
Callitris verrucosa,"Citation: F.Muell., Rept Burdek. Exped. 19 (1860)."
Casuarinaceae,Author:Prepared by L. A. S. Johnson and K. L. Wilson
Allocasuarina,"Citation: L. Johnson, J. Adelaide Bot. Gard. 6:73 (1982)."
Allocasuarina decaisneana,"Citation: L. Johnson, J. Adelaide Bot. Gard. 6:74 (1982)."
Allocasuarina helmsii,"Citation: L. Johnson, J. Adelaide Bot. Gard. 6:75 (1982)."
Allocasuarina luehmannii,"Citation: L. Johnson, J. Adelaide Bot. Gard. 7:314 (1985)."
Allocasuarina paradoxa,"Citation: L. Johnson, J. Adelaide Bot. Gard. 6:77 (1982)."
Allocasuarina muelleriana,"Citation: L. Johnson, J. Adelaide Bot. Gard. 6:77 (1982)."
Allocasuarina paludosa,"Citation: L. Johnson, J. Adelaide Bot. Gard. 6:77 (1982)."
Allocasuarina pusilla,"Citation: L. Johnson, J. Adelaide Bot. Gard. 6:77 (1982)."
Allocasuarina robusta,"Citation: L. Johnson, J. Adelaide Bot. Gard. 6:78 (1982)."
Allocasuarina striata,"Citation: L. Johnson, J. Adelaide Bot. Gard. 6:78 (1982)."
Allocasuarina verticillata,"Citation: L. Johnson, J. Adelaide Bot. Gard. 6:79 (1982)."
Casuarina,"Citation: Adans., Fam. 2:481 (1763)."
Casuarina cristata,"Citation: Miq., Rev. Crit. Cas. 70 (1848) subsp. pauper (F. Muell. ex Miq.) L. Johnson, Nuytsia 1:265 (1972)."
Casuarina obesa,"Citation: Miq. in Lehm., Pl. Preiss. 1:640 (1845)."
Salicaceae,Author:Prepared by J. P. Jessop
Salix,"Citation: L., Sp. Pl. 1015 (1753)."
Salix babylonica,"Citation: L., Sp. Pl. 1017 (1753)."
Salix cinerea,"Citation: L., Sp.Pl. 1021 (1753)."
Fagaceae,Author:Prepared by J.P. Jessop
Quercus,"Citation: L., Sp. Pl. 994 (1753)."
Quercus robur,"Citation: L., Sp. Pl. 996 (1753)."
Moraceae,Author:Prepared by J.P. Jessop
Ficus,"Citation: L., Sp. Pl. 1059 (1753)."
Ficus carica,"Citation: L., Sp. Pl. 1059 (1753)."
Ficus platypoda,"Citation: Cunn. ex Miq., Ann. Mus. Bot. Lugd. Bat. 3:287 (1867)."
Cannabaceae,Author:Prepared by J.P. Jessop
Cannabis,"Citation: L., Sp. Pl. 1027 (1753)."
Cannabis sativa,"Citation: L., Sp. Pl. 1027 (1753)."
Urticaceae,Author:Prepared by J.P. Jessop
Parietaria,"Citation: L., Sp. Pl. 1052 (1753)."
Parietaria debilis,"Citation: Forster f., Fl. Insul. Aust. Prod. 73 (1786)."
Parietaria judaica,"Citation: L., Fl. Palaest. 32 (1756)."
Soleirolia,"Citation: Gaudich., Voy. aut. Monde (Bot.) 504 (1830)."
Soleirolia soleirolii,"Citation: Dandy in Heyw., Reprium nov. Spec. Regni veg. 70:4 (1965)."
Urtica,"Citation: L., Sp. Pl. 983 (1753)."
Urtica incisa,"Citation: Poiret in Lam., Encycl. Suppl. 4:224 (1816)."
Urtica urens,"Citation: L., Sp. Pl. (1753)."
Proteaceae,Author:Prepared by W. R. Barker
Adenanthos,Citation: Labill. Nov. Holl. Pl. Sp. 1:28 (1805).
Adenanthos macropodiana,"Citation: E.C. Nelson, Brunonia 1:378 (1978)."
Adenanthos terminalis,"Citation: R. Br., Trans. Linn. Soc. 10:152 (1810)."
Banksia,"Citation: L.f., Suppl. 15, 126 (1782)."
Banksia marginata,"Citation: Cav., Anal. Hist. Nat. 1:227 (1800)."
Banksia ornata,"Citation: F. Muell. ex Meissner, Linnaea 26:352 (1854)."
Conospermum,"Citation: Smith, Trans. Linn. Soc. 4:213 (1798)."
Conospermum patens,"Citation: Schldl., Linnaea 20:587 (1847)."
Grevillea,"Citation: R. Br. ex J. Knight, Cult. Proteaceae 120 (1809)."
Grevillea biternata,"Citation: Meissner in Lehm., Pl. Preiss. 1:549 (1845)."
Grevillea ilicifolia,"Citation: R. Br., Suppl. Primum Prod. Fl. Nov. Holl. Prot. Nov. 21 (1830)."
Grevillea aquifolium,"Citation: Lindley in T.L. Mitchell, Three Exped. Int. eastern Austral. 2:178 (1838)."
Grevillea aspera,"Citation: R. Br., Trans. Linn. Soc. 10:172 ( 1810)."
Grevillea eriostachya,"Citation: Lindley, Sketch Veg. Swan Riv. Col. xxxvi (1840)."
Grevillea parviflora,"Citation: R. Br., Trans. Linn. Soc. 10:171 (1810)."
Grevillea huegelii,"Citation: Meissner in Lehm., Pl. Preiss. 1:543 (1845)."
Grevillea juncifolia,"Citation: Hook. in T.L. Mitchell, J. Trop. Aust. 341 (1848)."
Grevillea lavandulacea,"Citation: Schldl., Linnaea 20:586 (1847)."
Grevillea lavandulacea sericea,"Citation: Benth., Fl. Aust. 5:448 (1870)."
Grevillea rosmarinifolia,"Citation: Cunn. in B. Field, Geogr. Mem. N.S.W. 328 (1825)."
Grevillea rogersii,"Citation: Maiden, Trans. R. Soc. S. Aust. 32:257 (1908)."
Grevillea muricata,"Citation: J. Black, Trans. R. Soc. S. Aust. 63:244, 247, fig. 4 (1939)."
Grevillea nematophylla,"Citation: F. Muell., Fragm. Phyt. Aust. 1:136 (1859)."
Grevillea parallelinervis,"Citation: Carrick, Contr. Herb. Aust. 15:1 (1976)."
Grevillea pauciflora,"Citation: R. Br., Trans. Linn. Soc. 10:171 (1810)."
Grevillea pterosperma,"Citation: F. Muell., Trans. Phil. Soc. Vic. 1:22 (1854)."
Grevillea quinquenervis,"Citation: J. Black, Trans. R. Soc. S. Aust. 33:225 (1909)."
Grevillea umbellifera,"Citation: J. Black, Trans. R. Soc. S. Aust. 71:21 (1947)."
Grevillea stenobotrya,"Citation: F. Muell., Fragm. Phyt. Aust. 9:3 (1875)."
Grevillea striata,"Citation: R. Br., Trans. Linn. Soc. 10:177 (1810)."
Grevillea treueriana,"Citation: F. Muell., Fragm. Phyt. Aust. 9:123 (1875)."
Hakea,"Citation: Schrader, in Schrader & Wendl., Sert. Hannov. 27 (1797)."
Hakea aenigma,"Citation: W.R. Barker & Haegi in Haegi & W.R. Barker, J. Adelaide Bot. Gard. 7:261 (1985)."
Hakea carinata,"Citation: F. Muell. ex Meissner, Linnaea 26:360 (1854)."
Hakea cycloptera,"Citation: R. Br., Trans. Linn. Soc. 10:182 (1810)."
Hakea sericea,"Citation: Schrader, in Schrader & Wendl., Sert. Hannov. 27 (1797)."
Hakea vittata,"Citation: R. Br., Trans. Linn. Soc. 10:182 (1810)."
Hakea divaricata,"Citation: L. Johnson, Contr. N.S.W. hath. Herb. 3:93 (1962)."
Hakea eyreana,"Citation: D. McGillivray, Telopea 1:30 (1975)."
Hakea ednieana,"Citation: Tate, Trans. R.Soc. S. Aust. 7:70 (1885)."
Hakea francisiana,"Citation: F. Muell., Fragm. Phyt. Aust. 1:20 (1858)."
Hakea laurina,"Citation: R. Br., Suppl. Primum Prod. Fl. Nov. Holl. Prot. Nov. 29 (1830)."
Hakea leucoptera,"Citation: R. Br., Trans. Linn. Soc. 10:180 (1810)."
Hakea suberea,"Citation: S. Moore, J. Linn. Soc.(Bot.) 34:223 (1899)."
Hakea minyma,"Citation: Maconochie, Trans. R. Soc. S. Aust. 97:130 (1973)."
Hakea muelleriana,"Citation: J. Black, Fl. S. Aust. 267 (1948)."
Hakea nodosa,"Citation: R. Br., Trans. Linn. Soc. 10:179 (1810)."
Hakea repullulans,"Citation: H.M. Lee, Aust. J. Bot. 32:681 (1984)."
Hakea rostrata,"Citation: F. Muell. ex Meissner, Linnaea 26:259 (1854)."
Hakea rugosa,"Citation: R. Br., Trans. Linn. Soc. 10:179 (1810)."
Hakea tephrosperma,"Citation: R. Br., Suppl. Primum Prod. Fl. Nov. Holl. Prot. Nov. 26 (1830)."
Isopogon,"Citation: R. Br. ex J. Knight, Cult. Proteaceae 93 (1809)."
Isopogon ceratophyllus,"Citation: R. Br., Trans. Linn. Soc. 10:72 (1810)."
Persoonia,"Citation: Smith, Trans. Linn. Soc. 4:215 (1798)."
Petrophile,"Citation: R. Br. ex J. Knight, Cult. Proteaceae 92 (1809)."
Petrophile multisecta,"Citation: F. Muell., Fragm. Phyt. Aust. 6:242 (1868)."
Olacaceae,Author:Prepared by J.P. Jessop
Olax,"Citation: L., Sp. Pl. 34 (1753)."
Olax obcordata,"Citation: A.S. George, Fl. Aust. 22:220 (1984)."
Santalaceae,Author:Prepared by J.P. Jessop
Anthobolus,"Citation: R. Br., Prod. Fl. Nov. Holl. 357 (1810)."
Anthobolus leptomerioides,"Citation: F. Muell., Fragm. Phyt. Aust. 1:21 (1858)."
Choretrum,"Citation: R. Br., Prod. Fl. Nov. Holl. 354 (1810)."
Choretrum chrysanthum,"Citation: F. Muell., Trans. Phil. Soc. Vic. 1:23 (1854)."
Choretrum glomeratum,"Citation: R. Br., Prod. Fl. Nov. Holl. 354 (1810)."
Choretrum spicatum,"Citation: F. Muell., Fragm. Phyt. Aust. 1:21 (1858)."
Exocarpos,"Citation: Labill., Voy. rech. P rouse 1:155 (1800)."
Exocarpos aphyllus,"Citation: R. Br., Prod. Fl. Nov. Holl. 357 ( 1810)."
Exocarpos cupressiformis,"Citation: Labill., Voy. rech. P rouse 1:156 (1800)."
Exocarpos sparteus,"Citation: R. Br., Prod. Fl. Nov. Holl. 356 (1810)."
Exocarpos strictus,"Citation: R. Br., Prod. Fl. Nov. Holl. 357 (1810)."
Exocarpos syrticola,"Citation: Stauffer, Mitt. Bot. Mus. Univ. Z rich 213:173 (1959)."
Leptomeria,"Citation: R. Br., Prod. Fl. Nov. Holl. 353 (1810)."
Leptomeria aphylla,"Citation: R. Br., Prod. Fl. Nov. Holl. 353 (1810)."
Leptomeria preissiana,"Citation: A. DC., Prod. 14,2:678 (1857)."
Santalum,"Citation: L., Sp. Pl. 349 (1753)."
Santalum acuminatum,"Citation: A. DC., Prod. 14, 2:684 (1857)."
Santalum lanceolatum,"Citation: R. Br., Prod. Fl. Nov. Holl. 356 (1810)."
Santalum murrayanum,"Citation: C. Gardner, Bull. For. Dept W. Aust. 44:9 (1929)."
Santalum spicatum,"Citation: A. DC., Prod. 14:685 (1857)."
Loranthaceae,Author:Prepared by B. A. Barlow
Amyema,"Citation: Tieghem, Bull. Soc. Bot. Fr. 41:499 (1894)."
Amyema fitzgeraldii,"Citation: Danser, Bull., Jard. Bot. Buitenz. 10:295 (1929)."
Amyema gibberulum,"Citation: Danser, Bull. Jard. Bot. Buitenz. 10:295 (1929) var. gibberulum."
Amyema hillianum,"Citation: Danser, Bull. Jard. Bot. Buitenz. 10:296 (1929)."
Amyema linophyllum,Citation: Buloke mistletoe.
Amyema maidenii,"Citation:  Barlow, Proc. Linn. Soc. N.S.W. 87:57 (1962) subsp. maidenii."
Amyema melaleucae,"Citation: Tieghem, Bull. Soc. Bot. Fr. 42:84 (1895)."
Amyema miquelii,"Citation: Tieghem, Bull. Soc. Bot. Fr. 41:507 (1894)."
Amyema miraculosum,"Citation: Tieghem, Bull. Soc. Bot. Fr. 42:84 (1895) subsp. boormanii (Blakely)Barlow, Aust. J. Bot. 14:477 (1966)."
Amyema pendulum,"Citation: Tieghem, Bull. Soc. Bot. Fr. 41:507 (1894) subsp, pendulum."
Amyema preissii,"Citation: Tieghem, Bull. Soc. Bot. Fr. 42:84 (1895)."
Amyema quandang,"Citation: Tieghem, Bull. Soc. Bot. Fr. 41:507 (1894) var. quandang."
Amyema sanguineum,"Citation: Danser, Bull. Jard. Bot. Buitenz. 10:298 (1929)."
Diplatia,"Citation: Tieghem, Bull. Soc. Bot. Fr. 41:501 (1894)."
Diplatia grandibractea,"Citation: Tieghem, Bull. Soc. Bot. Fr. 41:501 (1894)."
Lysiana,"Citation: Tieghem, Bull. Soc. Bot. Fr. 41:599 (1894)."
Lysiana exocarpi,"Citation: Tieghem, Bull. Soc. Bot. Fr. 41:603 (1894) subsp. exocarpi."
Lysiana subfalcata,"Citation: Barlow, Proc. Linn. Soc. N.S. W. 88:141 (1963)."
Lysiana murrayi,"Citation: Tieghem, Bull. Soc. Bot. Fr. 41:603 (1894)."
Muellerina,"Citation: Tieghem, Bull. Soc. Bot. Fr. 42:25 (1895)."
Muellerina eucalyptoides,"Citation: Barlow, Proc. Linn. Soc. N.S.W. 87:55 (1962)."
Viscaceae,Author:Prepared by B. A. Barlow
Korthalsella,"Citation: Tieghem, Bull. Soc. Bot. Fr. 43:83 (1896)."
Korthalsella leucothrix,"Citation: Barlow, Brunonia 6:48 (1983)."
Polygonaceae,Author:Prepared by K. Chorney
Muehlenbeckia coccoloboides,"Citation: J. Black, Trans. R. Soc. S. Aust. 42:170 (1918)."
Calycopeplus paucifolius,"Citation: Baillon, Andansonia 6:319 (1866)."
Muehlenbeckia cunninghamii,"Citation: F. Muell., Fragm. Phyt. Aust. 5:91 (1865)."
Muehlenbeckia horrida,"Citation: Gross, Bot. Jb. 49:347 (1913)."
Polygonum convolvulus,"Citation: L., Sp. Pl. 364 (1753)."
Muehlenbeckia,"Citation: Meissner, Pl. vasc. gen. 227, t. 316 (1841)."
Muehlenbeckia adpressa,"Citation: Meissner, Pl. vasc. gen. 227 (1840)."
Muehlenbeckia diclina,"Citation: Druce, Rep. Botl Soc. Exch. Cl. Br. Isl. 1916:636 ( 1917)."
Muehlenbeckia gunnii,"Citation: Walp., Ann. Bot. Syst. 1:552 (1849)."
Polygonum attenuatum,"Citation: R. Br., Prod. Fl. Nov. Holl. 420 (1810)."
Polygonum capitatum,"Citation: Buch.-Ham. ex D. Don, Prod. Fl. Nep. 73 (1825)."
Polygonum salicifolium,"Citation: Brouss. ex Willd., Enum. Hort. Berol. 1:428 (1809)"
Polygonum glabrum,"Citation: Willd., Sp. Pl. 2:447 (1799)."
Polygonum lapathifolium,"Citation: L., Sp. Pl. 360 (1753)."
Polygonum orientale,"Citation: L., Sp. Pl. 362 (1753)."
Polygonum strigosum,"Citation: R. Br., Prod. Fl. Nov. Holl. 420 (1810)."
Polygonum prostratum,"Citation: R. Br., Prod. Fl. Nov. Holl. 419 (1810)"
Polygonum,"Citation: L., Sp. Pl. 359 (1753)."
Polygonum aviculare,"Citation: L., Sp. Pl. 1:362 (1753)."
Polygonum patulum,"Citation: M. Bieb., Fl. Taur.-Caucas. 1:304 (1808)."
Polygonum plebeium,"Citation: R. Br., Prod. Fl. Nov. Holl. 420 (1810)."
Rumex,"Citation: L., About 200 species, cosmopolitan. (Key and several descriptions from Rechinger (1984) Nuytsia 5:75-122.) Docks."
Rumex acetosella,"Citation: L., Sp. Pl. 338 (1753)."
Rumex bidens,"Citation: R. Br., Prod. Fl. Nov. Holl. 421 (1810)."
Rumex brownii,"Citation: Campder , Monogr. Rumex 64 (1819)."
Rumex alcockii,"Citation: Rech. f., Nuytsia 5:109 (1984)."
Rumex conglomeratus,"Citation: Murray, Prod. Stirp. gottingens. 52 (1770)."
Rumex crispus,"Citation: L., Sp. Pl. 335 (1753)."
Rumex crystallinus,"Citation: Lange, Ind. Semin. Haun. 28 (1861)."
Rumex dumosus,"Citation: Cunn. ex Meissner in DC., Prod. 14:62 (1856)."
Rumex dumosus dumosiformis,"Citation: Rech, f., Nuytsia 5:98 (1984)."
Emex australis,"Citation: Steinh., Annls.Sci. nat. s r. 2, 9:195 (1838)."
Rumex obtusifolius,"Citation: L., Sp. Pl. 335 (1753)."
Rumex pulcher,"Citation: L., Sp. Pl. 336 (1753)."
Rumex pulcher divaricatus,"Citation: Murb., Fysiogr. Sallskap. Handl. 2:45 (1891)."
Rumex sagittatus,"Citation: Thunb., Prod. Pl. Cap. 67 (1794)."
Emex spinosa,"Citation: Campder , Monog. Rumex 58 (1819)."
Rumex tenax,"Citation: Rech. f., Oesterr. Bot. Zeitschr. 84:40 (1935)."
Rumex vesicarius,"Citation: L., Sp. Pl. 336 (1753)."
Phytolaccaceae,Author:Prepared by J.P. Jessop
Phytolacca,"Citation: L., Sp.Pl. 441 (1753)."
Phytolacca octandra,Citation: .
Gyrostemonaceae,Author:Prepared by H. R. Toelken
Codonocarpus,"Citation: Cunn. ex Endl., Enum. Pl. H gel 10 (1837)."
Codonocarpus cotinifolius,"Citation: F. Muell., Pl. Indig. Col. Vic. 1:200 (1862)."
Codonocarpus pyramidalis,"Citation: F. Muell., Pl. lndig. Col. Vic. 1:201 (1862)."
Gyrostemon,"Citation: Desf., M m. Mus. Hist. Nat. Paris 6:16 (1820)."
Gyrostemon australasicus,"Citation: Heimerl, Nat rl. Pflanzenfam. 3, 1b:12 (1889)."
Gyrostemon ramulosus,"Citation: Desf., M m. Mus. Hist. Nat. Paris 6:17, t. 6 (1820)."
Gyrostemon tepperi,"Citation:  A.S. George, Fl. Aust. 8:392 (1982)."
Gyrostemon thesioides,"Citation: A.S. George, Fl. Aust. 8:392 (1982)."
Nyctaginaceae,Author:Prepared by J.P. Jessop
Boerhavia,"Citation: L., Sp. Pl. 3 (1753)."
Boerhavia dominii,"Citation: Meikle & Hewson, Fl. Aust. 4:318 (1984)."
Boerhavia schomburgkiana,"Citation: Oliver, Hook. Ic. 13:20, t. 1225 (1877)."
Boerhavia coccinea,"Citation: Miller, Gard. Dict. edn 8 (1768)."
Commicarpus,"Citation: Standley, Contr. U.S. natn. Herb. 12:373 (1909)."
Commicarpus australis,"Citation: Meikle, Notes R. Bot. Gard. Edinb. 36:248 (1978)."
Mirabilis,"Citation: L., Sp. Pl. 177 (1753)."
Mirabilis jalapa,"Citation: L., Sp. P1. 177 (1753)."
Aizoaceae,Author:Prepared by J. P. Jessop
Galenia pubescens,"Citation: Druce, Rep. Botl Soc. Exch. Club Br. Isl. 1916:624 ( 1917) var. pubescens."
Galenia secunda,"Citation: Sonder, Fl. Capens. 2:474 (1862)."
Aptenia,"Citation: N.E. Br., Gdnrs' Chron. 78:412 (1925)."
Aptenia cordifolia,"Citation: Schwantes, Gartenfiora 77:69 (1928)."
Carpobrotus,"Citation: N.E. Br., Gdnrs' Chron. 78: 433 (1925)."
Carpobrotus aequilaterus,"Citation: N.E. Br., J. Bot.,Lond. 66:324 (1928)."
Carpobrotus edulis,"Citation: L. Bolus, Fl. Pl.S. Afr. 7:pl. 247 (1927)."
Carpobrotus modestus,"Citation: S.T. Blake, Contrib. Qld Herb. 7:30 (1969)."
Carpobrotus rossii,"Citation: Schwantes, Gartenflora 77:68 (1928)."
Micropterum papulosum,"Citation: Schwantes, Reprium nov. Spec. Regni veg. 43:257 (1938)."
Disphyma,"Citation: N.E. Br., Gdnrs' Chron. 78:433 (1925)."
Disphyma crassifolium,"Citation: L. Bolus, Fl. Pl.S.Afr. 7:t. 276 (1927) subsp. clavellatum (Haw.)Chinn.*"
Drosanthemum,"Citation: Schwantes, Z. Sukk. 3:14 (1927)."
Drosanthemum candens,"Citation: Schwantes, Z. Sukk. 3:30 (1927)."
Glinus,"Citation: L., Sp. Pl. 463 (1753)."
Glinus lotoides,"Citation: L., Sp. Pl. 463 (1753)."
Glinus oppositifolius,"Citation: R. DC., Bull. Herb. Boiss. s r. 2, 1:559 (1901)."
Glinus orygioides,"Citation: F. Muell., Pl. Indig. Col. Vic. 1:203 (1862)."
Gunniopsis,"Citation: Pax, Nat rl. Pflanzenfam. 3:44 (1889)."
Gunniopsis calcarea,"Citation: Chinn., J. Adelaide Bot. Gard. 6:156 (1983)."
Gunniopsis calva,"Citation: Chinn., J. Adelaide Bot. Gard. 6:164 (1983)."
Gunniopsis kochii,"Citation: Chinn., J. Adelaide Bot. Gard. 6:162 (1983)."
Gunniopsis papillata,"Citation: Chinn., J. Adelaide Bot. Gard. 6:160 (1983)."
Gunniopsis quadrifida,"Citation: Pax, Nat rl. Pflanzenfam. III, lb:44 (1889)."
