Family,Species,Seed germination Treatment,Primary Nutrient acquisition strategy,Secondary Nutrient acquisition strategy,N-fixing,Seed storage,Fire response,Individual seed (mg,source_id Nutrient Acquisition and N-fixing species,source_id Seed storage,source_id Fire response,treatment,emergence,survival
Proteaceae,Grevillea eriostachya,Sm,Cluster,None,No,Soil,Resprouter,23.2,Brundrett_2008; Dinkelaker_1995; Lamont_1972,Bell_1993; Veber_2016; D’Agui_2017,Bell_1993; D’Agui_2017; Bowen_1991,,,
Proteaceae,Grevillea shuttleworthiana,Sm,Cluster,None,No,Soil,Resprouter,3.1,Brundrett_2008; Dinkelaker_1995; Lamont_1972,Bell_1993; D’Agui_2017,Bell_1993; Bowen_1991; Hnatiuk_1980,,,
Proteaceae,Hakea costata,None,Cluster,None,No,Canopy,Death,8.9,Zemunik_2016; Lamont_1982; Lamont_1972,D’Agui_2017; Midgley_1991,D’Agui_2017; Hnatiuk_1980; Midgley_1991,,,
Proteaceae,Hakea trifurcata,None,Cluster,None,No,Canopy,Death,16.3,Zemunik_2016; Lamont_1982; Lamont_1972,Bell_1993; Midgley_1991; El-ahmir_2015,Bell_1993; Bowen_1991; Midgley_1991; El-ahmir_2015,,,
Proteaceae,Lambertia multiflora,None,Cluster,None,No,Soil,Resprouter,26.3,Dinkelaker_1995; Lamont_1972,D’Agui_2017; Veber_2016,D’Agui_2017; Pate_1985; Bowen_1991,,,
Proteaceae,Petrophile drummondii,Sm,Cluster,None,No,Canopy,Death,11.7,Dinkelaker_1995; Lamont_1972,Bell_1993; D’Agui_2017,Bell_1993; D’Agui_2017; Bowen_1991,,,
Proteaceae,Stirlingia latifolia,None,Cluster,None,No,Soil,Resprouter,14.1,Zemunik_2016,Bell_1993; D’Agui_2017,Bell_1993; D’Agui_2017; Pate_1985; Bowen_1991; Hnatiuk_1980,,,
Fabaceae,Acacia pulchella,,,,,,,,,,,negative control,86.4 (4.1),86.7 (4.1)
Fabaceae,Acacia pulchella,,,,,,,,,,,Phytophthora arenaria CBS 127950,35.2 (6.5),19.7 (5.2)
Fabaceae,Acacia pulchella,,,,,,,,,,,Phytophthora boodjera VHS 26806,81.4 (4.9),79.7 (5.3)
Fabaceae,Acacia pulchella,,,,,,,,,,,Phytophthora cinnamomi MP 94-48,49.9 (7.1),42.8 (7.3)
Fabaceae,Acacia pulchella,,,,,,,,,,,Phytophthora pseudorosacearum VHS 24266,77.6 (5.4),75.8 (5.7)
Fabaceae,Acacia pulchella,,,,,,,,,,,Pythium irregulare MUCC 829,73.7 (5.9),73.5 (6.1)
Fabaceae,Bossiaea eriocarpa,,,,,,,,,,,negative control,52.2 (6.9),52.3 (7.4)
Fabaceae,Bossiaea eriocarpa,,,,,,,,,,,Phytophthora arenaria CBS 127950,15.5 (4.4),15.1 (4.5)
Fabaceae,Bossiaea eriocarpa,,,,,,,,,,,Phytophthora boodjera VHS 26806,32.0 (6.2),28.5 (6.3)
Fabaceae,Bossiaea eriocarpa,,,,,,,,,,,Phytophthora cinnamomi MP 94-48,32.6 (6.3),27.6 (6.4)
Fabaceae,Bossiaea eriocarpa,,,,,,,,,,,Phytophthora pseudorosacearum VHS 24266,42.4 (6.8),42.3 (7.3)
Fabaceae,Bossiaea eriocarpa,,,,,,,,,,,Pythium irregulare MUCC 829,21.7 (5.2),20.4 (5.3)
Fabaceae,Daviesia nudiflora,,,,,,,,,,,negative control,74.5 (6.4),73.9 (8.6)
Fabaceae,Daviesia nudiflora,,,,,,,,,,,Phytophthora arenaria CBS 127950,30.7 (6.8),2.4 (1.6)
Fabaceae,Daviesia nudiflora,,,,,,,,,,,Phytophthora boodjera VHS 26806,55.8 (7.8),48.0 (10.9)
Fabaceae,Daviesia nudiflora,,,,,,,,,,,Phytophthora cinnamomi MP 94-48,57.7 (7.6),14.4 (6.1)
Fabaceae,Daviesia nudiflora,,,,,,,,,,,Phytophthora pseudorosacearum VHS 24266,53.1 (7.7),50.7 (10.6)
Fabaceae,Daviesia nudiflora,,,,,,,,,,,Pythium irregulare MUCC 829,6.2 (2.8),3.7 (2.5)
Fabaceae,Gastrolobium spinosum,,,,,,,,,,,negative control,50.0 (7.4),49.8 (8.3)
Fabaceae,Gastrolobium spinosum,,,,,,,,,,,Phytophthora arenaria CBS 127950,10.7 (3.6),3.8 (2.0)
Fabaceae,Gastrolobium spinosum,,,,,,,,,,,Phytophthora boodjera VHS 26806,33.8 (6.5),31.7 (7.1)
Fabaceae,Gastrolobium spinosum,,,,,,,,,,,Phytophthora cinnamomi MP 94-48,38.7 (7.2),28.3 (7.4)
Fabaceae,Gastrolobium spinosum,,,,,,,,,,,Phytophthora pseudorosacearum VHS 24266,40.3 (6.8),40.2 (7.7)
Fabaceae,Gastrolobium spinosum,,,,,,,,,,,Pythium irregulare MUCC 829,35.2 (6.5),32 (7.1)
Fabaceae,Gompholobium knightianum,,,,,,,,,,,negative control,86.5 (3.6),81.7 (6.0)
Fabaceae,Gompholobium knightianum,,,,,,,,,,,Phytophthora arenaria CBS 127950,41.8 (5.6),13.3 (4.8)
Fabaceae,Gompholobium knightianum,,,,,,,,,,,Phytophthora boodjera VHS 26806,72.5 (5.0),65.2 (8.4)
Fabaceae,Gompholobium knightianum,,,,,,,,,,,Phytophthora cinnamomi MP 94-48,50.0 (5.7),32.9 (8.5)
Fabaceae,Gompholobium knightianum,,,,,,,,,,,Phytophthora pseudorosacearum VHS 24266,75.5 (4.8),80.9 (6.1)
Fabaceae,Gompholobium knightianum,,,,,,,,,,,Pythium irregulare MUCC 829,43.8 (5.7),43.1 (8.9)
Fabaceae,Gompholobium tomentosum,,,,,,,,,,,negative control,57.6 (6.9),56.7 (7.6)
Fabaceae,Gompholobium tomentosum,,,,,,,,,,,Phytophthora arenaria CBS 127950,18.5 (4.9),7.4 (3.0)
Fabaceae,Gompholobium tomentosum,,,,,,,,,,,Phytophthora boodjera VHS 26806,53.4 (7.0),51.4 (7.7)
Fabaceae,Gompholobium tomentosum,,,,,,,,,,,Phytophthora cinnamomi MP 94-48,29.5 (6.2),12.4 (4.2)
Fabaceae,Gompholobium tomentosum,,,,,,,,,,,Phytophthora pseudorosacearum VHS 24266,51.0 (7.0),51.0 (7.7)
Fabaceae,Gompholobium tomentosum,,,,,,,,,,,Pythium irregulare MUCC 829,13.5 (4.1),9.4 (3.5)
Fabaceae,Jacksonia floribunda,,,,,,,,,,,negative control,96.1 (2.1),97.1 (1.9)
Fabaceae,Jacksonia floribunda,,,,,,,,,,,Phytophthora arenaria CBS 127950,64.9 (7.5),23.1 (8.1)
Fabaceae,Jacksonia floribunda,,,,,,,,,,,Phytophthora boodjera VHS 26806,83.9 (4.9),82.5 (6.7)
Fabaceae,Jacksonia floribunda,,,,,,,,,,,Phytophthora cinnamomi MP 94-48,41.3 (8.2),7.0 (3.9)
Fabaceae,Jacksonia floribunda,,,,,,,,,,,Phytophthora pseudorosacearum VHS 24266,92.7 (3.0),94.1 (3.1)
Fabaceae,Jacksonia floribunda,,,,,,,,,,,Pythium irregulare MUCC 829,38.5 (7.7),31.8 (9.6)
Fabaceae,Jacksonia sternbergiana,,,,,,,,,,,negative control,61.6 (6.0),61.3 (8.6)
Fabaceae,Jacksonia sternbergiana,,,,,,,,,,,Phytophthora arenaria CBS 127950,39.6 (6.0),10.1 (4.1)
Fabaceae,Jacksonia sternbergiana,,,,,,,,,,,Phytophthora boodjera VHS 26806,44.8 (6.2),38.8 (8.6)
Fabaceae,Jacksonia sternbergiana,,,,,,,,,,,Phytophthora cinnamomi MP 94-48,42.7 (6.1),14.6 (5.4)
Fabaceae,Jacksonia sternbergiana,,,,,,,,,,,Phytophthora pseudorosacearum VHS 24266,37.4 (5.9),35.0 (8.3)
Fabaceae,Jacksonia sternbergiana,,,,,,,,,,,Pythium irregulare MUCC 829,25.2 (5.1),20.6 (6.3)
Fabaceae,Kennedia prostrata,,,,,,,,,,,negative control,61.0 (4.9),60.2 (5.5)
Fabaceae,Kennedia prostrata,,,,,,,,,,,Phytophthora arenaria CBS 127950,50.0 (5.0),49.0 (5.6)
Fabaceae,Kennedia prostrata,,,,,,,,,,,Phytophthora boodjera VHS 26806,55.0 (5.0),55.1 (5.6)
Fabaceae,Kennedia prostrata,,,,,,,,,,,Phytophthora cinnamomi MP 94-48,58.0 (4.9),47.9 (5.6)
Fabaceae,Kennedia prostrata,,,,,,,,,,,Phytophthora pseudorosacearum VHS 24266,52.0 (5.0),52.0 (5.6)
Fabaceae,Kennedia prostrata,,,,,,,,,,,Pythium irregulare MUCC 829,22.0 (4.1),14.6 (3.7)
Fabaceae,Viminaria juncea,,,,,,,,,,,negative control,28.2 (5.6),28.3 (5.5)
Fabaceae,Viminaria juncea,,,,,,,,,,,Phytophthora arenaria CBS 127950,16.0 (4.2),16.1 (4.2)
Fabaceae,Viminaria juncea,,,,,,,,,,,Phytophthora boodjera VHS 26806,18.2 (4.5),18.3 (4.5)
Fabaceae,Viminaria juncea,,,,,,,,,,,Phytophthora cinnamomi MP 94-48,7.3 (2.8),4.6 (2.1)
Fabaceae,Viminaria juncea,,,,,,,,,,,Phytophthora pseudorosacearum VHS 24266,21.9 (5.0),22.0 (4.9)
Fabaceae,Viminaria juncea,,,,,,,,,,,Pythium irregulare MUCC 829,6.5 (2.6),6.5 (2.6)
Myrtaceae,Calothamnus hirsutus,,,,,,,,,,,negative control,85.4 (5.8),86.0 (6.0)
Myrtaceae,Calothamnus hirsutus,,,,,,,,,,,Phytophthora arenaria CBS 127950,21.9 (7.5),11.4 (5.3)
Myrtaceae,Calothamnus hirsutus,,,,,,,,,,,Phytophthora boodjera VHS 26806,79.0 (7.4),77.0 (8.5)
Myrtaceae,Calothamnus hirsutus,,,,,,,,,,,Phytophthora cinnamomi MP 94-48,50.4 (10.4),33.4 (10.2)
Myrtaceae,Calothamnus hirsutus,,,,,,,,,,,Phytophthora pseudorosacearum VHS 24266,74.9 (8.2),75.5 (8.7)
Myrtaceae,Calothamnus hirsutus,,,,,,,,,,,Pythium irregulare MUCC 829,20.5 (7.4),9.7 (4.6)
Myrtaceae,Eucalyptus todtiana,,,,,,,,,,,negative control,56.0 (6.5),48.3 (9.5)
Myrtaceae,Eucalyptus todtiana,,,,,,,,,,,Phytophthora arenaria CBS 127950,27.1 (5.6),7.8 (3.6)
Myrtaceae,Eucalyptus todtiana,,,,,,,,,,,Phytophthora boodjera VHS 26806,11.8 (3.6),0.7 (0.7)
Myrtaceae,Eucalyptus todtiana,,,,,,,,,,,Phytophthora cinnamomi MP 94-48,35.7 (6.4),12 (5.1)
Myrtaceae,Eucalyptus todtiana,,,,,,,,,,,Phytophthora pseudorosacearum VHS 24266,53.8 (6.6),43.6 (9.3)
Myrtaceae,Eucalyptus todtiana,,,,,,,,,,,Pythium irregulare MUCC 829,15.8 (4.3),12.8 (4.9)
Myrtaceae,Melaleuca seriata,,,,,,,,,,,negative control,25.3 (8.4),25.3 (8.4)
Myrtaceae,Melaleuca seriata,,,,,,,,,,,Phytophthora arenaria CBS 127950,10.7 (4.7),9.8 (4.4)
Myrtaceae,Melaleuca seriata,,,,,,,,,,,Phytophthora boodjera VHS 26806,25.6 (8.2),24.3 (8.0)
Myrtaceae,Melaleuca seriata,,,,,,,,,,,Phytophthora cinnamomi MP 94-48,5.7 (3.0),4.8 (2.6)
Myrtaceae,Melaleuca seriata,,,,,,,,,,,Phytophthora pseudorosacearum VHS 24266,24.2 (8.1),22.5 (7.8)
Myrtaceae,Melaleuca seriata,,,,,,,,,,,Pythium irregulare MUCC 829,4.9 (2.7),4.4 (2.5)
Proteaceae,Banksia attenuata,,,,,,,,,,,negative control,49.6 (5.5),42.6 (6.3)
Proteaceae,Banksia attenuata,,,,,,,,,,,Phytophthora arenaria CBS 127950,13.8 (3.6),1.8 (1.3)
Proteaceae,Banksia attenuata,,,,,,,,,,,Phytophthora boodjera VHS 26806,19.6 (4.2),6.4 (2.6)
Proteaceae,Banksia attenuata,,,,,,,,,,,Phytophthora cinnamomi MP 94-48,30.5 (5.0),4.5 (2.2)
Proteaceae,Banksia attenuata,,,,,,,,,,,Phytophthora pseudorosacearum VHS 24266,30.2 (5.0),27.1 (5.5)
Proteaceae,Banksia attenuata,,,,,,,,,,,Pythium irregulare MUCC 829,22.8 (4.5),16.9 (4.4)
Proteaceae,Banksia telmatiaea,,,,,,,,,,,negative control,63.4 (5.2),61.6 (6.7)
Proteaceae,Banksia telmatiaea,,,,,,,,,,,Phytophthora arenaria CBS 127950,44.8 (5.4),38.2 (6.7)
Proteaceae,Banksia telmatiaea,,,,,,,,,,,Phytophthora boodjera VHS 26806,40.6 (5.3),37.3 (6.6)
Proteaceae,Banksia telmatiaea,,,,,,,,,,,Phytophthora cinnamomi MP 94-48,52.0 (5.4),25.1 (5.7)
Proteaceae,Banksia telmatiaea,,,,,,,,,,,Phytophthora pseudorosacearum VHS 24266,63.9 (5.2),65.2 (6.5)
Proteaceae,Banksia telmatiaea,,,,,,,,,,,Pythium irregulare MUCC 829,54.8 (5.4),36.6 (6.7)
Proteaceae,Grevillea eriostachya,,,,,,,,,,,negative control,21.1 (5.5),21.2 (5.5)
Proteaceae,Grevillea eriostachya,,,,,,,,,,,Phytophthora arenaria CBS 127950,19.3 (5.2),19.4 (5.2)
Proteaceae,Grevillea eriostachya,,,,,,,,,,,Phytophthora boodjera VHS 26806,26.9 (6.3),25.7 (6.1)
Proteaceae,Grevillea eriostachya,,,,,,,,,,,Phytophthora cinnamomi MP 94-48,16.1 (4.7),4.2 (2.1)
Proteaceae,Grevillea eriostachya,,,,,,,,,,,Phytophthora pseudorosacearum VHS 24266,25.1 (6.0),25.1 (6.0)
Proteaceae,Grevillea eriostachya,,,,,,,,,,,Pythium irregulare MUCC 829,17.9 (5.0),13.3 (4.2)
Proteaceae,Hakea costata,,,,,,,,,,,negative control,76.0 (5.4),76.0 (5.5)
Proteaceae,Hakea costata,,,,,,,,,,,Phytophthora arenaria CBS 127950,75.1 (5.5),75.4 (5.5)
Proteaceae,Hakea costata,,,,,,,,,,,Phytophthora boodjera VHS 26806,75.2 (5.4),75.3 (5.5)
Proteaceae,Hakea costata,,,,,,,,,,,Phytophthora cinnamomi MP 94-48,67.8 (6.1),64.7 (6.4)
Proteaceae,Hakea costata,,,,,,,,,,,Phytophthora pseudorosacearum VHS 24266,73.6 (5.6),73.7 (5.7)
Proteaceae,Hakea costata,,,,,,,,,,,Pythium irregulare MUCC 829,82.0 (4.7),81.1 (4.9)
Proteaceae,Hakea trifurcata,,,,,,,,,,,negative control,89.7 (3.8),89.0 (4.2)
Proteaceae,Hakea trifurcata,,,,,,,,,,,Phytophthora arenaria CBS 127950,81.6 (5.4),82.4 (5.5)
Proteaceae,Hakea trifurcata,,,,,,,,,,,Phytophthora boodjera VHS 26806,85.8 (4.7),85.9 (4.9)
Proteaceae,Hakea trifurcata,,,,,,,,,,,Phytophthora cinnamomi MP 94-48,81.7 (5.3),70.3 (7.5)
Proteaceae,Hakea trifurcata,,,,,,,,,,,Phytophthora pseudorosacearum VHS 24266,85.7 (4.6),82.5 (5.6)
Proteaceae,Hakea trifurcata,,,,,,,,,,,Pythium irregulare MUCC 829,67.5 (7.3),66.2 (8.0)
Proteaceae,Lambertia multiflora,,,,,,,,,,,negative control,74.2 (6.3),74.0 (7.2)
Proteaceae,Lambertia multiflora,,,,,,,,,,,Phytophthora arenaria CBS 127950,41.9 (7.7),23.4 (6.9)
Proteaceae,Lambertia multiflora,,,,,,,,,,,Phytophthora boodjera VHS 26806,66.3 (7.1),65.6 (8.1)
Proteaceae,Lambertia multiflora,,,,,,,,,,,Phytophthora cinnamomi MP 94-48,43.0 (7.7),6.3 (2.9)
Proteaceae,Lambertia multiflora,,,,,,,,,,,Phytophthora pseudorosacearum VHS 24266,72.7 (6.5),63.5 (8.4)
Proteaceae,Lambertia multiflora,,,,,,,,,,,Pythium irregulare MUCC 829,69.0 (6.9),65.3 (8.3)
