family,taxa,spauth,infraspecauth,species3author,thousandseedweight,materialweigheddesc,seedweightnotes,weightprecision,refdesc,refshort
ALISMATACEAE,Alisma plantago-aquatica,L.,,,0.412,Seed,*Seed weights reported may include minor covering structures,3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
ALISMATACEAE,Butomopsis latifolia,(D.Don) Kunth,,,0.0684,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
ALISMATACEAE,Butomopsis latifolia,(D.Don) Kunth,,,0.0276,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
ALISMATACEAE,Butomopsis latifolia,(D.Don) Kunth,,,0.02864,Seed,*Seed weights reported may include minor covering structures,5,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
ALISMATACEAE,Butomopsis latifolia,(D.Don) Kunth,,,0.038,Seed,*Seed weights reported may include minor covering structures,3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
ALISMATACEAE,Caldesia oligococca,(F.Muell.) Buchanan,,,5.5368,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
ALISMATACEAE,Damasonium minus,(R.Br.) Buchenau,,,0.3188,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
ALISMATACEAE,Sagittaria brevirostra,Mack. & Bush,,,0.2872,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
ALSEUOSMIACEAE,Wittsteinia vacciniacea,F.Muell.,,,1.0784,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Achyranthes aspera,L.,,,2.03,Seed,Seed dried to a constant weight at 40°C prior to weighing.,2,"Ramirez, N. 1993. Produccion y costo de frutos y semillas entre formas de vida. Biotropica, 25:46-60.","(Ramirez, 1993)"
AMARANTHACEAE,Achyranthes aspera,L.,,,3.4872,Seed,,4,"Clifford, H.T. 2000. Dicotyledon seedling morphology as a correlate of seed size. Proceedings of the Royal Society of Queensland, 109:39-48.","(Clifford, 2000)"
AMARANTHACEAE,Achyranthes aspera,L.,,,2.3832,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Achyranthes aspera,L.,,,11.4352,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Achyranthes aspera,L.,,,5.1384,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Achyranthes aspera,L.,,,4.5676,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Achyranthes aspera,L.,,,4.2708,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Achyranthes aspera,L.,,,3.8408,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Achyranthes aspera,L.,,,3.0084,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Achyranthes aspera,L.,,,2.25,Seed,*Seed weights reported may include minor covering structures,2,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Achyranthes aspera,L.,,,1.7728,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Achyranthes aspera,L.,,,1.7012,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Achyranthes aspera,L.,,,3.3296,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Achyranthes aspera,L.,,,3.1684,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Alternanthera angustifolia,R.Br.,,,0.718,Diaspore,SD=0.152; weight is based upon the average of 20 individual diaspore masses; diaspores were dried at 80°C for 24 hours prior to weighing.,3,"Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830.","(Jurado et al., 1991)"
AMARANTHACEAE,Alternanthera angustifolia,R.Br., ,,0.1796,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Alternanthera angustifolia,R.Br.,,,0.664,Seed,*Seed weights reported may include minor covering structures,3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Alternanthera denticulata,R.Br.,,,0.2811,Seed,,4,"Clifford, H.T. 2000. Dicotyledon seedling morphology as a correlate of seed size. Proceedings of the Royal Society of Queensland, 109:39-48.","(Clifford, 2000)"
AMARANTHACEAE,Alternanthera denticulata,R.Br.,,,0.2736,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Alternanthera denticulata,R.Br.,,,0.23056,Seed,*Seed weights reported may include minor covering structures,5,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Alternanthera denticulata,R.Br.,,,0.2116,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Alternanthera denticulata,R.Br.,,,0.1012,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Alternanthera denticulata,R.Br.,,,0.12192,Seed,*Seed weights reported may include minor covering structures,5,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Alternanthera nana,R.Br.,,,0.4,Seed,air dry,1,"Clifford, H.T. 2000. Dicotyledon seedling morphology as a correlate of seed size. Proceedings of the Royal Society of Queensland, 109:39-48.","(Clifford, 2000)"
AMARANTHACEAE,Alternanthera nana,R.Br.,,,0.33464,Seed,*Seed weights reported may include minor covering structures,5,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Alternanthera nodiflora,R.Br.,,,0.4016,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Alternanthera nodiflora,R.Br.,,,0.2996,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Alternanthera nodiflora,R.Br.,,,0.1708,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Alternanthera nodiflora,R.Br.,,,0.0316,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Alternanthera nodiflora,R.Br.,,,0.4876,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Amaranthus centralis,J.Palmer & Mowatt,,,0.5512,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Amaranthus cochleitepalus,Domin,,,0.232,Seed,*Seed weights reported may include minor covering structures,3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Amaranthus cuspidifolius,Domin,,,0.4232,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Amaranthus interruptus,R.Br.,,,0.2804,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Amaranthus macrocarpus,Benth.,,,0.2656,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Amaranthus mitchellii,Benth.,,,1.795,Diaspore,SD=0.324; weight is based upon the average of 20 individual diaspore masses; diaspores were dried at 80°C for 24 hours prior to weighing.,3,"Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830.","(Jurado et al., 1991)"
AMARANTHACEAE,Amaranthus undulatus,R.Br.,,,0.2592,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Amaranthus undulatus,R.Br.,,,0.2852,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Atriplex acutibractea,R.H.Anderson,,,0.4988,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Atriplex acutiloba,R.H.Anderson,,,1.68,Seed,*Seed weights reported may include minor covering structures,2,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Atriplex amnicola,Paul G.Wilson,,,0.35,Embryo+endosperm,Dry weight.,2,"Ganade, G. and Westoby, M. 1999. Seed mass and the evolution of early-seedling etiolation. The American Naturalist, 154:469-480.","(Ganade & Westoby, 1999)"
AMARANTHACEAE,Atriplex amnicola,Paul G.Wilson,,,4.052,Seed,*Seed weights reported may include minor covering structures,3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Atriplex angulata,Benth.,,,0.607,Seed,oven dry,3,"Moles, A.T, and Westoby, M. 2003. Do large seeds suffer higher levels of pre- or post-dispersal seed predation than small seeds? Ecology, 84:3148-3161.","(Moles & Westoby, 2003)"
AMARANTHACEAE,Atriplex angulata,Benth.,,,0.68,Embryo+endosperm,Dry weight.,2,"Ganade, G. and Westoby, M. 1999. Seed mass and the evolution of early-seedling etiolation. The American Naturalist, 154:469-480.","(Ganade & Westoby, 1999)"
AMARANTHACEAE,Atriplex angulata,Benth.,,,4.118,Seed,*Seed weights reported may include minor covering structures,3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Atriplex angulata,Benth.,,,5.5584,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Atriplex australasica,Moq.,,,0.9352,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Atriplex bunburyana,F.Muell.,,,1.0872,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Atriplex cinerea,Poir.,,,9.1564,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Atriplex cinerea,Poir.,,,6.3156,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Atriplex crassipes,J.M.Black,,,0.502,Seed,*Seed weights reported may include minor covering structures,3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Atriplex eardleyae,Aellen,,,0.586,Seed,*Seed weights reported may include minor covering structures,3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Atriplex eichleri,Aellen,,,0.4936,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Atriplex eichleri,Aellen,,,1.3336,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Atriplex elachophylla,F.Muell.,,,6.51,Diaspore,SD=1.708; weight is based upon the average of 20 individual diaspore masses; diaspores were dried at 80°C for 24 hours prior to weighing.,3,"Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830.","(Jurado et al., 1991)"
AMARANTHACEAE,Atriplex elachophylla,F.Muell.,,,1.7776,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Atriplex elachophylla,F.Muell.,,,1.8172,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Atriplex elachophylla,F.Muell.,,,2.7124,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Atriplex fissivalvis,F.Muell.,,,0.5676,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Atriplex fissivalvis,F.Muell.,,,0.4504,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AMARANTHACEAE,Atriplex holocarpa,F.Muell.,,,1.305,Seed,oven dry,3,"Moles, A.T, and Westoby, M. 2003. Do large seeds suffer higher levels of pre- or post-dispersal seed predation than small seeds? Ecology, 84:3148-3161.","(Moles & Westoby, 2003)"
