name_original,metadata_id,primary_source,raw_trait_value,trait,units,merge_code,merge_code_detailed
Pandorea pandorana,19,10,3.8,seed mass,mg,repeat,"different mass, same species"
Pandorea pandorana subsp. austrocaledonica,19,10,3.8,seed mass,mg,keep,no subspecies now
Pandorea pandorana subsp. pandorana,19,10,3.8,seed mass,mg,keep,no subspecies now
Parsonsia rotata,19,10,5.39,seed mass,mg,repeat,exact repeat
Parsonsia straminea,19,10,8.4,seed mass,mg,repeat,exact repeat
Passiflora edulis,19,10,15.46,seed mass,mg,keep,different species
Passiflora suberosa,19,10,39.9,seed mass,mg,keep,different species
Passiflora subpeltata,19,10,50,seed mass,mg,keep,different species
Rhagodia candolleana,19,10,1.68,seed mass,mg,keep,different species
Rhagodia candolleana subsp argentea,19,10,1.68,seed mass,mg,keep,different species
Rhagodia candolleana subsp candolleana,19,10,1.68,seed mass,mg,keep,different species
Rubus molluccanus var. trilobus,19,10,0.85,seed mass,mg,repeat,exact repeat
Rubus moluccanus,19,10,0.85,seed mass,mg,repeat,exact repeat
Rubus parvifolius,19,10,1,seed mass,mg,repeat,"different mass, same species"
Rubus rosifolius,19,10,0.6,seed mass,mg,repeat,"different mass, same species"
Smilax australis,19,10,40.76,seed mass,mg,repeat,exact repeat
Smilax glyciphylla,19,10,36.655,seed mass,mg,repeat,"different mass, same species"
Stephania japonica,19,10,19.72,seed mass,mg,repeat,"different mass, same species"
Stephania japonica var. discolor,19,10,19.72,seed mass,mg,keep,no subspecies now
Stephania japonica var. japonica,19,10,19.72,seed mass,mg,keep,no subspecies now
Stephania japonica var. timorensis,19,10,19.72,seed mass,mg,keep,no subspecies now
Tetragonia implexicoma,19,10,16.49,seed mass,mg,keep,different species
Tetrastigma nitens,19,10,58.83,seed mass,mg,repeat,exact repeat
Tylophora barbata,19,10,10.164,seed mass,mg,repeat,"different mass, same species"
Vandasina retusa,19,10,72.02,seed mass,mg,repeat,exact repeat
Vigna vexillata,19,10,20.4,seed mass,mg,repeat,"different mass, same species"
Vigna vexillata  var. youngiana,19,10,20.4,seed mass,mg,keep,no subspecies now
Vigna vexillata var. angustifolia,19,10,20.4,seed mass,mg,keep,no subspecies now
