Species,Temp,CO2,Potnum,Photo (umol m-2 s-1),Cond (mol m-2 s-1),Ci (umol mol-1),Trmmol (mmol m-2 s-1),VpdL (kPa),Area (cm2),StmRat,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RHR,RHS,Flow,PARi
E. sideroxylon,Amb,280,273,11,0.215,181,3.43,1.67,2.3,0.5,26.25,27.03,26.02,278.62,273.13,17.272,18.818,51.43,56.03,500.4,1801
E. sideroxylon,Amb,280,273,11.1,0.216,181,3.43,1.66,2.3,0.5,26.24,27,26.02,278.65,273.1,17.271,18.817,51.45,56.05,500.5,1800
E. sideroxylon,Amb,280,273,11.2,0.216,180,3.42,1.66,2.3,0.5,26.24,26.99,26.02,278.67,273.1,17.271,18.814,51.46,56.05,500.5,1800
E. sideroxylon,Amb,280,273,11.3,0.216,179,3.41,1.65,2.3,0.5,26.23,26.96,26.02,278.68,273.05,17.27,18.809,51.47,56.05,500.5,1800
E. sideroxylon,Amb,280,273,11.3,0.216,180,3.41,1.65,2.3,0.5,26.23,26.94,26.02,278.68,273.06,17.267,18.804,51.48,56.06,500.4,1800
E. sideroxylon,Amb,280,273,11.3,0.216,179,3.4,1.65,2.3,0.5,26.22,26.93,26.02,278.68,273.05,17.267,18.801,51.48,56.06,500.4,1800
E. sideroxylon,Amb,280,273,11.3,0.216,179,3.4,1.65,2.3,0.5,26.22,26.92,26.02,278.71,273.06,17.265,18.799,51.49,56.07,500.4,1800
E. sideroxylon,Amb,280,273,11,0.215,181,3.38,1.64,2.3,0.5,26.21,26.89,26.02,278.57,273.08,17.264,18.787,51.52,56.07,500.5,1800
E. sideroxylon,Amb,280,273,26.8,0.133,819,2.68,2.06,2.3,0.5,26.75,29.02,26.02,1198.7,1184.91,18.07,19.276,52.22,55.7,500.4,1799
E. sideroxylon,Amb,280,273,27.1,0.133,817,2.68,2.06,2.3,0.5,26.75,29.01,26.02,1198.68,1184.78,18.071,19.278,52.22,55.71,500.4,1799
E. sideroxylon,Amb,280,273,26.8,0.133,819,2.68,2.06,2.3,0.5,26.75,29.01,26.02,1198.6,1184.8,18.071,19.277,52.23,55.71,500.4,1799
E. sideroxylon,Amb,280,273,26.9,0.132,816,2.66,2.06,2.3,0.5,26.75,29.03,26.02,1198.65,1184.84,18.077,19.277,52.24,55.71,500.4,1799
E. sideroxylon,Amb,280,273,27,0.132,815,2.66,2.06,2.3,0.5,26.75,29.03,26.02,1198.7,1184.83,18.079,19.278,52.25,55.71,500.4,1799
E. sideroxylon,Amb,280,273,26.9,0.132,815,2.66,2.06,2.3,0.5,26.75,29.02,26.02,1198.7,1184.88,18.082,19.279,52.26,55.72,500.5,1799
E. sideroxylon,Amb,280,273,26.9,0.132,816,2.66,2.06,2.3,0.5,26.75,29.02,26.02,1198.65,1184.83,18.082,19.281,52.26,55.72,500.5,1799
E. sideroxylon,Amb,280,273,27.1,0.132,814,2.66,2.06,2.3,0.5,26.75,29.02,26.02,1198.69,1184.81,18.087,19.285,52.28,55.74,500.5,1799
E. sideroxylon,Amb,280,273,27.1,0.132,813,2.66,2.06,2.3,0.5,26.75,29.02,26.02,1198.72,1184.82,18.088,19.285,52.28,55.74,500.5,1799
E. sideroxylon,Amb,280,273,26.9,0.131,814,2.64,2.06,2.3,0.5,26.75,29.01,26.02,1198.62,1184.8,18.097,19.288,52.3,55.74,500.4,1799
E. sideroxylon,Amb,280,265,11.9,0.248,183,2.65,1.13,3.9,0.5,26.37,27.72,26.03,278.96,269.12,23.566,25.58,69.53,75.48,500.5,1798
E. sideroxylon,Amb,280,265,11.9,0.248,184,2.66,1.13,3.9,0.5,26.37,27.73,26.03,278.96,269.12,23.561,25.581,69.52,75.48,500.5,1799
E. sideroxylon,Amb,280,265,11.9,0.249,184,2.66,1.13,3.9,0.5,26.37,27.73,26.03,278.96,269.13,23.558,25.58,69.51,75.47,500.5,1799
E. sideroxylon,Amb,280,265,12.1,0.249,183,2.66,1.13,3.9,0.5,26.37,27.73,26.03,279.04,269.08,23.558,25.58,69.51,75.47,500.5,1799
E. sideroxylon,Amb,280,265,12.1,0.249,182,2.66,1.13,3.9,0.5,26.37,27.73,26.03,279.06,269.06,23.557,25.58,69.5,75.47,500.5,1799
E. sideroxylon,Amb,280,265,12.1,0.249,182,2.67,1.13,3.9,0.5,26.37,27.73,26.03,279.07,269.07,23.555,25.58,69.49,75.47,500.4,1799
E. sideroxylon,Amb,280,265,12.1,0.249,183,2.67,1.13,3.9,0.5,26.37,27.74,26.03,279.05,269.09,23.55,25.58,69.48,75.46,500.4,1799
E. sideroxylon,Amb,280,265,12,0.25,183,2.68,1.14,3.9,0.5,26.37,27.74,26.03,279.01,269.13,23.547,25.58,69.46,75.46,500.4,1798
E. sideroxylon,Amb,280,265,11.9,0.25,184,2.68,1.14,3.9,0.5,26.37,27.74,26.03,278.99,269.17,23.543,25.58,69.45,75.46,500.4,1798
E. sideroxylon,Amb,280,265,11.9,0.25,184,2.68,1.14,3.9,0.5,26.37,27.74,26.03,278.99,269.16,23.541,25.579,69.44,75.45,500.4,1798
E. sideroxylon,Amb,280,265,32,0.1,627,1.51,1.53,3.9,0.5,26.66,29.1,26.03,1200.1,1173.76,23.573,24.722,68.33,71.66,500.4,1800
E. sideroxylon,Amb,280,265,31.9,0.1,628,1.51,1.53,3.9,0.5,26.67,29.11,26.03,1200.02,1173.75,23.574,24.723,68.33,71.66,500.4,1800
E. sideroxylon,Amb,280,265,31.8,0.1,632,1.52,1.53,3.9,0.5,26.67,29.11,26.03,1199.99,1173.81,23.572,24.726,68.32,71.66,500.4,1800
E. sideroxylon,Amb,280,265,31.9,0.1,630,1.52,1.53,3.9,0.5,26.67,29.12,26.03,1200.05,1173.8,23.573,24.727,68.32,71.66,500.4,1800
E. sideroxylon,Amb,280,265,31.9,0.1,630,1.52,1.53,3.9,0.5,26.67,29.12,26.03,1200.02,1173.77,23.572,24.725,68.31,71.65,500.4,1800
E. sideroxylon,Amb,280,265,32,0.101,629,1.52,1.53,3.9,0.5,26.67,29.12,26.03,1200.1,1173.76,23.57,24.728,68.3,71.65,500.5,1800
E. sideroxylon,Amb,280,265,31.9,0.101,632,1.53,1.54,3.9,0.5,26.67,29.12,26.03,1200.08,1173.82,23.569,24.73,68.29,71.65,500.5,1800
E. sideroxylon,Amb,280,265,31.8,0.101,632,1.53,1.54,3.9,0.5,26.67,29.14,26.02,1200.06,1173.86,23.571,24.73,68.29,71.65,500.4,1800
E. sideroxylon,Amb,280,265,31.8,0.1,630,1.52,1.54,3.9,0.5,26.67,29.15,26.02,1200.05,1173.85,23.572,24.73,68.29,71.65,500.5,1799
E. sideroxylon,Amb,280,265,31.9,0.0995,624,1.52,1.55,3.9,0.5,26.68,29.17,26.03,1200.09,1173.8,23.575,24.728,68.29,71.63,500.5,1800
E. sideroxylon,Amb,280,264,15.1,0.398,198,6.1,1.68,3.1,0.5,26.79,28.97,26.02,280.98,270.57,19.206,22.9,55.44,66.1,500.4,1799
E. sideroxylon,Amb,280,264,15.1,0.398,198,6.1,1.68,3.1,0.5,26.79,28.98,26.02,280.98,270.57,19.207,22.902,55.44,66.1,500.4,1799
E. sideroxylon,Amb,280,264,15.1,0.398,198,6.1,1.68,3.1,0.5,26.79,28.99,26.02,280.94,270.58,19.207,22.902,55.44,66.11,500.4,1799
E. sideroxylon,Amb,280,264,15.2,0.398,198,6.11,1.68,3.1,0.5,26.8,28.99,26.02,281,270.57,19.207,22.904,55.44,66.11,500.4,1799
E. sideroxylon,Amb,280,264,15.1,0.398,198,6.11,1.68,3.1,0.5,26.8,28.99,26.02,280.98,270.6,19.209,22.905,55.44,66.11,500.4,1799
E. sideroxylon,Amb,280,264,15.2,0.398,198,6.11,1.68,3.1,0.5,26.8,28.99,26.02,281.01,270.58,19.208,22.903,55.44,66.1,500.4,1799
E. sideroxylon,Amb,280,264,15.1,0.398,198,6.11,1.68,3.1,0.5,26.8,28.99,26.02,281,270.61,19.208,22.905,55.44,66.11,500.4,1799
E. sideroxylon,Amb,280,264,15.1,0.398,198,6.11,1.68,3.1,0.5,26.8,28.98,26.02,281,270.6,19.207,22.904,55.43,66.1,500.4,1799
E. sideroxylon,Amb,280,264,15.2,0.398,198,6.11,1.68,3.1,0.5,26.8,28.98,26.02,281.02,270.6,19.207,22.906,55.43,66.1,500.4,1799
E. sideroxylon,Amb,280,264,15.2,0.398,197,6.11,1.68,3.1,0.5,26.8,28.98,26.02,281.03,270.57,19.21,22.905,55.43,66.1,500.4,1799
E. sideroxylon,Amb,280,264,31.7,0.19,868,3.39,1.87,3.1,0.5,26.38,27.75,26.02,1200.19,1178.05,16.295,18.359,48.2,54.3,500.4,1799
E. sideroxylon,Amb,280,264,31.8,0.189,867,3.39,1.87,3.1,0.5,26.38,27.75,26.02,1200.24,1178.05,16.295,18.356,48.19,54.29,500.4,1799
E. sideroxylon,Amb,280,264,31.8,0.189,867,3.39,1.87,3.1,0.5,26.38,27.75,26.02,1200.22,1178.03,16.293,18.353,48.19,54.28,500.4,1799
E. sideroxylon,Amb,280,264,31.9,0.19,867,3.39,1.87,3.1,0.5,26.38,27.74,26.03,1200.26,1178.06,16.291,18.353,48.18,54.27,500.5,1799
E. sideroxylon,Amb,280,264,32,0.19,865,3.39,1.87,3.1,0.5,26.38,27.75,26.03,1200.29,1177.99,16.29,18.351,48.17,54.27,500.5,1799
E. sideroxylon,Amb,280,264,31.9,0.189,866,3.39,1.87,3.1,0.5,26.38,27.75,26.03,1200.28,1178.05,16.289,18.352,48.17,54.27,500.5,1799
E. sideroxylon,Amb,280,264,31.9,0.19,866,3.39,1.87,3.1,0.5,26.38,27.76,26.03,1200.29,1178.06,16.288,18.352,48.17,54.27,500.5,1799
E. sideroxylon,Amb,280,264,31.9,0.19,867,3.39,1.87,3.1,0.5,26.38,27.75,26.03,1200.27,1178.06,16.286,18.349,48.16,54.26,500.4,1799
E. sideroxylon,Amb,280,264,31.8,0.189,867,3.39,1.87,3.1,0.5,26.38,27.76,26.03,1200.27,1178.12,16.285,18.347,48.16,54.26,500.5,1799
E. sideroxylon,Amb,280,264,31.7,0.189,867,3.39,1.87,3.1,0.5,26.38,27.76,26.03,1200.24,1178.14,16.28,18.34,48.14,54.24,500.5,1799
E. sideroxylon,Elv,280,373,10,0.125,133,3.57,2.89,2.5,0.5,30.99,33.6,30.11,279.01,273.53,21.065,22.807,47.77,51.72,500.4,1800
E. sideroxylon,Elv,280,373,9.93,0.125,134,3.57,2.89,2.5,0.5,30.98,33.59,30.11,279,273.55,21.064,22.806,47.77,51.72,500.4,1800
E. sideroxylon,Elv,280,373,10,0.126,133,3.57,2.89,2.5,0.5,30.98,33.58,30.11,279.03,273.52,21.061,22.806,47.77,51.73,500.4,1800
E. sideroxylon,Elv,280,373,10,0.126,133,3.58,2.89,2.5,0.5,30.98,33.57,30.11,279.01,273.53,21.059,22.805,47.77,51.73,500.4,1800
E. sideroxylon,Elv,280,373,9.98,0.125,133,3.57,2.89,2.5,0.5,30.98,33.58,30.11,278.98,273.5,21.059,22.802,47.77,51.72,500.4,1800
E. sideroxylon,Elv,280,373,9.79,0.125,136,3.57,2.89,2.5,0.5,30.98,33.6,30.11,278.92,273.54,21.058,22.801,47.77,51.72,500.4,1800
E. sideroxylon,Elv,280,373,9.74,0.125,136,3.56,2.9,2.5,0.5,30.98,33.6,30.11,278.9,273.54,21.056,22.797,47.76,51.71,500.4,1800
E. sideroxylon,Elv,280,373,9.69,0.125,137,3.57,2.9,2.5,0.5,30.98,33.61,30.11,278.91,273.59,21.053,22.795,47.75,51.7,500.4,1800
E. sideroxylon,Elv,280,373,10,0.125,133,3.57,2.89,2.5,0.5,30.98,33.6,30.11,279.03,273.53,21.049,22.793,47.74,51.7,500.4,1800
E. sideroxylon,Elv,280,373,10.1,0.125,131,3.57,2.9,2.5,0.5,30.98,33.6,30.11,279.06,273.52,21.047,22.791,47.74,51.69,500.4,1800
E. sideroxylon,Elv,280,373,29.6,0.0559,293,1.56,2.79,2.5,0.5,27.56,32.17,26.01,1200.09,1184.38,19.093,19.857,52.75,54.86,500.4,1799
E. sideroxylon,Elv,280,373,29.5,0.0559,296,1.56,2.79,2.5,0.5,27.56,32.18,26.01,1200.1,1184.42,19.092,19.856,52.75,54.86,500.4,1799
E. sideroxylon,Elv,280,373,29.5,0.0558,294,1.56,2.8,2.5,0.5,27.56,32.18,26.01,1200.13,1184.45,19.091,19.854,52.74,54.85,500.4,1799
E. sideroxylon,Elv,280,373,29.6,0.0556,289,1.55,2.8,2.5,0.5,27.56,32.2,26.01,1200.15,1184.45,19.09,19.851,52.74,54.84,500.4,1799
E. sideroxylon,Elv,280,373,29.5,0.0554,290,1.55,2.8,2.5,0.5,27.56,32.19,26.01,1200.12,1184.47,19.088,19.847,52.74,54.83,500.3,1799
E. sideroxylon,Elv,280,373,29.4,0.0555,294,1.55,2.8,2.5,0.5,27.56,32.19,26.01,1200.08,1184.47,19.085,19.845,52.73,54.83,500.3,1799
E. sideroxylon,Elv,280,373,29.3,0.0556,298,1.55,2.8,2.5,0.5,27.56,32.18,26.01,1200.03,1184.48,19.084,19.845,52.72,54.83,500.3,1799
E. sideroxylon,Elv,280,373,29.5,0.0553,286,1.55,2.8,2.5,0.5,27.56,32.2,26.01,1200.09,1184.41,19.079,19.837,52.72,54.81,500.3,1799
E. sideroxylon,Elv,280,373,29.6,0.0551,282,1.55,2.81,2.5,0.5,27.56,32.23,26.01,1200.14,1184.45,19.078,19.835,52.72,54.81,500.3,1799
E. sideroxylon,Elv,280,373,29.8,0.055,274,1.55,2.82,2.5,0.5,27.56,32.25,26.01,1200.18,1184.4,19.076,19.833,52.71,54.8,500.4,1799
E. sideroxylon,Elv,280,373,13.2,0.198,150,4.89,2.56,2.8,0.5,30.9,33.24,30.11,278.93,270.78,22.368,25.035,50.98,57.06,500.4,1799
E. sideroxylon,Elv,280,373,13.2,0.197,150,4.89,2.56,2.8,0.5,30.9,33.25,30.11,278.96,270.81,22.367,25.033,50.98,57.05,500.4,1799
E. sideroxylon,Elv,280,373,13.2,0.197,150,4.89,2.56,2.8,0.5,30.91,33.25,30.11,278.96,270.81,22.365,25.031,50.97,57.05,500.4,1799
E. sideroxylon,Elv,280,373,13.2,0.197,150,4.89,2.57,2.8,0.5,30.9,33.26,30.11,278.97,270.82,22.361,25.03,50.96,57.05,500.4,1799
E. sideroxylon,Elv,280,373,13.2,0.197,150,4.9,2.57,2.8,0.5,30.91,33.26,30.11,278.97,270.84,22.358,25.029,50.95,57.04,500.4,1799
E. sideroxylon,Elv,280,373,13.2,0.197,150,4.9,2.57,2.8,0.5,30.91,33.27,30.11,278.97,270.82,22.353,25.026,50.94,57.03,500.4,1799
E. sideroxylon,Elv,280,373,13.2,0.197,150,4.9,2.57,2.8,0.5,30.91,33.28,30.12,278.96,270.82,22.353,25.024,50.94,57.03,500.4,1799
E. sideroxylon,Elv,280,373,13.3,0.197,149,4.9,2.57,2.8,0.5,30.91,33.28,30.12,278.98,270.81,22.35,25.023,50.93,57.02,500.4,1799
E. sideroxylon,Elv,280,373,13.4,0.197,149,4.9,2.57,2.8,0.5,30.91,33.27,30.12,279.02,270.79,22.348,25.022,50.93,57.02,500.4,1799
E. sideroxylon,Elv,280,373,13.3,0.198,150,4.91,2.57,2.8,0.5,30.91,33.25,30.12,278.91,270.73,22.339,25.017,50.91,57.01,500.4,1799
E. sideroxylon,Elv,280,373,30.4,0.0547,250,1.46,2.67,2.8,0.5,27.55,32.12,26.01,1199.77,1181.79,20.085,20.885,55.53,57.74,500.3,1800
E. sideroxylon,Elv,280,373,30.2,0.0547,257,1.46,2.67,2.8,0.5,27.55,32.12,26.01,1199.66,1181.81,20.084,20.884,55.52,57.73,500.3,1800
E. sideroxylon,Elv,280,373,30.1,0.0548,260,1.46,2.67,2.8,0.5,27.55,32.11,26.01,1199.63,1181.81,20.083,20.883,55.52,57.73,500.3,1800
E. sideroxylon,Elv,280,373,30.2,0.0547,258,1.46,2.67,2.8,0.5,27.55,32.1,26.01,1199.6,1181.76,20.083,20.881,55.52,57.72,500.3,1800
E. sideroxylon,Elv,280,373,30,0.0547,261,1.46,2.67,2.8,0.5,27.55,32.11,26.01,1199.52,1181.75,20.081,20.88,55.51,57.72,500.4,1800
E. sideroxylon,Elv,280,373,30.3,0.0547,255,1.45,2.66,2.8,0.5,27.55,32.08,26.01,1199.62,1181.73,20.075,20.872,55.5,57.71,500.3,1800
E. sideroxylon,Elv,280,373,30.3,0.0546,251,1.46,2.67,2.8,0.5,27.55,32.11,26.01,1199.66,1181.71,20.075,20.874,55.5,57.71,500.4,1800
E. sideroxylon,Elv,280,373,30.2,0.0548,257,1.46,2.67,2.8,0.5,27.55,32.11,26.01,1199.65,1181.76,20.074,20.875,55.5,57.71,500.4,1800
E. sideroxylon,Elv,280,373,30.1,0.0548,260,1.46,2.67,2.8,0.5,27.55,32.1,26.01,1199.64,1181.81,20.076,20.876,55.5,57.72,500.3,1800
E. sideroxylon,Elv,280,373,30,0.0547,261,1.45,2.66,2.8,0.5,27.55,32.08,26.01,1199.63,1181.86,20.076,20.873,55.5,57.71,500.3,1800
E. sideroxylon,Elv,280,370,15.6,0.351,189,5.12,1.56,2.7,0.5,30.55,31.88,30.12,280.06,270.88,28.397,31.077,66.07,72.31,499.5,1799
E. sideroxylon,Elv,280,370,15.5,0.35,189,5.11,1.56,2.7,0.5,30.56,31.89,30.12,280.03,270.89,28.401,31.077,66.07,72.3,499.5,1799
E. sideroxylon,Elv,280,370,15.6,0.351,189,5.11,1.56,2.7,0.5,30.56,31.89,30.12,280.03,270.86,28.402,31.081,66.07,72.3,499.5,1800
E. sideroxylon,Elv,280,370,15.6,0.351,189,5.12,1.56,2.7,0.5,30.56,31.89,30.12,280.02,270.85,28.409,31.088,66.08,72.32,499.5,1799
E. sideroxylon,Elv,280,370,15.7,0.351,188,5.12,1.57,2.7,0.5,30.56,31.89,30.12,280.07,270.86,28.41,31.089,66.08,72.31,499.5,1799
E. sideroxylon,Elv,280,370,15.6,0.35,189,5.12,1.57,2.7,0.5,30.56,31.9,30.12,280.02,270.86,28.413,31.094,66.09,72.32,499.5,1800
E. sideroxylon,Elv,280,370,15.7,0.351,188,5.12,1.57,2.7,0.5,30.56,31.9,30.12,280.03,270.82,28.415,31.096,66.09,72.33,499.5,1800
E. sideroxylon,Elv,280,370,15.7,0.351,188,5.12,1.57,2.7,0.5,30.56,31.9,30.12,280.06,270.85,28.418,31.098,66.1,72.33,499.5,1800
E. sideroxylon,Elv,280,370,15.6,0.351,188,5.12,1.57,2.7,0.5,30.56,31.9,30.12,280.06,270.88,28.419,31.099,66.1,72.33,499.5,1800
E. sideroxylon,Elv,280,370,15.7,0.35,188,5.11,1.57,2.7,0.5,30.56,31.9,30.12,280.06,270.81,28.426,31.104,66.11,72.34,499.5,1799
E. sideroxylon,Elv,280,370,31.8,0.255,937,4.67,1.93,2.7,0.5,27.34,31.05,26.01,1200.67,1180.52,22.911,25.371,64.18,71.07,499.4,1799
E. sideroxylon,Elv,280,370,31.8,0.255,937,4.66,1.92,2.7,0.5,27.34,31.02,26.01,1200.71,1180.52,22.914,25.368,64.2,71.07,499.5,1800
E. sideroxylon,Elv,280,370,31.9,0.254,936,4.64,1.92,2.7,0.5,27.33,31.03,26.01,1200.65,1180.46,22.92,25.366,64.22,71.08,499.4,1800
E. sideroxylon,Elv,280,370,31.8,0.254,936,4.64,1.92,2.7,0.5,27.34,31.03,26.01,1200.7,1180.53,22.923,25.369,64.23,71.08,499.4,1800
E. sideroxylon,Elv,280,370,32,0.253,934,4.64,1.93,2.7,0.5,27.33,31.04,26.01,1200.71,1180.47,22.926,25.368,64.25,71.1,499.5,1800
E. sideroxylon,Elv,280,370,32.1,0.253,934,4.62,1.92,2.7,0.5,27.33,31.01,26,1200.72,1180.42,22.926,25.363,64.26,71.09,499.5,1801
E. sideroxylon,Elv,280,370,32.2,0.253,932,4.61,1.92,2.7,0.5,27.33,31.01,26,1200.81,1180.44,22.93,25.36,64.28,71.09,499.4,1801
