euclid_name,accepted_name,juvleaflength_min,juvleaflength_max,juvleaflength_unit,juvleafwidth_min,juvleafwidth_max,juvleafwidth_unit
eucalyptus_boliviana,Eucalyptus boliviana,6.5,11,cm,3,6.5,cm
eucalyptus_bosistoana,Eucalyptus bosistoana,3,7,cm,1.8,3.3,cm
eucalyptus_botryoides,Eucalyptus botryoides,6.5,11.5,cm,2.4,5.8,cm
eucalyptus_brachyandra,Eucalyptus brachyandra,2.5,8,cm,1.5,6,cm
eucalyptus_brachycalyx,Eucalyptus brachycalyx,3.5,8.2,cm,1,3.8,cm
eucalyptus_brachyphylla,Eucalyptus x brachyphylla,2.5,4.5,cm,1.5,3.5,cm
eucalyptus_brandiana,Eucalyptus brandiana,NA,NA,NA,NA,NA,NA
eucalyptus_brassiana,Eucalyptus brassiana,6,21.5,cm,3.5,7,cm
eucalyptus_brevifolia,Eucalyptus brevifolia,4,7,cm,3,7,cm
eucalyptus_brevipes,Eucalyptus brevipes,5,8,cm,0.7,1.5,cm
eucalyptus_brevistylis,Eucalyptus brevistylis,4,7,cm,2.5,6,cm
eucalyptus_bridgesiana,Eucalyptus bridgesiana,2.5,10,cm,2,8,cm
eucalyptus_brockwayi,Eucalyptus brockwayi,2,7,cm,0.5,2.7,cm
eucalyptus_brookeriana,Eucalyptus brookeriana,3,11.5,cm,2,5,cm
eucalyptus_broviniensis,Eucalyptus broviniensis,6,12,cm,4,7,cm
eucalyptus_brownii,Eucalyptus brownii,4,9,cm,1.4,3.2,cm
eucalyptus_buprestium,Eucalyptus buprestium,4.5,7,cm,1.5,2,cm
eucalyptus_burdettiana,Eucalyptus burdettiana,3.5,8,cm,2.5,6,cm
eucalyptus_burgessiana,Eucalyptus burgessiana,NA,15,cm,NA,5,cm
eucalyptus_burracoppinensis,Eucalyptus burracoppinensis,7,10,cm,1.8,2.7,cm
eucalyptus_cadens,Eucalyptus cadens,1.7,5.7,cm,0.5,3.5,cm
eucalyptus_caesia_subsp._caesia,Eucalyptus caesia,2.5,8,cm,2.5,6,cm
eucalyptus_caesia_subsp._magna,Eucalyptus caesia,6,10,cm,5.5,8,cm
eucalyptus_calcareana,Eucalyptus calcareana,6,10,cm,3.5,4.5,cm
eucalyptus_calcicola_subsp._calcicola,Eucalyptus calcicola subsp. calcicola,4.5,9,cm,3,6.7,cm
eucalyptus_calcicola_subsp._unita,Eucalyptus calcicola subsp. unita,NA,NA,NA,NA,NA,NA
eucalyptus_caleyi_subsp._caleyi,Eucalyptus caleyi subsp. caleyi,3,7,cm,1.7,7,cm
eucalyptus_caleyi_subsp._ovendenii,Eucalyptus caleyi subsp. ovendenii,3,8,cm,1.7,7,cm
eucalyptus_caliginosa,Eucalyptus caliginosa,3.5,10,cm,1.3,4.5,cm
eucalyptus_calycogona_subsp._calycogona,Eucalyptus calycogona subsp. calycogona,1.8,6,cm,0.6,2,cm
eucalyptus_calycogona_subsp._miraculum,Eucalyptus calycogona subsp. miraculum,NA,4,cm,NA,1.8,cm
eucalyptus_calycogona_subsp._spaffordii,Eucalyptus calycogona subsp. spaffordii,1.7,4.5,cm,1.5,2.5,cm
eucalyptus_calycogona_subsp._trachybasis,Eucalyptus calycogona subsp. trachybasis,2,6,cm,0.7,2,cm
eucalyptus_calyerup,Eucalyptus calyerup,4.5,6,cm,3,4,cm
eucalyptus_camaldulensis_subsp._acuta,Eucalyptus camaldulensis subsp. acuta,6,25,cm,3,9,cm
eucalyptus_camaldulensis_subsp._arida,Eucalyptus camaldulensis subsp. arida,4.5,21,cm,2.5,7.5,cm
eucalyptus_camaldulensis_subsp._camaldulensis,Eucalyptus camaldulensis subsp. camaldulensis,8,18,cm,1.3,2.5,cm
eucalyptus_camaldulensis_subsp._minima,Eucalyptus camaldulensis subsp. minima,5,9,cm,1.5,3.5,cm
eucalyptus_camaldulensis_subsp._obtusa,Eucalyptus camaldulensis subsp. obtusa,9.7,15.5,cm,2,3.5,cm
eucalyptus_camaldulensis_subsp._refulgens,Eucalyptus camaldulensis subsp. refulgens,7,14,cm,2.2,5.6,cm
eucalyptus_camaldulensis_subsp._simulata,Eucalyptus camaldulensis subsp. simulata,10,25,cm,5.2,9.5,cm
eucalyptus_cambageana,Eucalyptus cambageana,7,14.5,cm,3,6.3,cm
eucalyptus_cameronii,Eucalyptus cameronii,2.5,7,cm,0.9,4,cm
eucalyptus_camfieldii,Eucalyptus camfieldii,NA,NA,NA,NA,NA,NA
eucalyptus_campaspe,Eucalyptus campaspe,5,8,cm,1.5,3.5,cm
eucalyptus_camphora_subsp._camphora,Eucalyptus camphora subsp. camphora,3.5,7,cm,1.5,3.5,cm
eucalyptus_camphora_subsp._humeana,Eucalyptus camphora subsp. humeana,3,5,cm,2.5,4.6,cm
eucalyptus_canaliculata,Eucalyptus canaliculata,6,18,cm,2,5,cm
eucalyptus_canescens_subsp._beadellii,Eucalyptus canescens subsp. beadellii,6.5,10,cm,4.5,5.5,cm
eucalyptus_canescens_subsp._canescens,Eucalyptus canescens subsp. canescens,6,10,cm,4.5,5.5,cm
eucalyptus_canobolensis,Eucalyptus canobolensis,3,11,cm,3.5,11,cm
eucalyptus_capillosa_subsp._capillosa,Eucalyptus capillosa subsp. capillosa,4,8.5,cm,2,4.5,cm
eucalyptus_capillosa_subsp._polyclada,Eucalyptus capillosa subsp. polyclada,5,7,cm,2,3.5,cm
eucalyptus_capitellata,Eucalyptus capitellata,5.5,8,cm,2.5,4,cm
eucalyptus_captiosa,Eucalyptus captiosa,6,12,cm,2,3.7,cm
eucalyptus_carnabyi,NA,3,5.5,cm,2,3,cm
eucalyptus_carnea,Eucalyptus carnea,8,20,cm,3.5,10,cm
eucalyptus_carnei,Eucalyptus carnei,8,11,cm,1.7,3,cm
eucalyptus_celastroides_subsp._celastroides,Eucalyptus celastroides subsp. celastroides,3,5,cm,1.2,2.5,cm
eucalyptus_celastroides_subsp._virella,Eucalyptus celastroides subsp. virella,2,4,cm,1.5,2.5,cm
eucalyptus_cephalocarpa,Eucalyptus cephalocarpa,2.5,8.5,cm,1.7,6.5,cm
eucalyptus_ceracea,Eucalyptus ceracea,6,10,cm,3,5.5,cm
eucalyptus_cerasiformis,Eucalyptus cerasiformis,NA,NA,NA,NA,NA,NA
eucalyptus_ceratocorys,Eucalyptus ceratocorys,6.5,8.5,cm,4,4.5,cm
eucalyptus_cernua,Eucalyptus cernua,NA,NA,NA,NA,NA,NA
eucalyptus_chapmaniana,Eucalyptus chapmaniana,2,9.5,cm,1.8,7,cm
eucalyptus_chartaboma,Eucalyptus chartaboma,4,9,cm,2,5.5,cm
eucalyptus_chloroclada,Eucalyptus chloroclada,5.5,15,cm,3,7.5,cm
eucalyptus_chlorophylla,Eucalyptus chlorophylla,4,9,cm,1.4,3.2,cm
eucalyptus_cinerea_subsp._cinerea,Eucalyptus cinerea subsp. cinerea,NA,8,cm,NA,5,cm
eucalyptus_cinerea_subsp._triplex,Eucalyptus cinerea subsp. triplex,NA,8,cm,NA,4.5,cm
eucalyptus_cladocalyx,Eucalyptus cladocalyx,2,6.5,cm,2,9,cm
eucalyptus_clelandiorum,Eucalyptus clelandiorum,NA,8,cm,NA,3.5,cm
eucalyptus_clivicola,Eucalyptus clivicola,NA,NA,NA,NA,NA,NA
eucalyptus_cloeziana,Eucalyptus cloeziana,4.5,10,cm,2,5,cm
eucalyptus_cneorifolia,Eucalyptus cneorifolia,3,6,cm,0.4,1,cm
eucalyptus_coccifera,Eucalyptus coccifera,1.5,4.5,cm,0.7,2.3,cm
eucalyptus_comitaevallis,Eucalyptus cometae-vallis,NA,NA,NA,NA,NA,NA
eucalyptus_communalis,NA,1.5,3,cm,1.5,3,cm
eucalyptus_concinna,Eucalyptus concinna,4.5,8,cm,2.3,3.7,cm
eucalyptus_conferruminata_subsp._conferruminata,Eucalyptus conferruminata subsp. conferruminata,NA,NA,NA,NA,NA,NA
eucalyptus_conferruminata_subsp._recherche,Eucalyptus conferruminata subsp. recherche,NA,NA,NA,NA,NA,NA
eucalyptus_confluens,Eucalyptus confluens,NA,NA,NA,NA,NA,NA
eucalyptus_conglobata_subsp._conglobata,Eucalyptus conglobata subsp. conglobata,5.5,11.5,cm,3,5,cm
eucalyptus_conglobata_subsp._perata,Eucalyptus conglobata subsp. perata,NA,NA,NA,NA,NA,NA
eucalyptus_conglomerata,Eucalyptus conglomerata,1.8,4.2,cm,0.4,1.5,cm
eucalyptus_conica,Eucalyptus conica,4,8,cm,1.4,4.5,cm
eucalyptus_consideniana,Eucalyptus consideniana,7.5,16.5,cm,1.2,7.2,cm
eucalyptus_conspicua_subsp._conspicua,Eucalyptus conspicua subsp. conspicua,2.5,6,cm,2.5,6,cm
eucalyptus_conspicua_subsp._dispar,Eucalyptus conspicua subsp. dispar,2.5,6,cm,2.5,6,cm
eucalyptus_conveniens,Eucalyptus conveniens,6.5,9,cm,3.5,5.5,cm
eucalyptus_coolabah,Eucalyptus coolabah,4,13,cm,0.5,3,cm
eucalyptus_cooperiana,Eucalyptus cooperiana,3.5,10,cm,2.5,6,cm
eucalyptus_cordata_subsp._cordata,Eucalyptus cordata subsp. cordata,3,8.4,cm,2.8,6.3,cm
eucalyptus_cordata_subsp._quadrangulosa,Eucalyptus cordata subsp. quadrangulosa,3,8.5,cm,2.7,8,cm
eucalyptus_cornuta,Eucalyptus cornuta,4,7,cm,2,7,cm
eucalyptus_coronata,Eucalyptus coronata,NA,NA,NA,NA,NA,NA
eucalyptus_corrugata,Eucalyptus corrugata,5.5,9,cm,2.5,4,cm
eucalyptus_corticosa,Eucalyptus corticosa,NA,NA,NA,NA,NA,NA
eucalyptus_corynodes,Eucalyptus corynodes,6,9.5,cm,1.5,3.5,cm
eucalyptus_cosmophylla,Eucalyptus cosmophylla,4,9,cm,4.5,9.5,cm
eucalyptus_crebra,Eucalyptus crebra,5,12,cm,0.6,1.7,cm
eucalyptus_crenulata,Eucalyptus crenulata,NA,NA,NA,NA,NA,NA
eucalyptus_creta,Eucalyptus creta,NA,NA,NA,NA,NA,NA
eucalyptus_cretata,Eucalyptus cretata,4.5,10,cm,2.5,5,cm
eucalyptus_crispata,Eucalyptus crispata,NA,NA,NA,NA,NA,NA
eucalyptus_croajingolensis,Eucalyptus croajingolensis,4,9,cm,1.3,3.2,cm
eucalyptus_crucis_subsp._crucis,Eucalyptus crucis subsp. crucis,1.7,5.5,cm,2.3,6.5,cm
eucalyptus_crucis_subsp._lanceolata,Eucalyptus crucis subsp. lanceolata,1.7,5.5,cm,2.3,6.5,cm
eucalyptus_crucis_subsp._praecipua,Eucalyptus crucis subsp. praecipua,1.7,5.5,cm,2.3,6.5,cm
eucalyptus_cullenii,Eucalyptus cullenii,4,11,cm,0.4,1.5,cm
eucalyptus_cunninghamii,Eucalyptus cunninghamii,5,10,cm,0.3,0.5,cm
eucalyptus_cuprea,Eucalyptus cuprea,5.5,10,cm,3,6,cm
eucalyptus_cupularis,Eucalyptus cupularis,8,14,cm,4,8,cm
eucalyptus_curtisii,Eucalyptus curtisii,NA,NA,NA,NA,NA,NA
eucalyptus_cyanophylla,Eucalyptus cyanophylla,6,12,cm,2.5,7,cm
eucalyptus_cyclostoma,Eucalyptus cyclostoma,NA,NA,NA,NA,NA,NA
eucalyptus_cylindriflora,Eucalyptus cylindriflora,4,8,cm,0.5,1.5,cm
eucalyptus_cylindrocarpa,Eucalyptus cylindrocarpa,NA,NA,NA,NA,NA,NA
eucalyptus_cypellocarpa,Eucalyptus cypellocarpa,4.5,12,cm,1.8,5.5,cm
eucalyptus_dalrympleana_subsp._dalrympleana,Eucalyptus dalrympleana subsp. dalrympleana,2.5,7,cm,2.5,7,cm
eucalyptus_dalrympleana_subsp._heptantha,Eucalyptus dalrympleana subsp. heptantha,3,7,cm,2.5,6,cm
eucalyptus_dawsonii,Eucalyptus dawsonii,4,9,cm,4,7,cm
eucalyptus_dealbata,Eucalyptus dealbata,6.5,8,cm,3,4.2,cm
eucalyptus_deanei,Eucalyptus deanei,4,10.5,cm,2.5,6,cm
eucalyptus_decipiens,Eucalyptus decipiens,2,6.5,cm,2,5,cm
eucalyptus_decolor,Eucalyptus decolor,9.7,13.5,cm,0.7,1.6,cm
eucalyptus_decorticans,Eucalyptus decorticans,5,9,cm,0.5,1.5,cm
eucalyptus_decurva,Eucalyptus decurva,3.5,10.5,cm,3,7,cm
eucalyptus_deflexa,Eucalyptus deflexa,NA,NA,NA,NA,NA,NA
eucalyptus_delegatensis_subsp._delegatensis,Eucalyptus delegatensis subsp. delegatensis,7,20,cm,2.7,8.2,cm
eucalyptus_delegatensis_subsp._tasmaniensis,Eucalyptus delegatensis subsp. tasmaniensis,3,7,cm,2,6,cm
eucalyptus_delicata,Eucalyptus delicata,0.8,7.5,cm,0.2,1.7,cm
eucalyptus_dendromorpha,Eucalyptus dendromorpha,7.5,14,cm,2,5,cm
eucalyptus_densa_subsp._densa,Eucalyptus densa subsp. densa,NA,NA,NA,NA,NA,NA
eucalyptus_densa_subsp._improcera,Eucalyptus densa subsp. improcera,NA,NA,NA,NA,NA,NA
eucalyptus_denticulata,Eucalyptus denticulata,5,12.5,cm,1.7,4.5,cm
eucalyptus_depauperata,Eucalyptus depauperata,3,6.5,cm,0.7,2,cm
eucalyptus_desmondensis,Eucalyptus desmondensis,5.5,11,cm,2,5,cm
eucalyptus_deuaensis,Eucalyptus deuaensis,3.5,7.5,cm,1.3,2.3,cm
eucalyptus_dielsii,Eucalyptus dielsii,NA,NA,NA,NA,NA,NA
eucalyptus_diminuta,Eucalyptus diminuta,6,9,cm,1.5,3,cm
eucalyptus_diptera,Eucalyptus diptera,NA,NA,NA,NA,NA,NA
eucalyptus_discreta,Eucalyptus discreta,2.5,5.5,cm,0.2,1,cm
eucalyptus_dissimulata,Eucalyptus dissimulata,2.5,4.5,cm,1,1.5,cm
eucalyptus_distans,Eucalyptus distans,11,14,cm,1,2,cm
eucalyptus_distuberosa_subsp._aerata,Eucalyptus distuberosa subsp. aerata,NA,NA,NA,NA,NA,NA
eucalyptus_distuberosa_subsp._distuberosa,Eucalyptus distuberosa subsp. distuberosa,NA,NA,NA,NA,NA,NA
eucalyptus_diversicolor,Eucalyptus diversicolor,5,15.5,cm,2.5,10,cm
eucalyptus_diversifolia_subsp._diversifolia,Eucalyptus diversifolia subsp. diversifolia,4,7.5,cm,1,2.5,cm
eucalyptus_diversifolia_subsp._hesperia,Eucalyptus diversifolia subsp. hesperia,4,10,cm,1.2,3.2,cm
eucalyptus_dives,Eucalyptus dives,6,14,cm,2,7,cm
eucalyptus_dolichocera,Eucalyptus dolichocera,NA,NA,NA,NA,NA,NA
eucalyptus_dolichorhyncha,Eucalyptus dolichorhyncha,3,10,cm,2,6,cm
eucalyptus_dolorosa,Eucalyptus dolorosa,6.5,11.5,cm,2.5,4,cm
eucalyptus_doratoxylon,Eucalyptus doratoxylon,4,8,cm,0.5,1.5,cm
eucalyptus_dorrienii,Eucalyptus falcata,3.5,6,cm,2,3,cm
eucalyptus_dorrigoensis,Eucalyptus dorrigoensis,3.5,8,cm,1.3,4,cm
eucalyptus_drummondii,Eucalyptus drummondii,5.5,8,cm,1.8,5.5,cm
eucalyptus_dumosa,Eucalyptus dumosa,5.5,14,cm,2.2,7,cm
eucalyptus_dundasii,Eucalyptus dundasii,6.5,11,cm,3,4.5,cm
eucalyptus_dunnii,Eucalyptus dunnii,2.5,15,cm,1.8,11,cm
eucalyptus_dura,Eucalyptus dura,9.5,14,cm,2,4,cm
eucalyptus_dwyeri,Eucalyptus dwyeri,5,15,cm,1,2.5,cm
eucalyptus_ebbanoensis_subsp._ebbanoensis,Eucalyptus ebbanoensis subsp. ebbanoensis,4.5,8,cm,2,4,cm
eucalyptus_ebbanoensis_subsp._photina,Eucalyptus ebbanoensis subsp. photina,NA,NA,NA,NA,NA,NA
eucalyptus_ecostata,Eucalyptus ecostata,3.5,6,cm,2,3,cm
eucalyptus_educta,Eucalyptus educta,NA,NA,NA,NA,NA,NA
eucalyptus_effusa,Eucalyptus effusa,5,11.5,cm,0.7,4,cm
eucalyptus_elaeophloia,Eucalyptus elaeophloia,3,4,cm,2,4,cm
eucalyptus_elata,Eucalyptus elata,3.3,10.5,cm,0.6,1.6,cm
eucalyptus_elliptica,Eucalyptus elliptica,2,10,cm,2,6,cm
eucalyptus_erectifolia,Eucalyptus erectifolia,5,12,cm,1,2.5,cm
eucalyptus_eremicola_subsp._eremicola,Eucalyptus eremicola subsp. eremicola,NA,NA,NA,NA,NA,NA
eucalyptus_eremicola_subsp._peeneri,Eucalyptus eremicola subsp. peeneri,3.5,7,cm,0.8,1.4,cm
eucalyptus_eremophila,Eucalyptus eremophila,3,9,cm,0.8,2.5,cm
eucalyptus_erosa,Eucalyptus erosa,3.5,7.5,cm,2,3,cm
eucalyptus_erythrandra,NA,NA,NA,NA,NA,NA,NA
eucalyptus_erythrocorys,Eucalyptus erythrocorys,5,13,cm,3,6,cm
eucalyptus_erythronema_subsp._erythronema,Eucalyptus erythronema subsp. erythronema,NA,NA,NA,NA,NA,NA
eucalyptus_erythronema_subsp._inornata,Eucalyptus erythronema subsp. inornata,NA,NA,NA,NA,NA,NA
eucalyptus_eudesmioides_subsp._eudesmioides,Eucalyptus eudesmioides,NA,NA,NA,NA,NA,NA
eucalyptus_eudesmioides_subsp._pallida,Eucalyptus eudesmioides subsp. Pallida (D.F.Blaxell 1981 et al.),2,7.5,cm,1.5,2.5,cm
eucalyptus_eugenioides,Eucalyptus eugenioides,4.5,8,cm,1.5,3.5,cm
eucalyptus_ewartiana,Eucalyptus ewartiana,5,8,cm,1.5,5,cm
eucalyptus_exigua,Eucalyptus exigua,3.5,6,cm,0.7,1.5,cm
eucalyptus_exilipes,Eucalyptus exilipes,2.5,10,cm,0.2,0.6,cm
eucalyptus_exilis,Eucalyptus exilis,5,7.5,cm,4,5,cm
eucalyptus_expressa,Eucalyptus expressa,NA,NA,NA,NA,NA,NA
eucalyptus_exserta,Eucalyptus exserta,6,19,cm,0.3,1.3,cm
eucalyptus_extensa,Eucalyptus extensa,NA,NA,NA,NA,NA,NA
eucalyptus_extrica,Eucalyptus extrica,6,12,cm,4,6.5,cm
eucalyptus_falcata,Eucalyptus falcata,NA,NA,NA,NA,NA,NA
eucalyptus_famelica,Eucalyptus famelica,4.5,7.5,cm,1.5,3,cm
eucalyptus_farinosa,Eucalyptus farinosa,6.5,11,cm,6,11,cm
eucalyptus_fasciculosa,Eucalyptus fasciculosa,3.5,8.5,cm,1.5,5.8,cm
eucalyptus_fastigata,Eucalyptus fastigata,4.5,12,cm,1.8,5,cm
eucalyptus_fibrosa_subsp._fibrosa,Eucalyptus fibrosa subsp. fibrosa,8,20,cm,4.5,14,cm
eucalyptus_fibrosa_subsp._nubilis,Eucalyptus fibrosa subsp. nubilis,NA,NA,NA,NA,NA,NA
eucalyptus_flavida,Eucalyptus flavida,NA,NA,NA,NA,NA,NA
eucalyptus_flindersii,Eucalyptus flindersii,4.5,11,cm,2.5,7,cm
eucalyptus_flocktoniae_subsp._flocktoniae,Eucalyptus flocktoniae subsp. flocktoniae,4,7.5,cm,1.5,2.5,cm
eucalyptus_flocktoniae_subsp._hebes,Eucalyptus flocktoniae subsp. hebes,3,5,cm,2,3,cm
eucalyptus_foecunda,Eucalyptus foecunda,4,8,cm,0.5,2,cm
eucalyptus_foliosa,Eucalyptus foliosa,NA,NA,NA,NA,NA,NA
eucalyptus_formanii,Eucalyptus formanii,2,4.5,cm,0.2,0.4,cm
eucalyptus_forrestiana,Eucalyptus forrestiana,3,10,cm,2,6,cm
eucalyptus_fraseri_subsp._fraseri,Eucalyptus fraseri subsp. fraseri,7.5,10.5,cm,3.5,6.5,cm
eucalyptus_fraseri_subsp._melanobasis,Eucalyptus fraseri subsp. melanobasis,7,10.5,cm,3.5,6.5,cm
eucalyptus_fraxinoides,Eucalyptus fraxinoides,6,15,cm,1.5,4.5,cm
eucalyptus_frenchiana,Eucalyptus frenchiana,NA,NA,NA,NA,NA,NA
eucalyptus_froggattii,Eucalyptus froggattii,7.8,17.2,cm,1.7,2.8,cm
eucalyptus_fruticosa,Eucalyptus fruticosa,1.2,6,cm,0.8,1.5,cm
