apc_nosubsp,budlength_min,budlength_max,budwidth_min,budwidth_max,frtlength_min,frtlength_max,frtwidth_min,frtwidth_max,bud_n_min,bud_n_max,colours_all,flowering_time_all,leaflength_min,leaflength_max,leafwidth_min,leafwidth_max
Corymbia blakei,0.4,0.5,0.3,0.4,0.6,1,0.5,0.9,7,7,white_cream,NNNNNNNNNNNY,4,13,0.3,1.8
Corymbia bleeseri,0.8,1.5,0.5,0.8,1.5,2.5,1,1.5,7,7,white_cream,NNYYYYNYNNNN,7.5,15,0.9,2.7
Corymbia bloxsomei,0.9,NA,0.7,NA,1.2,1.8,0.9,1.3,7,11,white_cream,NNNNNYNNNNNY,11,18.8,1,3.5
Corymbia brachycarpa,0.6,NA,0.5,NA,1.3,1.8,1,1.5,7,7,white_cream,NNNNNNNNNNNN,8,15,0.9,2.1
Corymbia bunites,0.7,NA,0.5,NA,0.8,1.2,0.7,1.1,7,7,white_cream,NNNNNNNNNNNN,7.3,20,1.2,3.5
Corymbia cadophora,0.8,1.8,0.6,1.1,2.5,4.2,1.7,3,7,7,red_brown white_cream,YYNYNYYYYYNN,7,25.5,2.8,10.2
Corymbia calophylla,0.6,1.4,0.6,1,1.9,4.4,1.8,4,7,7,pink white_cream,YYYYYNNNYNNY,7,19,2,5.5
Corymbia candida,0.4,0.6,0.4,0.5,0.5,1.1,0.6,1.1,3,3,white_cream,NNNNNNYNNNNN,3,8,0.8,2.7
Corymbia chartacea,1,1.6,0.8,1.1,2.1,3,2.1,3,3,7,pink white_cream,NYNNYNNYNNNN,6,16,3,8.6
Corymbia chippendalei,0.7,0.9,0.5,0.7,1.6,2.8,1.5,2.5,7,7,white_cream,YNNNNNNNNNNN,8,13,1,2.3
Corymbia citriodora,0.6,1.1,0.5,0.7,0.8,1.5,0.7,1.2,3,3,white_cream,YNNYYYYYNYNY,10,23,0.6,2.8
Corymbia clandestina,0.8,NA,0.5,NA,0.9,1.4,0.7,1,7,7,white_cream,NNNNNNNNNNNN,7.3,12,1,2
Corymbia clarksoniana,0.7,1.2,0.4,0.8,1.2,2.5,0.9,1.6,7,7,white_cream,YNYYYYYYYYYY,6,18,1,3
Corymbia clavigera,0.7,NA,0.4,NA,0.9,1.4,0.7,0.9,3,7,white_cream,NNNNNYNNYYYN,7,16,1.4,2.5
Corymbia cliftoniana,0.6,NA,0.4,NA,1.5,2.4,1.5,2.5,7,7,white_cream,NNNNNNNNNNNN,7.8,15,1,2.6
Corymbia collina,1.3,1.6,1,1.1,2.6,3.7,1.8,2.5,7,7,white_cream,NNNYYYNNNNNN,9.2,23.5,1,3
Corymbia confertiflora,0.4,0.7,0.4,0.5,0.7,1.5,0.6,1.2,7,7,white_cream,NNNNNYYYYYYN,6,16,2.5,10.3
Corymbia dallachiana,0.5,0.7,0.4,0.6,0.9,1.3,0.7,1,3,7,white_cream,NYYYYYYYNNYY,9.3,27,0.9,3.4
Corymbia dendromerinx,0.5,0.7,0.4,0.6,0.7,1.2,0.6,0.8,3,7,white_cream,NNNNNNNNNYYN,6,15,3.6,8.5
Corymbia deserticola,0.5,0.7,0.3,0.5,0.9,1.7,0.9,1.6,7,7,white_cream,NNNNYYYYYNYN,2,6.2,1,4
Corymbia dichromophloia,0.4,0.7,0.3,0.5,0.8,1.3,0.6,1.1,7,7,white_cream,NYYYYNYYNNNN,7,23,0.8,5.5
Corymbia disjuncta,0.5,0.8,0.4,0.6,0.9,1.7,0.7,1.4,7,7,white_cream,NNNNNNNYYYYN,9,18,5,12.5
Corymbia dunlopiana,1.2,2,0.7,1,2,3.5,2.3,3.2,1,3,red_brown,YYNYYYYNYYNY,3.5,12,2,5.7
Corymbia ellipsoidea,0.7,0.8,0.4,0.5,1.2,1.9,0.9,1.4,7,7,white_cream,YYNNNNNNNNNN,9,17.5,0.7,2.3
Corymbia eremaea,0.6,0.8,0.4,0.5,1.1,2.2,0.9,1.8,7,7,white_cream,YNYYNNNNNNYY,7.5,12,1,2.1
Corymbia erythrophloia,0.6,1,0.5,0.7,1.1,2.1,1,1.6,7,7,white_cream,YYYYNNNNNNNN,9,23.6,2,3.5
Corymbia eximia,1,1.3,0.7,1,1,1.9,1,1.6,7,7,white_cream,NNNNNNNNYYYN,10,24,1.7,6
Corymbia ferriticola,0.4,0.5,0.3,0.4,0.6,1,0.4,0.9,7,7,white_cream,YNNNNNNNNNNY,4,10,0.6,2.2
Corymbia ferruginea,0.7,1.4,0.5,0.8,1.8,3.3,1.5,2.9,3,7,white_cream,YYYYYYNNNNNY,6.3,21.5,2,9
Corymbia ficifolia,1.2,1.8,0.6,0.8,2,4.2,1.8,3,7,7,red_brown,YYYYYNNNYNNN,7,13,2.5,5
Corymbia flavescens,0.6,0.9,0.5,0.8,0.8,1.2,0.8,1.1,3,3,white_cream,NNNYYYNNNNYY,7,23.5,1.3,6
Corymbia foelscheana,0.9,1.4,0.7,0.9,2.2,3,1.4,2.4,7,7,white_cream,YYYYYYYYYYYY,10,27.5,4,13.5
Corymbia gilbertensis,0.5,0.7,0.4,0.5,0.5,1,0.5,0.8,7,7,white_cream,NNNNNNNNNNNN,5,13,0.7,4.6
Corymbia grandifolia,0.7,1.5,0.6,0.9,1,2.2,0.8,1.6,3,7,white_cream,YNNYNYYYYYYN,8,20,3,15
Corymbia greeniana,0.6,1,0.5,0.8,1.3,2.8,1.1,2.2,7,7,white_cream,YYYYYNNYNYNN,8,23,2,7.6
Corymbia gummifera,0.8,1.2,0.4,0.6,1.2,2.2,0.9,1.8,7,7,white_cream,YYYYYYNNNNNY,5.5,16,1.5,5
Corymbia haematoxylon,0.6,1.1,0.4,0.7,1.5,3.6,1.2,2.7,7,7,white_cream,NYYNNNNNNNNN,7,12,2,3.5
Corymbia hamersleyana,0.6,0.8,0.5,0.8,1.1,1.7,0.9,1.6,7,9,white_cream,NNYYYYYYYNNN,8,16.5,1,2
Corymbia hendersonii,0.8,1.2,0.4,0.6,1.7,3.1,1.4,2.2,7,7,white_cream,YYYNNNNNNNNN,7,17,0.8,3
Corymbia henryi,1.2,1.3,0.6,0.8,0.9,1.5,0.9,1.6,3,3,white_cream,YNNNNNNNNNYN,11,28,2.2,4.5
Corymbia hylandii,0.5,0.7,0.3,0.5,1,1.8,0.8,1.2,7,7,white_cream,NNNYNYNNNNNN,8.4,19.5,0.9,2.5
Corymbia intermedia,0.7,1,0.4,0.6,1,2,0.8,1.6,7,7,white_cream,YYYYYYYNNYYY,8,15,1.3,4
Corymbia jacobsiana,0.4,NA,0.2,NA,0.7,1.1,0.4,0.8,7,7,white_cream,NYNYNNNNNNNY,5.3,13.7,0.7,2
Corymbia kombolgiensis,0.4,0.6,0.3,0.5,0.8,1,0.4,0.8,7,13,white_cream,NNNNNNNYNYYN,8,21,0.6,1
Corymbia lamprophylla,0.6,0.9,0.4,0.6,1.1,1.8,1,1.4,7,7,white_cream,YNYYNNNYNNNN,7,18,1,3
Corymbia latifolia,0.5,0.6,0.3,0.6,0.8,1.4,0.8,1.2,7,7,white_cream,YYYNNNNNYYYY,7,16.5,4,12.3
Corymbia leichhardtii,0.6,0.9,0.5,0.6,0.8,1.5,0.7,1.3,7,7,white_cream,YYYNNNNNNNNN,10.5,24.5,1,3.8
Corymbia lenziana,0.6,0.8,0.4,0.5,1.2,1.9,1,1.7,7,7,white_cream,NNNNNNNNNNNN,6.5,12,0.5,1.5
Corymbia leptoloma,0.6,0.8,0.5,0.6,0.8,1.1,0.8,1.1,7,7,white_cream,NNNNNNNNNNNN,8.9,21.5,2.1,5
Corymbia ligans,0.7,0.9,0.4,0.5,1.1,2,0.7,1.2,7,7,NA,YNNNNNNNNNNN,7.7,15,0.8,1.6
Corymbia maculata,0.8,1,0.6,0.8,0.9,1.4,0.8,1.3,3,3,white_cream,NNYYYYYYYNNN,8,21,1.2,3
Corymbia nesophila,0.5,0.7,0.3,0.5,0.8,1.5,0.6,1,7,7,white_cream,NNNNYYYYNNNN,7.3,21,0.7,2.8
Corymbia novoguinensis,1.1,1.2,0.6,0.7,1.7,2.4,1.1,1.5,7,7,white_cream,NNNNYYYYNNNN,10,21,1.2,3.5
Corymbia oocarpa,0.7,NA,0.5,NA,1,1.4,0.8,1.1,7,7,white_cream,NNYNNNNNNNNN,10,22,0.9,2.7
Corymbia opaca,0.9,1.3,0.6,0.8,1.6,2.9,1.2,1.9,7,7,white_cream,NNYYYYYYNYNN,9,17,1.1,3.5
Corymbia pachycarpa,1.5,2.6,0.8,1,2.3,3.8,2.5,3.3,3,7,white_cream,NNNNNNNNNNNY,4,12,1.7,5
Corymbia papillosa,0.6,NA,0.4,0.5,1.2,1.7,1,1.6,7,7,white_cream,NNNNNNNNNNYN,4,12.2,2,5.5
Corymbia papuana,0.5,0.6,0.4,0.5,0.6,1.2,0.6,0.8,3,7,white_cream,NNNNNNYYYYYN,9,21,1.6,3.5
Corymbia paractia,0.5,0.7,0.4,0.5,0.7,1.1,0.6,0.9,3,7,white_cream,NNNNNNNNNNYY,7.5,14,1.4,5.5
Corymbia pauciseta,0.6,0.7,0.4,0.5,0.8,1.5,0.7,1.2,7,7,white_cream,NNNNNNNNNYYN,9,19.5,2.7,9
Corymbia peltata,0.6,0.8,0.4,0.5,0.7,1.4,0.8,1.2,7,7,white_cream,NYNNNNNNNNNN,6,13.5,3.5,11
Corymbia petalophylla,0.7,0.8,0.4,0.5,0.8,1.4,0.8,1.2,7,7,white_cream,NNNNNNNNYNNN,8,19,1.5,4.5
Corymbia plena,1.1,1.7,0.7,1.2,2,3.1,1.3,2,7,7,white_cream,NNNNYYNNNNNN,7.6,15.5,1,2.5
Corymbia pocillum,0.5,0.6,0.4,0.55,0.9,1.4,0.8,1.2,7,7,white_cream,YYNNNYNNNNNN,8,20.5,0.7,3
Corymbia polycarpa,0.9,1.4,0.5,0.8,1.5,3.5,0.8,1.6,7,9,white_cream,NYYYYYYYNNNN,7.8,20.8,1,3.8
Corymbia polysciada,0.6,0.8,0.4,0.7,0.9,1.5,0.8,1.1,7,7,white_cream,NNNNNYNYYYYN,6,21,1,7.5
Corymbia porrecta,1,1.5,0.7,0.9,1.8,3,1.5,2.6,7,7,white_cream,YYYYNNNNNNNN,9,23.5,3,8.5
Corymbia ptychocarpa,1.3,2.4,1.1,1.8,3,5.5,2.2,4.5,7,7,red_brown white_cream,NYYYYYNNYYYY,11,46,2.7,13
Corymbia rhodops,0.8,1.5,0.4,0.7,1.7,2.8,1.2,2,7,7,red_brown white_cream,YYNNNNNNNNNY,8,15.2,0.8,2.5
Corymbia scabrida,0.7,NA,0.6,NA,0.8,1.3,0.8,1.1,7,7,white_cream,NNNNNNNNNYNN,6.5,12.5,2,3.5
Corymbia serendipita,0.5,NA,0.4,NA,1,1.5,0.8,1,7,7,white_cream,NYNNNNNNNNNN,7.5,18,0.7,1.7
Corymbia setosa,0.6,1.2,1.1,2.5,1.1,2.8,1.1,2.5,3,7,white_cream,YYYYYYYYYYYY,2.7,7.7,1,5
Corymbia sphaerica,1,1.2,0.9,1,2.1,3.1,2,3.1,3,3,NA,NNNNNNNNNNNN,3,7,1.5,4.5
Corymbia stockeri,0.6,0.8,0.4,0.6,1,1.7,0.8,1.4,7,7,white_cream,NYNNNNNNNNNN,8,21.5,0.9,2.5
Corymbia terminalis,0.6,1.4,0.5,1,1.5,3.1,1.2,2.2,7,7,pink white_cream,NNYYYYYYYYNN,8,20,1.2,3
Corymbia tessellaris,0.4,0.6,0.3,0.5,0.6,1.2,0.6,1,3,7,white_cream,YYNNYYYYYYYY,9,24,0.6,2.5
Corymbia torelliana,0.7,0.8,0.5,0.7,0.9,1.4,0.8,1.4,3,7,white_cream,NNNNNNNYYYYN,6,16,1.5,8.5
Corymbia torta,0.5,0.6,0.3,0.4,0.6,0.9,0.5,0.9,3,7,white_cream,NNNNNNNNNNYN,7,17.5,0.7,2.5
Corymbia trachyphloia,0.4,0.5,0.2,0.4,0.6,1,0.5,0.8,7,7,white_cream,YYYYYYNYNNNY,6.5,14,0.9,2.6
Corymbia umbonata,0.6,0.8,0.5,0.6,1.2,1.9,1.1,1.6,7,7,white_cream,NNYYNNNNNNNN,9,23,0.8,2
Corymbia watsoniana,1.5,2,1.2,1.7,1.5,3.2,1.2,2.4,7,7,white_cream,NNNNNYNNNNYN,9,26.5,1.8,7
Corymbia xanthope,0.7,0.8,0.4,0.5,1.4,2,1,1.5,7,7,white_cream,NNNNNNNNNNNN,9,20,1,2.5
Corymbia zygophylla,1,1.3,0.7,0.8,1.8,3.5,1.7,3.3,3,7,white_cream,NNNNNNNNNNNN,6.5,14.5,1.8,6
Eucalyptus abdita,1.1,2.1,0.25,0.4,0.6,NA,0.4,0.5,13,13,white_cream,NYNNNNNNNNNN,5.5,8,1.1,1.8
Eucalyptus absita,0.4,0.6,0.3,0.4,0.4,0.5,0.4,0.6,7,7,white_cream,NNNNNYNNNNYN,7,11,1.5,4
Eucalyptus acaciiformis,0.3,0.4,0.2,0.3,0.3,0.4,0.3,0.6,7,7,white_cream,YNNNNNNNNNNY,5,13,1,2.2
Eucalyptus accedens,0.8,1.4,0.5,0.7,0.6,1.1,0.6,0.9,7,11,white_cream,YYYYNNNNNNNY,8,18,1.2,3
Eucalyptus acies,0.6,0.9,0.7,0.9,0.9,1.2,1.3,1.5,7,7,white_cream,YNNNNNNNYYYN,8,13.5,2,4
Eucalyptus acmenoides,0.5,0.7,0.3,0.5,0.5,0.8,0.4,0.9,11,15,white_cream,NNNYNNYYYYYY,7,15.7,0.9,4
Eucalyptus acroleuca,0.2,0.3,0.1,0.2,0.2,0.3,0.2,0.3,7,7,white_cream,NNNNNNNNNNYY,7,14,0.6,1.2
Eucalyptus adesmophloia,0.7,1.2,0.35,0.5,0.4,0.6,0.5,0.9,11,21,white_cream,YNNNNNNYYNYN,5.5,12.5,1,2.5
Eucalyptus aequioperta,0.5,0.7,0.25,0.35,0.4,0.5,0.4,0.6,9,15,white_cream,NNNNYNNNNNNN,6,11,0.6,1.2
Eucalyptus agglomerata,0.6,0.8,0.3,0.4,0.3,0.5,0.5,1,11,15,white_cream,YNNYYYYNNYYY,7,14,1.4,3
Eucalyptus aggregata,0.3,0.5,0.2,0.3,0.2,0.5,0.3,0.5,7,7,white_cream,YYYYYNNNNYNY,5,12,1,2.5
Eucalyptus alaticaulis,0.45,0.9,0.25,0.5,0.5,1.1,0.5,1,7,7,white_cream,NA,12,30,2,4.5
Eucalyptus alatissima,3.2,4.5,1.5,3,1.4,2,2.5,4.5,3,3,red_brown,NNNNNNYNNYNN,5.5,13,1,3
Eucalyptus alba,0.4,0.8,0.4,0.6,0.3,0.6,0.5,0.8,7,7,white_cream,NNNNNYYYYNNN,8,18.5,2.5,4.5
Eucalyptus albens,0.8,1.8,0.3,0.6,0.6,1.4,0.5,1,7,7,white_cream,YYYYYYYYYYYY,7,16.5,1.7,4.3
Eucalyptus albida,0.6,1,0.5,NA,0.5,0.6,0.5,0.8,7,9,white_cream,YNNNNNNNNNYY,5,7.5,0.5,1.7
Eucalyptus albopurpurea,0.6,1,0.3,0.4,0.6,1,0.5,0.8,7,11,pink white_cream,YYYYYYYYYYYY,7,14,1.2,3
Eucalyptus alipes,1.3,2.1,0.5,0.7,0.7,1.5,0.6,1.1,3,3,white_cream,YYNNNNNNNNNY,3,7.5,0.4,1.1
Eucalyptus alligatrix,0.4,0.6,0.2,0.5,0.3,0.5,0.4,0.8,3,7,white_cream,NNNYNNNNNNNN,4.8,20,0.7,4.7
Eucalyptus ammophila,0.8,NA,0.5,NA,0.3,0.5,0.6,0.9,7,7,white_cream,NNNNNNNNNNNN,6,13.5,1.3,2.5
Eucalyptus amplifolia,0.8,1.2,0.3,0.5,0.2,0.5,0.4,0.6,7,15,white_cream,YNNNNYNNNNYY,7.5,25,1.3,7
Eucalyptus amygdalina,0.3,0.5,0.2,0.3,0.4,0.7,0.4,0.7,11,15,white_cream,YNNNNNYNNNYY,5.5,12,0.4,1.2
Eucalyptus ancophila,0.6,0.7,0.3,0.5,0.5,0.8,0.5,0.7,7,7,white_cream,NNNNNNNNNNYN,9,20,1.8,4.8
Eucalyptus andrewsii,0.3,0.4,0.2,0.3,0.4,0.6,0.5,0.7,11,15,white_cream,NYNNNYYNNNNY,9,17,1,3.2
Eucalyptus angophoroides,0.7,0.9,0.3,0.6,0.4,0.5,0.5,0.9,7,7,white_cream,YYYNNNNNNNNY,8,25,1.4,4.3
Eucalyptus angularis,NA,NA,NA,NA,NA,NA,NA,NA,9,11,NA,NNNNNNNNNNNN,5.5,10,1.5,1.7
Eucalyptus angulosa,1.5,2.7,0.6,1.2,1.2,2.2,1,2.5,3,7,pink white_cream yellow_orange,NNNYNNNYYYYY,5,14,1.7,5
Eucalyptus angustissima,0.5,0.7,0.3,0.5,0.3,0.5,0.5,0.8,7,7,white_cream,YNNNNNNNNYNN,7,11.5,0.15,0.3
Eucalyptus annettae,1.4,1.6,1.4,1.6,1.2,1.6,1.5,2,7,7,white_cream yellow_orange,NNNNNNNYNNNY,9,13,2,5
Eucalyptus annulata,1.2,2.6,0.5,0.7,NA,NA,0.8,1.2,7,7,white_cream,NNNNNNNYYYNN,6,11.5,0.7,1.7
Eucalyptus annuliformis,1.1,1.7,0.5,0.8,0.9,1.2,1,1.4,7,7,white_cream,NNNNNNYNNNNN,4,6.5,1,1.7
Eucalyptus apiculata,0.5,0.8,0.4,NA,0.7,1,0.6,1,7,7,white_cream,YNYNNNNNNYNY,3.5,11,0.3,0.7
Eucalyptus apodophylla,0.3,0.7,0.3,0.55,0.3,0.5,0.4,0.6,7,7,white_cream,NNNNNYYYYYNN,7,20,3.6,9
Eucalyptus apothalassica,0.5,0.6,0.3,NA,0.4,0.6,0.4,0.6,11,15,white_cream,NNNNNNNNNYNN,5,13,0.9,2.5
Eucalyptus approximans,0.5,NA,0.3,NA,0.6,0.8,0.5,0.8,7,7,white_cream,NNNNNNNNNNNN,5.5,12,0.5,1.6
Eucalyptus aquilina,2.8,3.2,2.3,3.8,2,2.9,3.5,5,3,3,white_cream,NNNNNYNNNNNN,7,13.5,1.2,2.5
Eucalyptus arachnaea,1.2,2,0.2,0.4,0.4,0.8,0.4,0.5,9,15,white_cream,YYNNYNNNNNNN,6,12,1,2.2
Eucalyptus arborella,NA,NA,NA,NA,NA,NA,NA,NA,11,15,green,YNYYNNNNNNNN,4,7,0.7,1.5
Eucalyptus arcana,0.5,0.6,0.4,NA,0.1,NA,0.5,0.8,7,7,white_cream,YYNNNNNNNNNN,8,15,1.7,3
Eucalyptus archeri,0.5,0.7,0.3,0.4,0.5,0.8,0.5,0.8,3,3,white_cream,YYYYYNNNNNYY,4,9,0.9,3
Eucalyptus arenacea,0.5,0.6,0.3,0.5,0.4,0.9,0.7,1.2,9,15,white_cream,YNNNNNYYYYYY,7,12,1.5,4
Eucalyptus arenicola,0.3,0.4,0.3,0.4,0.4,0.6,0.5,0.8,11,25,white_cream,NNNNNNNNYYYN,8,13,0.7,1.8
Eucalyptus argillacea,0.6,1,0.4,0.6,0.6,1,0.4,0.6,7,7,white_cream,NNNYNNNNNNNN,5,14,1.2,3.5
Eucalyptus argophloia,0.4,0.6,0.3,0.4,0.3,0.5,0.5,0.7,7,7,white_cream,NNNNYYNNNNNN,6.5,14,0.7,1.5
Eucalyptus argutifolia,0.7,1.1,0.4,0.6,0.6,1.1,0.7,0.8,7,9,white_cream,YNNNNNNNNNNN,7.3,12,1.2,3
Eucalyptus aridimontana,0.5,0.6,0.3,0.4,0.4,0.9,0.4,0.6,7,11,white_cream,NNNNNNNNNNNN,7,14,0.7,2
Eucalyptus armillata,2,3,0.9,1.5,0.8,1.5,1,1.8,3,3,red_brown white_cream,YYNNNNNNNYYY,3,8.5,0.5,1.5
Eucalyptus aromaphloia,0.4,0.5,0.3,0.4,0.3,0.4,0.4,0.7,7,7,white_cream,YYYNNNNNNNNN,7.5,20,1,2
Eucalyptus articulata,0.7,0.9,0.3,0.5,0.7,0.9,0.4,0.7,7,7,white_cream,NNNNNNYNNNNN,6,12,1,1.5
Eucalyptus aspersa,0.8,1.1,0.3,0.4,0.4,0.8,0.4,0.7,7,7,white_cream,NNNNNNNNNNNN,5.5,12,1,2
Eucalyptus aspratilis,2,3,0.5,0.7,1,1.5,0.7,1.2,7,7,white_cream,NNNNYNYYNNNN,5.5,10.5,1,2.2
Eucalyptus assimilans,1.5,1.5,0.7,0.7,0.9,1.2,0.8,0.9,7,7,NA,NA,7,18,1.5,4
Eucalyptus astringens,1,2,0.3,0.7,0.7,1.2,0.6,1,7,7,pink white_cream,NNNNNNYYYYYN,5,14,1,2.5
Eucalyptus atrata,0.6,0.8,0.4,0.5,0.4,0.8,0.5,0.8,7,7,white_cream,YYNNNNNNYNNY,8,15,1.4,3.4
Eucalyptus aurifodina,0.6,NA,0.3,NA,0.3,0.5,0.5,0.9,9,15,white_cream,NNNYNNNNNNNN,4,8.5,1.4,3
Eucalyptus badjensis,0.4,0.5,0.3,0.4,0.3,0.5,0.4,0.6,3,3,white_cream,YYYNNNNNNNNY,8.5,20,1,2
Eucalyptus baeuerlenii,0.7,1,0.4,0.6,0.5,1,0.8,1.2,3,3,white_cream,NNYYYNNNYNNN,7,17.5,0.6,3
Eucalyptus baileyana,0.5,0.8,0.3,0.5,0.9,1.5,0.8,1.7,7,7,white_cream,YNNYNNNNNYYY,9,16.5,1,2.5
Eucalyptus baiophylla,0.8,1.3,0.4,0.7,0.5,0.9,0.5,0.8,7,9,white_cream,NNNNNNNNNYNN,4.7,9.8,0.4,1
Eucalyptus bakeri,0.8,1.1,0.2,0.4,0.3,0.4,0.4,0.5,7,15,white_cream,NNNNNYYYYYNY,4,10.5,0.5,1.5
Eucalyptus balladoniensis,1.6,2.5,0.9,1.1,0.7,1.1,1,1.4,7,7,white_cream,NNNYNNYYNYYN,7,13.5,1,2.7
Eucalyptus bancroftii,1,2,0.4,0.7,0.4,0.7,0.6,0.9,7,15,white_cream,NNNNNNNNNNYN,10,26,2,5
Eucalyptus banksii,0.4,0.7,0.4,0.5,0.3,0.6,0.6,1.1,7,7,white_cream,NNYNNYNNYNNN,10,19,1.5,3
Eucalyptus barberi,0.7,1.1,0.4,0.6,0.5,1,0.6,0.9,7,7,white_cream,NNNNNNNYYNYY,5,14,1,3.5
Eucalyptus baudiniana,0.5,0.8,0.3,0.4,0.4,0.6,0.3,0.4,7,15,white_cream,NNNNNNNNNNYN,4.5,9.5,0.5,1.5
Eucalyptus baueriana,0.3,0.6,0.3,0.4,0.3,0.6,0.3,0.7,7,7,white_cream,YNNNYNNYYNYY,5,10.5,2,6
Eucalyptus baxteri,0.5,1,0.4,0.6,0.4,1.2,0.7,1.8,9,15,white_cream,YYYYNYYYYYYY,6,15,1.5,5.5
Eucalyptus beaniana,0.4,0.7,0.2,0.4,0.4,0.6,0.3,0.6,7,7,white_cream,NNNNNNNNYNNN,7,13,0.9,2.3
Eucalyptus beardiana,1.9,2.2,0.7,0.9,0.6,1,0.9,1.3,9,9,white_cream,NNNNYNNNNNNN,5.5,13,0.7,1.5
Eucalyptus behriana,0.3,0.7,0.2,0.4,0.3,0.6,0.3,0.5,7,7,white_cream,YYNYYNYNYYYY,4.5,13,1.3,5
Eucalyptus bensonii,0.5,1,0.3,0.4,0.5,0.7,0.8,1.2,7,11,white_cream,YNNNNNNNNNYN,6,12,1.9,3.7
Eucalyptus benthamii,0.3,0.5,0.2,0.4,0.3,0.4,0.4,0.6,7,7,white_cream,NNYYYNYNYNNN,8,23,1.2,2.7
Eucalyptus beyeriana,0.4,0.5,0.2,0.3,0.3,0.6,0.3,0.6,7,7,white_cream,YNNYYNNYYYYN,7,14,0.7,2
Eucalyptus bigalerita,0.6,1.2,0.6,1.1,0.6,0.9,0.8,1.2,7,7,white_cream,NNNNNYYYYNNN,9,15,7,15
Eucalyptus blakelyi,0.8,1.4,0.3,0.6,0.2,0.5,0.4,0.8,7,15,white_cream,YYNNNNYYYYYY,6,20,0.7,4.5
Eucalyptus blaxellii,0.4,0.8,0.25,0.5,0.4,0.6,0.4,0.6,7,7,white_cream,NNNNYNYNYYNN,6,10,0.5,1
Eucalyptus blaxlandii,0.6,NA,0.3,0.4,0.4,0.6,0.7,1.3,9,15,white_cream,NNYNNNNNNYYN,6,12,1.3,2.7
Eucalyptus boliviana,0.5,0.6,1,1.5,0.5,0.6,1,1.5,7,7,white_cream,NNNNNNNNNNNN,8,16,3,5
Eucalyptus bosistoana,0.6,0.8,0.3,0.5,0.4,0.8,0.4,0.8,7,7,white_cream,YYYYNNYNNNYY,5.8,20,0.7,2.7
Eucalyptus botryoides,0.7,1.4,0.4,0.6,0.6,1.3,0.5,0.9,7,11,white_cream,YYYNNNNNNNNY,10,22,2,7
