species_code,replicate,subsample,fresh_mass_g,leaf_area_mm2,dry_mass_mg,leaflet_area_mm2,sla_mm2_mg,ldmc
ALEX,3,3,NA,NA,NA,NA,NA,NA
ALEX,4,1,0.3127,1980.4,110.4,1980.4,17.9384058,353.0540454
ALEX,4,2,0.2988,1606.7,109.6,1606.7,14.65967153,366.8005355
ALEX,4,3,0.2098,921.3,78.4,921.3,11.75127551,373.6892278
ALEX,5,1,0.1834,1297,64.6,1297,20.07739938,352.2355507
ALEX,5,2,0.167,1354.8,54.9,1354.8,24.67759563,328.742515
ALEX,5,3,NA,NA,NA,NA,NA,NA
ARTR,1,1,0.6142,3125.3,200.9,1450.7,15.55649577,327.0921524
ARTR,1,2,0.4722,2521.8,152.5,929.1,16.53639344,322.9563744
ARTR,1,3,NA,NA,NA,710.4,NA,NA
ARTR,2,1,0.8626,3826.4,348.8,2113.5,10.97018349,404.3589149
ARTR,2,2,0.5854,2559.7,237,909.6,10.80042194,404.8513837
ARTR,2,3,NA,NA,NA,778.1,NA,NA
ARTR,3,1,0.6785,3567.1,205.3,2205.6,17.37506089,302.5792189
ARTR,3,2,0.5746,2830.2,180.9,1323.9,15.64510779,314.8277062
ARTR,3,3,NA,NA,NA,NA,NA,NA
ARTR,4,1,0.3545,1463.8,113.8,681.2,12.8629174,321.0155148
ARTR,4,2,0.5495,2395.6,184.2,993.6,13.00542888,335.2138308
ARTR,4,3,0.5227,2358.9,171.1,668.5,13.78667446,327.3388177
ARTR,5,1,0.4554,2025.6,155.1,1044.1,13.05996132,340.5797101
ARTR,5,2,0.5166,2376.6,169.1,634.3,14.05440568,327.332559
ARTR,5,3,0.5798,2517.1,195.2,NA,12.89497951,336.6678165
CRTR,1,1,0.1646,726.1,65.3,726.1,11.1194487,396.7193196
CRTR,1,2,0.1714,740.3,68.2,740.3,10.85483871,397.8996499
CRTR,1,3,0.1875,772.1,76.5,772.1,10.09281046,408
CRTR,2,1,0.2957,1148.3,124,1148.3,9.260483871,419.3439297
CRTR,2,2,0.2937,1229.4,124.1,1229.4,9.906526994,422.5400068
CRTR,2,3,0.2716,1060,113.1,1060,9.372236958,416.4212077
CRTR,3,1,0.152,678.3,65.1,678.3,10.41935484,428.2894737
CRTR,3,2,0.2102,791.4,86.3,791.4,9.170336037,410.5613701
CRTR,3,3,0.1422,551.5,60,551.5,9.191666667,421.9409283
CRTR,4,1,0.1643,749.7,68.6,749.7,10.92857143,417.5289105
CRTR,4,2,0.1374,669.6,56.9,669.6,11.76801406,414.1193595
CRTR,4,3,0.1572,777.5,60.9,777.5,12.76683087,387.4045802
CRTR,5,1,0.2499,1085.7,101.4,1085.7,10.70710059,405.7623049
CRTR,5,2,0.2493,1048,99.9,1048,10.49049049,400.7220217
CRTR,5,3,0.1987,835.5,84,835.5,9.946428571,422.7478611
CUAN,1,1,0.5535,2113.9,228.5,1010.1,9.251203501,412.8274616
CUAN,1,2,1.0782,4369.1,423,1102.4,10.32884161,392.3205342
CUAN,1,3,1.2369,5025,539.3,1307,9.31763397,436.0093783
CUAN,2,1,0.833,3139.4,335.2,923.8,9.36575179,402.4009604
CUAN,2,2,1.2141,4895.8,553.3,1589.6,8.848364359,455.7285232
CUAN,2,3,NA,NA,NA,NA,NA,NA
CUAN,3,1,1.0381,4773.6,425,1166.1,11.232,409.4017917
CUAN,3,2,0.5333,2262.5,212.9,1379.5,10.62705496,399.2124508
CUAN,3,3,1.318,6047.6,393.8,NA,15.35703403,298.7860395
CUAN,4,1,1.4266,5868.8,616.3,1512.2,9.52263508,432.0061685
CUAN,4,2,1.2962,5257,449.1,1353.2,11.70563349,346.4743095
CUAN,4,3,1.0453,4055.9,460.6,1022.2,8.805688233,440.639051
CUAN,5,1,0.7964,3668.4,331.5,1039.7,11.06606335,416.2481165
CUAN,5,2,0.9356,3755.7,399.1,935.4,9.410423453,426.5711843
CUAN,5,3,0.8147,3677.6,311,1233.1,11.82508039,381.7356082
DIFA,1,1,0.7824,2221.7,404.2,2221.7,5.496536368,516.6155419
DIFA,1,2,0.4933,1461.6,237.3,1461.6,6.159292035,481.0460166
DIFA,1,3,0.4577,1698.7,232.1,1698.7,7.318828091,507.100721
DIFA,2,1,0.333,1093.7,180.8,1093.7,6.049225664,542.9429429
DIFA,2,2,0.3675,1231.1,200,1231.1,6.1555,544.2176871
DIFA,2,3,0.3223,1196.4,172,1196.4,6.955813953,533.6642879
DIFA,3,1,0.3919,1226.6,203,1226.6,6.042364532,517.989283
DIFA,3,2,0.4241,1378.2,203.4,1378.2,6.775811209,479.603867
DIFA,3,3,0.3441,1170.9,166.6,1170.9,7.028211285,484.1615809
DIFA,4,1,0.4314,1471,223,1471,6.596412556,516.9216504
DIFA,4,2,0.3812,1211.2,194.7,1211.2,6.220852594,510.7555089
DIFA,4,3,0.4308,1339,223.4,1339,5.993733214,518.5701021
DIFA,5,1,0.5444,1446.6,261.2,1446.6,5.538284839,479.7942689
DIFA,5,2,0.5573,1469.5,272.3,1469.5,5.396621373,488.6057779
DIFA,5,3,0.7299,2031.9,360.3,2031.9,5.639467111,493.6292643
DRDE,1,1,0.2745,1180.3,105.2,1180.3,11.21958175,383.2422587
DRDE,1,2,0.2253,1031.4,85.3,1031.4,12.09144197,378.6063027
DRDE,1,3,0.2595,920.6,97,920.6,9.490721649,373.7957611
DRDE,2,1,0.397,1385.5,94.7,1385.5,14.63041183,238.5390428
DRDE,2,2,0.2139,918.5,83.9,918.5,10.94755662,392.2393642
DRDE,2,3,0.253,1024.8,97.8,1024.8,10.47852761,386.5612648
DRDE,3,1,0.3361,1302.1,116.1,1302.1,11.21533161,345.4329069
DRDE,3,2,0.1642,709.6,70.4,709.6,10.07954545,428.7454324
DRDE,3,3,0.1268,516.5,51.7,516.5,9.99032882,407.7287066
DRDE,4,1,0.3476,1302.7,126.8,1302.7,10.27365931,364.7871116
DRDE,4,2,0.2741,1157.5,106.3,1157.5,10.88899341,387.8146662
DRDE,4,3,0.2646,1037.1,111.9,1037.1,9.268096515,422.9024943
DRDE,5,1,0.335,1387.5,114.8,1387.5,12.08623693,342.6865672
DRDE,5,2,0.2179,1000.5,79.3,1000.5,12.61664565,363.9284075
DRDE,5,3,0.1406,634.1,53.4,634.1,11.87453184,379.8008535
FICO,1,1,0.131,1042.2,23,1042.2,45.31304348,175.5725191
FICO,1,2,0.2035,1557,37.4,1557,41.63101604,183.7837838
FICO,1,3,0.2728,1919.4,47.5,1919.4,40.40842105,174.1202346
FICO,2,1,0.2573,1660.4,51.7,1660.4,32.11605416,200.9327633
FICO,2,2,0.2636,1568.5,51.2,1568.5,30.63476563,194.2336874
FICO,2,3,0.2154,1427.8,40.4,1427.8,35.34158416,187.5580316
FICO,3,1,0.169,1269,33.8,1269,37.5443787,200
FICO,3,2,0.1707,1216.1,36.4,1216.1,33.40934066,213.2396016
FICO,3,3,0.3034,1843.5,53,1843.5,34.78301887,174.686882
FICO,4,1,0.3175,1280.9,65.9,1280.9,19.4370258,207.5590551
FICO,4,2,0.2472,1608.5,42.9,1608.5,37.49417249,173.5436893
FICO,4,3,0.2463,1326,49.5,1326,26.78787879,200.9744214
FICO,5,1,0.2508,1940,49.1,1940,39.51120163,195.7735247
FICO,5,2,0.1973,1594,35.3,1594,45.15580737,178.9153573
FICO,5,3,0.1972,1161.6,31.3,1161.6,37.11182109,158.7221095
FIOB,1,1,0.7547,1698.9,209.4,1698.9,8.113180516,277.4612429
FIOB,1,2,0.986,2335.6,272.3,2335.6,8.577304444,276.1663286
FIOB,1,3,0.4227,1084.3,113.7,1084.3,9.53649956,268.9850958
FIOB,2,1,0.6293,2004.3,154.9,2004.3,12.93931569,246.146512
FIOB,2,2,0.4277,1291.4,77.2,1291.4,16.72797927,180.5003507
FIOB,2,3,0.5634,1732.9,136.2,1732.9,12.72320117,241.7465389
FIOB,3,1,0.4495,1438.8,128.1,1438.8,11.23185012,284.9833148
FIOB,3,2,0.4597,1399.7,135.6,1399.7,10.32227139,294.9749837
FIOB,3,3,0.5463,1572.8,147.2,1572.8,10.68478261,269.4490207
FIVI,1,1,0.3296,2534,71.2,2534,35.58988764,216.0194175
FIVI,1,2,0.3777,2759,85.9,2759,32.11874272,227.4291766
FIVI,1,3,0.3503,2497.4,84.1,2497.4,29.69560048,240.0799315
FIVI,2,1,0.2741,1949.5,48.4,1949.5,40.27892562,176.5778913
FIVI,2,2,0.2347,1628.6,44.5,1628.6,36.59775281,189.6037495
FIVI,2,3,0.2587,1849.3,54.4,1849.3,33.99448529,210.2821801
FIVI,3,1,0.4291,2997.2,43.7,2997.2,68.58581236,101.8410627
FIVI,3,2,0.3698,2255.4,78.9,2255.4,28.58555133,213.3585722
FIVI,3,3,0.3554,2154.7,75,2154.7,28.72933333,211.0298255
FIVI,4,1,0.1733,1109.2,38.2,1109.2,29.03664921,220.4270052
FIVI,4,2,0.1587,919.9,32.1,919.9,28.65732087,202.268431
FIVI,4,3,0.1821,1096.2,39.1,1096.2,28.03580563,214.7171884
FIVI,5,1,0.3909,2419.9,94.5,2419.9,25.60740741,241.7498081
FIVI,5,2,0.3581,2207.9,86.8,2207.9,25.43663594,242.3903937
FIVI,5,3,0.2999,1757.5,85.5,1757.5,20.55555556,285.0950317
FLAU,1,1,1.0549,3627.1,389.8,689.1,9.30502822,369.513698
FLAU,1,2,0.6946,2661.8,246.4,751.2,10.80275974,354.736539
FLAU,1,3,NA,NA,NA,762.5,NA,NA
FLAU,2,1,1.6188,5531.3,595.1,1108.8,9.29474038,367.6179886
FLAU,2,2,0.625,1806.9,210.5,1319.8,8.583847981,336.8
FLAU,2,3,NA,NA,NA,1171.2,NA,NA
FLAU,3,1,1.1705,3494.4,388.2,1315.4,9.001545595,331.6531397
FLAU,3,2,0.9937,2998.2,314.5,1175.8,9.533227345,316.4939116
FLAU,3,3,0.9915,3223.4,321.6,1295,10.02300995,324.3570348
FLAU,4,1,1.3762,4101.6,472.3,710.3,8.684310819,343.1913966
FLAU,4,2,0.74,2491.1,248.9,594,10.00843712,336.3513514
FLAU,4,3,NA,NA,NA,695.5,NA,NA
FLAU,5,1,1.0424,3939.8,372.4,1195,10.57948443,357.2524942
FLAU,5,2,0.7659,3138.8,275.6,1211.2,11.38896952,359.838099
FLAU,5,3,0.9873,3935.9,347.6,981.1,11.3230725,352.0713056
GLFE,1,1,0.6216,3201.7,156.6,3201.7,20.44508301,251.9305019
GLFE,1,2,0.62,3706.7,174.6,3706.7,21.22966781,281.6129032
GLFE,1,3,0.8655,4975.1,233.5,4975.1,21.30663812,269.7862507
GLFE,2,1,0.6481,3417.8,165.9,3417.8,20.60156721,255.9790156
GLFE,2,2,0.7567,4070.3,202.5,4070.3,20.10024691,267.6093564
GLFE,2,3,0.495,2789.2,124.2,2789.2,22.45732689,250.9090909
GLFE,3,1,1.0021,4911.6,259.3,4911.6,18.94176629,258.7566111
GLFE,3,2,0.7374,3971.7,217.6,3971.7,18.25229779,295.0908598
GLFE,3,3,1.0666,5055,261.7,5055,19.3160107,245.3590849
GLFE,4,1,0.5705,3111.2,154.6,3111.2,20.12419146,270.9903593
GLFE,4,2,0.8193,4434.7,221.1,4434.7,20.05744007,269.8645185
GLFE,4,3,0.7158,3865.7,200.1,3865.7,19.31884058,279.5473596
GLFE,5,1,0.5697,3160.2,148.1,3160.2,21.33828494,259.9613832
GLFE,5,2,0.8274,4437.3,202.2,4437.3,21.94510386,244.3799855
GLFE,5,3,0.9994,4169.3,270.4,4169.3,15.41900888,270.5623374
GUSE,1,1,0.1704,761.6,66.8,187.8,11.4011976,392.0187793
GUSE,1,2,0.1449,716.6,56.3,188,12.72824156,388.5438233
GUSE,1,3,NA,NA,NA,131.3,NA,NA
GUSE,2,1,0.2374,1112.2,89.8,185.4,12.38530067,378.2645324
GUSE,2,2,0.181,808.4,61.1,210.6,13.23076923,337.5690608
GUSE,2,3,NA,NA,NA,177.1,NA,NA
GUSE,3,1,0.5044,1825.5,200.3,397.4,9.113829256,397.1054718
GUSE,3,2,0.2435,955.4,87.1,362.3,10.96900115,357.7002053
GUSE,3,3,NA,NA,NA,291.8,NA,NA
GUSE,4,1,0.3038,1166.4,122.7,262,9.506112469,403.8841343
GUSE,4,2,0.2828,1113.9,116.8,226.7,9.536815068,413.0127298
GUSE,4,3,NA,NA,NA,240,NA,NA
GUSE,5,1,0.4705,1830,117.6,349.1,15.56122449,249.946865
GUSE,5,2,0.4107,1455.7,158.4,328.7,9.190025253,385.6829803
GUSE,5,3,NA,NA,NA,342.2,NA,NA
JAPS,1,1,0.4724,3231.4,134.6,509.8,24.00742942,284.9280271
JAPS,1,2,0.463,3288.1,149.7,572.5,21.96459586,323.3261339
JAPS,1,3,0.3897,3048.4,135.3,524.8,22.53067258,347.1901463
JAPS,2,1,0.6756,4564.4,200.3,496,22.78781827,296.4772054
JAPS,2,2,0.3175,2382.8,98.9,432.5,24.09302326,311.496063
JAPS,2,3,0.3783,3100.5,119.7,475.3,25.90225564,316.4155432
JAPS,3,1,0.5093,3743.7,161.6,620.2,23.1664604,317.2982525
JAPS,3,2,0.4655,3184.7,142.6,673.6,22.33309958,306.3372718
JAPS,3,3,0.4308,3742.6,90.9,461.8,41.17271727,211.0027855
JAPS,4,1,0.4592,3951.8,150.8,415,26.20557029,328.3972125
JAPS,4,2,0.4522,3894.7,143.7,476,27.10299235,317.7797435
JAPS,4,3,0.3405,2411,96.4,411.1,25.01037344,283.113069
JAPS,5,1,0.3972,2826.5,130,662.3,21.74230769,327.2910373
JAPS,5,2,0.4648,2975.2,148.2,535.6,20.07557355,318.8468158
JAPS,5,3,0.4794,3265.8,145.4,909.9,22.4607978,303.2957864
MEBR,1,1,0.0081,52.351,2.7,52.351,19.38925926,333.3333333
MEBR,1,2,0.0081,49.721,2.9,49.721,17.14517241,358.0246914
MEBR,1,3,0.0085,53.986,3,53.986,17.99533333,352.9411765
MEBR,2,1,0.0114,68.681,3.4,68.681,20.20029412,298.245614
MEBR,2,2,0.0123,74.617,3.5,74.617,21.31914286,284.5528455
MEBR,2,3,0.0109,68.014,3.3,68.014,20.61030303,302.7522936
MEBR,3,1,0.0088,55.262,2.7,55.262,20.46740741,306.8181818
MEBR,3,2,0.0075,53.57,2.4,53.57,22.32083333,320
MEBR,3,3,0.0075,48.968,2.1,48.968,23.31809524,280
MEBR,4,1,0.0074,41.19,2.7,41.19,15.25555556,364.8648649
MEBR,4,2,0.0074,42.072,2.8,42.072,15.02571429,378.3783784
MEBR,4,3,0.0065,37.126,2.4,37.126,15.46916667,369.2307692
MEBR,5,1,0.0081,36.043,2.1,36.043,17.16333333,259.2592593
MEBR,5,2,0.0078,35.097,2.1,35.097,16.71285714,269.2307692
MEBR,5,3,0.0077,34.065,2.3,34.065,14.81086957,298.7012987
NOLO,1,1,0.7816,3117.8,340.5,3117.8,9.156534508,435.6448311
NOLO,1,2,0.8469,3390.5,368.5,3390.5,9.200814111,435.1163065
NOLO,1,3,0.4825,1916.3,206.5,1916.3,9.279903148,427.9792746
NOLO,2,1,0.4765,1731.3,175.7,1731.3,9.853727945,368.7303253
NOLO,2,2,0.6202,2258,236.9,2258,9.531447868,381.9735569
NOLO,2,3,0.629,2215.7,240,2215.7,9.232083333,381.5580286
NOLO,3,1,0.5937,2403.1,225.1,2403.1,10.67569969,379.1477177
NOLO,3,2,0.556,2323.9,217,2323.9,10.70921659,390.2877698
NOLO,3,3,NA,NA,NA,NA,NA,NA
NOLO,4,1,0.7218,2971.2,227.6,2971.2,13.05448155,315.3228041
NOLO,4,2,0.5971,2533.3,193.3,2533.3,13.10553544,323.7313683
NOLO,4,3,NA,NA,NA,NA,NA,NA
NOLO,5,1,0.5338,2071.2,220.1,2071.2,9.41026806,412.3267141
NOLO,5,2,0.8544,3269.1,373.7,3269.1,8.747926144,437.3829588
NOLO,5,3,0.9102,3477.5,395.4,3477.5,8.794891249,434.4100198
STBR,1,1,0.1407,893.7,34,893.7,26.28529412,241.6488984
STBR,1,2,0.1264,936,22,936,42.54545455,174.0506329
STBR,1,3,0.0935,572.9,24.5,572.9,23.38367347,262.0320856
STBR,2,1,0.1658,1249.6,29.1,1249.6,42.94158076,175.5126659
STBR,2,2,0.179,919.1,42.8,919.1,21.47429907,239.1061453
STBR,2,3,0.1775,946.2,45.9,946.2,20.61437908,258.5915493
STBR,3,1,0.1399,829.5,36.5,829.5,22.7260274,260.9006433
STBR,3,2,0.1267,815.4,28.5,815.4,28.61052632,224.9408051
STBR,3,3,0.1409,844.3,35.9,844.3,23.51810585,254.7906317
STBR,4,1,0.0971,613.8,22.6,613.8,27.15929204,232.7497425
STBR,4,2,0.108,665.1,26.5,665.1,25.09811321,245.3703704
STBR,4,3,0.0705,466.6,13.9,466.6,33.56834532,197.1631206
STBR,5,1,0.0856,550,19.4,550,28.35051546,226.635514
STBR,5,2,0.0919,583.2,19.1,583.2,30.53403141,207.8346028
STBR,5,3,0.0619,378.2,14.8,378.2,25.55405405,239.095315
SYAU,1,1,0.169,501.4,31.8,501.4,15.7672956,188.1656805
SYAU,1,2,0.1549,473.4,30,473.4,15.78,193.6733376
SYAU,1,3,0.1628,498.3,30.6,498.3,16.28431373,187.960688
SYAU,2,1,0.2236,812.1,50,812.1,16.242,223.6135957
SYAU,2,2,0.1967,741.1,44.5,741.1,16.65393258,226.2328419
SYAU,2,3,0.1113,375,24.5,375,15.30612245,220.1257862
SYAU,3,1,0.1847,597.3,39.6,597.3,15.08333333,214.4017325
SYAU,3,2,0.126,471.4,25.8,471.4,18.27131783,204.7619048
SYAU,3,3,0.1092,402.2,24.5,402.2,16.41632653,224.3589744
SYAU,4,1,0.1663,603.7,39.8,603.7,15.16834171,239.3265183
SYAU,4,2,0.1353,502.7,30.8,502.7,16.32142857,227.6422764
SYAU,4,3,0.1632,613.7,39.1,613.7,15.69565217,239.5833333
SYAU,5,1,0.1575,523.9,35.2,523.9,14.88352273,223.4920635
SYAU,5,2,0.1505,470,32.8,470,14.32926829,217.9401993
SYAU,5,3,0.1648,532.3,36.5,532.3,14.58356164,221.4805825
SYFR,1,1,0.1312,676.1,52.5,676.1,12.87809524,400.152439
SYFR,1,2,0.1569,829.5,66.5,829.5,12.47368421,423.8368388
SYFR,1,3,0.1521,815.9,65.2,815.9,12.51380368,428.6653517
SYFR,2,1,0.0723,554,28.1,554,19.71530249,388.6583679
SYFR,2,2,0.075,513.3,33.2,513.3,15.46084337,442.6666667
SYFR,2,3,0.0683,503.7,28,503.7,17.98928571,409.9560761
SYFR,3,1,0.1557,1008.7,69.4,1008.7,14.53458213,445.728966
SYFR,3,2,0.171,973.1,73.5,973.1,13.23945578,429.8245614
SYFR,3,3,0.1126,653.1,48.2,653.1,13.54979253,428.0639432
SYFR,4,1,0.0618,419.8,27.8,419.8,15.10071942,449.8381877
SYFR,4,2,0.0635,454.4,27.9,454.4,16.28673835,439.3700787
SYFR,4,3,0.0513,384,22.6,384,16.99115044,440.545809
SYSM,1,1,0.1005,378.4,25.1,378.4,15.07569721,249.7512438
SYSM,1,2,0.1009,374.7,26.1,374.7,14.35632184,258.6719524
SYSM,1,3,0.0744,268.3,17.2,268.3,15.59883721,231.1827957
SYSM,2,1,0.0621,247.5,15.9,247.5,15.56603774,256.0386473
SYSM,2,2,0.0585,226.5,19.8,226.5,11.43939394,338.4615385
SYSM,2,3,0.085,341,26,341,13.11538462,305.8823529
SYSM,3,1,0.0695,286.2,15.4,286.2,18.58441558,221.5827338
SYSM,3,2,0.069,288.7,15.5,288.7,18.62580645,224.6376812
SYSM,3,3,0.051,213.8,10,213.8,21.38,196.0784314
SYSM,4,1,0.0785,258.2,27.9,258.2,9.254480287,355.4140127
SYSM,4,2,0.0746,257.6,24.8,257.6,10.38709677,332.4396783
SYSM,4,3,0.082,275.5,29.3,275.5,9.402730375,357.3170732
SYSM,5,1,0.0645,335.9,19,335.9,17.67894737,294.5736434
SYSM,5,2,0.0843,383.5,26.2,383.5,14.63740458,310.7947805
SYSM,5,3,0.0781,393.9,21.7,393.9,18.15207373,277.8489117
TOCI,1,1,1.635,10199.8,372.2,1128.2,27.40408383,227.6452599
TOCI,1,2,NA,NA,NA,1283,NA,NA
TOCI,1,3,NA,NA,NA,1558.3,NA,NA
TOCI,2,1,0.5457,3889.2,125.5,786.1,30.98964143,229.9798424
TOCI,2,2,NA,NA,NA,752.5,NA,NA
TOCI,2,3,NA,NA,NA,608.4,NA,NA
TOCI,3,1,0.307,1756.6,105.2,617.6,16.69771863,342.6710098
TOCI,3,2,0.3206,2161.6,75.9,531.3,28.47957839,236.7436057
TOCI,3,3,NA,NA,NA,374.7,NA,NA
TOCI,4,1,0.8025,4816.8,178.3,571.7,27.01514302,222.1806854
TOCI,4,2,NA,NA,NA,627.3,NA,NA
TOCI,4,3,NA,NA,NA,757.2,NA,NA
TOCI,5,1,0.534,3720.9,122.7,862.3,30.32518337,229.7752809
TOCI,5,2,NA,NA,NA,723.3,NA,NA
TOCI,5,3,NA,NA,NA,760.8,NA,NA
TOTE,1,1,0.8705,4015.7,339.8,1091.9,11.81783402,390.3503733
TOTE,1,2,0.8179,4174.1,295.6,1006.1,14.12077131,361.4133757
TOTE,1,3,1.215,5549.6,453.9,1347.4,12.2264816,373.5802469
TOTE,2,1,0.7813,3679.9,287,836.1,12.82195122,367.3364905
TOTE,2,2,0.9632,4297.4,198.6,884.7,21.63846928,206.1877076
TOTE,2,3,0.894,4541.7,187.9,886.5,24.17083555,210.1789709
TOTE,3,1,0.6669,3021.3,169,538.7,17.87751479,253.411306
TOTE,3,2,0.5775,2747.5,197.7,737.4,13.89731917,342.3376623
TOTE,3,3,0.5555,2269.7,149.7,498.4,15.16165665,269.4869487
TOTE,4,1,0.4773,2400.7,170.4,696.2,14.08861502,357.008171
TOTE,4,2,0.7598,3531.7,285.6,976.6,12.36589636,375.8883917
TOTE,4,3,NA,NA,NA,NA,NA,NA
TRTO,1,1,0.2579,2052.7,60.1,2052.7,34.1547421,233.0360605
TRTO,1,2,0.3411,2550.9,76.3,2550.9,33.43250328,223.688068
TRTO,1,3,0.263,1977.2,58.4,1977.2,33.85616438,222.0532319
TRTO,2,1,0.1802,1376.9,36.7,1376.9,37.51771117,203.6625971
TRTO,2,2,0.267,1928.5,57.1,1928.5,33.77408056,213.8576779
TRTO,2,3,0.1896,1463.6,37.8,1463.6,38.71957672,199.3670886
TRTO,3,1,0.3026,2491.9,50.1,2491.9,49.73852295,165.5651024
TRTO,3,2,0.2809,1796.5,55.4,1796.5,32.42779783,197.2232111
TRTO,3,3,0.2878,2094.9,56.6,2094.9,37.01236749,196.6643502
TRTO,4,1,0.1128,827.1,23.2,827.1,35.65086207,205.6737589
TRTO,4,2,0.1549,1196.7,34.9,1196.7,34.28939828,225.3066495
TRTO,4,3,0.1472,1099.7,32.5,1099.7,33.83692308,220.7880435
TRTO,5,1,0.117,800.1,27.5,800.1,29.09454545,235.042735
TRTO,5,2,0.1463,973.2,34.8,973.2,27.96551724,237.8673958
TRTO,5,3,0.1294,938.5,28.8,938.5,32.58680556,222.5656878
