taxon,mean time to germinate,quickest time to germinate,longest time to germinate,times sown,recommended pretreatment
Acacia lycopodiifolia,15,9,23,5,HW
Acacia maitlandii,7,5,8,3,HW
Acacia marramamba,4,3,5,3,HW
Acacia meisneri,17,10,25,8,HW
Acacia merinthophora,10,4,13,8,HW
Acacia merrallii,20,15,24,5,HW
Acacia merrickiae,13,13,13,1,HW
Acacia microbotrya,18,13,38,13,HW
Acacia monticola,12,8,14,3,HW
Acacia mooreana,33,28,38,2,HW
Acacia multispicata,15,7,26,15,HW
Acacia murrayana,12,0,0,1,HW
Acacia myrtifolia,21,12,28,13,HW
Acacia nervosa,27,0,0,1,HW
Acacia neurophylla,20,10,27,8,HW
Acacia nigricans,14,0,0,1,HW
Acacia nitidula,16,12,21,3,HW
Acacia oncinophylla,9,8,11,4,HW
Acacia orthocarpa,17,0,0,1,HW
Acacia oswaldii,15,10,25,4,HW
Acacia oxyclada,16,23,23,2,HW
Acacia papyrocarpa,7,7,7,1,HW
Acacia paradoxa,11,10,13,5,HW
Acacia pentadenia,30,22,47,8,HW
Acacia plectocarpa,34,0,0,1,HW
Acacia plicata,20,19,22,2,HW
Acacia prainii,7,5,8,3,HW
Acacia pruinocarpa,6,5,7,4,HW
Acacia pulchella,25,9,47,13,HW
Acacia pyrifolia,9,5,16,9,HW
Acacia quadrimarginea,8,5,12,3,HW
Acacia quadrisulcata,17,10,23,6,HW
Acacia ramulosa,16,8,23,2,HW
Acacia redolens,19,13,25,2,HW
Acacia resinimarginea,11,7,15,4,HW
Acacia restiacea,11,7,22,8,HW
Acacia rhodophloia,12,8,16,2,HW
Acacia rossei,12,7,29,23,HW
Acacia rostellifera,11,7,13,12,HW
Acacia salicina,16,10,26,6,HW
Acacia saligna,11,6,18,11,HW
Acacia sciophanes,7,7,7,1,HW
Acacia scirpifolia,29,6,83,4,HW
Acacia sclerosperma,10,7,18,5,HW
Acacia sedifolia,29,28,31,3,HW
Acacia sessilispica,16,7,28,4,HW
Acacia shuttleworthii,12,7,14,6,HW
Acacia sibina,13,13,13,1,HW
Acacia signata,13,10,17,6,HW
Acacia spathulifolia,12,6,22,15,HW
Acacia splendens,28,10,60,3,HW
Acacia steedmanii,20,14,26,4,HW
Acacia stenoptera,21,14,26,6,HW
Acacia subcaerulea,12,10,16,8,HW
Acacia subflexuosa,9,0,0,2,HW
Acacia subtessarogona,7,0,0,1,HW
Acacia sulcata,14,10,17,4,HW
Acacia tenuissima,13,8,19,2,HW
Acacia teretifolia,38,28,47,3,HW
Acacia tetragonophylla,14,6,26,4,HW
Acacia trachycarpa,7,7,7,3,HW
Acacia truncata,23,11,31,13,HW
Acacia tumida,12,7,16,4,HW
Acacia umbellata,9,9,10,2,HW
Acacia urophylla,19,13,31,11,HW
Acacia validinervia,7,6,8,4,HW
Acacia verricula,12,11,13,2,HW
Acacia vincentii,12,12,12,1,HW
Acacia wanyu,10,5,14,3,HW
Acacia willdenowiana,25,0,0,1,HW
Acacia xanthina,19,19,19,1,HW
Acacia xiphophylla,6,5,7,2,HW
Acanthocarpus preissii,30,10,76,6,
Actinobole uliginosum,15,12,38,6,
Actinodium cunninghamii,73,49,93,7,
Actinostrobus acuminatus,31,18,56,12,SMK
Actinostrobus arenarius,21,19,28,9,SMK
Actinostrobus pyramidalis,21,17,28,9,SMK
Actinotus leucocephalus,25,15,51,21,SMK
Adansonia gregorii,24,13,51,5,
Adriana quadripartita,55,0,0,1,
Agonis baxteri,31,19,49,10,SMK
Agonis flexuosa,22,15,35,9,SMK
Agonis theiformis,32,27,44,11,SMK
Agrostocrinum scabrum,47,20,72,7,SMK
Albizia lebbeck,13,7,31,6,HW
Alectryon oleifolius,35,30,42,3,
Allocasuarina acuaria,33,18,48,6,None
Allocasuarina acutivalvis,18,13,25,5,None
Allocasuarina acutivalvis var. prinsepiana,14,13,14,2,None
Allocasuarina campestris,14,11,26,9,None
Allocasuarina corniculata,19,14,25,1,None
Allocasuarina decaisneana,20,8,40,12,None
Allocasuarina decussata,37,20,63,10,None
Allocasuarina dielsiana,13,11,15,2,None
Allocasuarina drummondiana,22,18,28,3,None
Allocasuarina fraseriana,23,20,27,9,None
Allocasuarina grevilleoides,26,24,28,3,None
Allocasuarina helmsii,17,13,25,5,None
Allocasuarina huegeliana,17,11,23,5,None
Allocasuarina humilis,18,12,40,12,None
Allocasuarina lehmanniana,16,14,18,2,None
Allocasuarina microstachya,22,20,26,6,None
Allocasuarina pinaster,28,20,42,14,None
Allocasuarina ramosissima,23,20,26,3,None
Allocasuarina scleroclada,20,18,23,3,None
Allocasuarina spinosissima,19,19,19,1,None
Allocasuarina tessellata,17,17,18,2,None
Allocasuarina thuyoides,24,14,42,12,None
Allocasuarina trichodon,19,11,25,4,None
Alternanthera nodiflora,22,13,50,11,
Aluta maisonneuvei,42,16,72,9,SMK
Alyogyne cuneiformis,14,10,22,7,SMK
Alyogyne hakeifolia,19,7,39,17,SMK
Alyogyne huegelii,20,7,30,21,SMK
Alyogyne pinoniana,17,8,42,16,SMK
Alyxia buxifolia,67,51,90,4,SMK
Amaranthus mitchellii,7,7,7,1,
Andersonia aristata,87,61,112,3,
Andersonia axilliflora,37,17,56,2,
Andersonia caerulea,73,34,111,3,
Andersonia lehmanniana,117,0,0,1,SMK
Andersonia sprengelioides,62,35,93,7,
Angianthus acrohyalinus,13,7,19,7,Light
Angianthus drummondii,14,8,20,4,Light
Angianthus tomentosus,13,10,16,6,Light
Anigozanthos bicolor,32,11,47,21,SMK
Anigozanthos flavidus,30,15,48,25,SMK
Anigozanthos gabrielae,44,35,53,5,SMK
Anigozanthos humilis,28,12,50,28,SMK
Anigozanthos manglesii,24,8,36,61,100°C/3h
Anigozanthos manglesii var dark green,35,35,35,1,100°C/3h
Anigozanthos manglesii var  variant,32,27,44,6,100°C/3h
Anigozanthos preissii,37,20,60,15,SMK
Anigozanthos pulcherrimus,32,20,48,29,SMK
Anigozanthos rufus,37,20,81,26,SMK
Anigozanthos viridis,27,11,55,32,SMK
Anisomeles malabarica,28,9,42,7,
Anthobolus foveolatus,46,0,0,1,
Anthobolus leptomerioides,65,0,0,1,
Anthocercis littorea,21,18,38,6,SMK
Anthocercis viscosa,30,20,60,8,SMK
Anthotium rubriflorum,28,25,32,3,
Anthotroche pannosa,37,0,0,1,
Anthotroche walcottii,30,29,49,5,
Aotus ericoides,20,14,25,9,
Aotus passerinoides,24,24,25,2,
Aotus phylicoides,14,0,0,1,
Aotus tietkensii,19,10,27,7,
Aphanopetalum clematideum,28,21,31,5,
Argentipallium niveum,25,11,49,6,
Arnocrinum preissii,63,43,84,2,
Astartea ambigua,34,17,62,6,SMK
Astartea fascicularis,42,26,91,6,SMK
Asteridea athrixioides,15,6,20,3,
Asteridea chaetopoda,20,14,37,5,
Asteridea nivea,17,16,19,2,
Asteridea pulverulenta,16,12,20,5,
Astroloma baxteri,65,51,78,2,SMK
Astroloma ciliatum,60,36,95,9,SMK
Astroloma epacridis,90,0,0,1,SMK
Astroloma macrocalyx,69,0,0,1,SMK
Astroloma microcalyx,69,0,0,1,SMK
Astroloma microdonta,69,0,0,1,SMK
Astroloma serratifolium,69,0,0,1,SMK
Astroloma xerophyllurn,80,0,0,1,SMK
Atriplex bunburyana,16,16,16,1,RB
Atriplex cinerea,15,11,26,2,RB
Atriplex crassipes,21,0,0,1,RB
Atriplex isatidea,33,9,47,8,RB
Atriplex lindleyi subsp. inflata,10,5,16,9,RB
Atriplex nurnrnularia,15,6,35,7,RB
Atriplex paludosa,9,5,15,6,RB
Atriplex purnilio,9,9,12,2,RB
Atriplex sernilunaris,13,7,19,2,RB
Atriplex spongiosa,6,3,15,9,RB
Austrostipa elegantissirna,8,8,8,1,
Austrostipa flavescens,18,18,18,1,100°C/10m
Baeckea behrii,59,0,0,1,SMK
Baeckea camphorosrnae,57,52,62,2,SMK
Baeckea crispiflora,27,20,34,2,SMK
Baeckea elderiana,71,0,0,1,SMK
Baeckea grandiflora,54,0,0,1,SMK
Baeckea latens,24,17,30,2,SMK
Baeckea pachyphylla,56,45,66,2,SMK
Baeckea robusta,55,34,73,5,SMK
Baeckea starninosa,45,0,0,1,SMK
Baeckea stowardii,47,39,57,23,SMK
Baeckea subcuneata,31,18,48,9,SMK
Baeckea tenuifolia,69,68,71,3,SMK
Baeckea tenuirarnea,50,45,56,3,SMK
Baeckea uncinella,57,0,0,1,SMK
Balaustion microphyllum,53,45,61,2,
Balaustion pulcherrirnum,70,0,0,1,
Banksia ashbyi,37,16,61,19,None
Banksia attenuata,33,16,49,17,None
Banksia audax,34,19,46,21,None
Banksia baueri,31,20,49,18,None
Banksia baxteri,25,21,42,18,None
Banksia benthamiana,31,19,42,22,None
Banksia blechnifolia,32,14,49,6,None
Banksia brownii,27,20,50,16,None
Banksia burdettii,31,20,42,22,None
Banksia caleyi,38,23,50,18,None
Banksia candolleana,30,22,35,11,None
Banksia charnaephyton,25,25,25,2,None
Banksia coccinea,35,12,48,22,None
Banksia cuneata,23,23,23,2,None
Banksia dentata,35,32,40,4,None
Banksia dryandroides,55,31,83,18,None
Banksia elderiana,36,31,42,16,None
Banksia elegans,32,19,48,3,None
Banksia epica,30,14,49,4,None
Banksia gardneri,40,21,64,15,None
Banksia gardneri var. hiemalis,19,19,19,1,None
Banksia goodii,30,19,56,7,None
Banksia grandis,28,22,42,16,None
Banksia grossa,14,13,14,2,None
Banksia hookeriana,32,23,49,24,None
Banksia ilicifolia,33,22,41,11,None
Banksia incana,14,14,14,1,None
Banksia integrifolia,36,35,42,4,None
Banksia laevigata,46,39,92,11,None
Banksia laricina,34,19,51,20,None
Banksia lemanniana,39,27,43,13,None
Banksia lind1eyana,26,23,39,13,None
Banksia littoralis,28,20,36,7,None
Banksia lullfitzii,26,26,26,1,None
Banksia media,30,20,46,18,None
Banksia meisneri,32,28,39,15,None
Banksia menziesii,32,26,40,8,None
Banksia menziesii var bronze,31,26,36,2,None
Banksia micrantha,20,19,21,2,None
Banksia nutans,34,19,54,19,None
Banksia nutans var. cernuella,17,17,17,1,None
Banksia occidentalis,31,21,47,16,None
Banksia oligantha,39,37,40,2,None
Banksia oreophila,25,23,27,2,None
Banksia petiolaris,35,18,49,15,None
Banksia pilostylis,29,18,49,16,None
Banksia praemorsa,44,30,49,9,None
Banksia prionotes,27,21,35,16,None
Banksia prionotes x hookeriana,384,384,384,1,None
Banksia pulchella,33,17,48,19,None
Banksia quercifolia,32,25,40,15,None
Banksia repens,45,29,56,17,None
Banksia scabrella,15,14,16,2,None
Banksia sceptrum,34,26,47,13,None
Banksia solandri,51,36,71,19,None
Banksia speciosa,30,27,41,16,None
Banksia sphaerocarpa,32,20,48,20,None
Banksia sphaerocarpa fine leaf,47,47,47,1,None
Banksia sphaerocarpa var. dolichostyla,33,33,33,1,None
Banksia telmatiaea,14,14,14,1,None
Banksia tricuspis,32,18,57,16,None
Banksia verticillata,32,19,49,11,None
Banksia victoriae,28,19,43,17,None
Banksia violacea,34,19,50,21,None
Bauhinia cunninghamii,38,18,88,4,
Beaufortia bracteosa,28,16,50,6,
Beaufortia cyrtodonta,33,15,49,8,
Beaufortia decussata,41,30,48,6,
Beaufortia elegans,18,13,36,19,
Beaufortia empetrifolia,62,62,62,1,
Beaufortia eriocephala,28,19,50,9,
Beaufortia incana,25,16,45,11,
Beaufortia interstans,24,16,51,15,
Beaufortia macrostemon,28,15,45,12,
Beaufortia micrantha,37,22,57,8,
Beaufortia orbifolia,23,18,48,14,
Beaufortia purpurea,23,15,35,11,
Beaufortia schaueri,23,14,48,13,
Beaufortia sparsa,32,7,64,18,
Beaufortia squarrosa,21,10,53,17,
Bellida graminea,13,5,33,14,
Beyeria lechenaultii,33,26,40,2,
Beyeria viscosa,50,28,90,5,
Billardiera bicolor var. lineata,46,37,54,3,SMK
Billardiera floribunda,82,58,97,3,SMK
Billardiera latifolia,90,0,0,1,SMK
Billardiera variifolia,64,44,90,5,SMK
Blancoa canescens,56,37,70,6,SMK
Bonamia oblongifolia,27,27,27,1,
Bonamia pannosa,13,8,18,2,
Bonamia rosea,11,5,28,10,
Boronia alata,56,49,67,6,
Boronia crenulata,43,26,91,10,
Boronia cymosa,47,28,81,4,
Boronia defoliata,95,0,0,1,
Boronia denticulata,40,27,93,11,
Boronia fastigiata,55,33,78,3,
Boronia gracilipes,32,0,0,1,
Boronia heterophylla,38,29,46,6,
Boronia lanuginosa,46,0,0,1,
Boronia megastigma,48,26,95,13,
Boronia molloyae,41,26,62,6,
Boronia pulchella,83,0,0,1,
Boronia purdieana,46,31,93,13,
Boronia ramosa,78,0,0,1,
Boronia scabra,40,30,50,4,
Boronia spathulata,56,35,92,4,
Borya nitida,39,26,63,5,SMK
Borya subulata,40,40,40,1,SMK
Bossiaea aquifolium,34,23,46,13,HW
Bossiaea biloba,26,16,58,11,HW
Bossiaea bossiaeoides,13,8,17,2,HW
Bossiaea dentata,48,44,53,4,HW
Bossiaea disticha,21,14,41,13,HW
Bossiaea eriocarpa,18,8,56,19,HW
Bossiaea linophylla,23,14,40,14,HW
Bossiaea ornata,27,16,39,14,HW
Bossiaea pulchella,29,24,33,10,HW
Bossiaea walkeri,23,15,41,10,HW
Bossiaea webbii,50,50,50,1,HW
Brachychiton australe,16,0,0,2,
Brachychiton gregorii,19,5,51,9,
Brachychiton viscidulum,35,0,0,1,
Brachyscome bellidioides,9,5,20,6,
Brachyscome cheilocarpa,8,20,20,7,
Brachyscome ciliaris,10,4,16,8,
Brachyscome ciliocarpa,20,8,45,8,
Brachyscome iberidifolia,7,3,14,32,
Brachyscome iberidifolia dark blue form,5,5,5,1,
Brachyscome latisquamea,14,6,56,13,
Brachysola coerulea,78,0,0,1,
Brunonia australis,18,5,118,29,SMK
Buchanania obovata,32,0,0,1,
Bulbine semibarbata,24,14,30,5,
Burchardia conjesta,43,24,71,8,None
Burchardia multiflora,48,36,61,3,None
Bursaria occidentalis,31,27,37,4,
Byblis gigantea,35,25,45,6,
Byblis liniflora,18,5,5,2,
Caesia micrantha,50,44,56,2,
Cajanus cinereus,15,8,25,6,
Calandrinia balonensis,30,25,35,2,
Calandrinia creethae,35,0,0,1,
Calandrinia lehmannii,17,8,28,5,
Calandrinia liniflora,22,12,33,5,
Calandrinia papillata,21,21,21,1,
Calandrinia polyandra,15,4,48,21,
Calandrinia quadrivalvis,16,16,16,1,
Calandrinia sp. Kenwick,5,5,5,1,
Calectasia narragara,48,46,49,2,
Callistachys lanceolata,21,14,27,24,
Callistemon glaucus,22,14,34,9,None
Callistemon phoeniceus,22,16,34,17,None
Callitris canescens,35,25,44,2,
Callitris drummondii,40,23,96,6,
Callitris glaucophylla,24,19,35,8,
Callitris preissii,27,21,35,12,
Callitris roei,41,20,70,13,
Callitris tuberculata,31,28,34,3,
Calocephalus francisii,19,6,40,5,
Calocephalus knappii,14,6,16,4,
Calocephalus multiflorus,14,8,31,5,
Calothamnus affinis,37,15,15,2,None
Calothamnus asper,19,11,33,7,None
Calothamnus blepharospermus,17,12,27,12,None
Calothamnus borealis,35,35,35,1,None
Calothamnus chrysantherus,22,11,42,12,None
Calothamnus gibbosus,49,49,49,1,None
Calothamnus gilesii,21,11,25,7,None
Calothamnus gracilis,40,19,50,7,None
Calothamnus homalophyllus,18,10,35,8,None
Calothamnus lateralis,16,12,22,7,None
Calothamnus lehmannii,13,0,0,1,None
Calothamnus longissimus,14,11,15,3,None
Calothamnus oldfieldii,19,11,33,8,None
Calothamnus pachystachyus,16,13,23,7,None
Calothamnus pinifolius,25,14,39,8,None
Calothamnus planifolius,24,13,35,10,None
Calothamnus preissii,18,0,0,1,None
Calothamnus quadrifidus,14,9,22,15,None
Calothamnus rupestris,26,11,36,9,None
Calothamnus sanguineus,16,11,22,12,None
Calothamnus schaueri,16,16,16,1,None
Calothamnus torulosus,16,13,26,8,None
Calothamnus valid us,20,13,31,7,None
Calothamnus villosus,12,11,14,3,None
Calotis hispidula,8,7,9,3,
Calotis multicaulis,11,8,13,2,
Calycopeplus paucifolius,32,16,46,10,
Calytrix acutifolia,37,28,46,6,
Calytrix angulata,39,29,59,9,SMK
Calytrix asperula,67,0,0,1,SMK
Calytrix aurea,55,32,74,9,SMK
Calytrix brevifolia,30,26,35,6,SMK
Calytrix brevifolia subsp. stipulosa,41,41,42,2,SMK
Calytrix depressa,59,35,78,6,SMK
Calytrix exstipulata,57,0,0,1,SMK
Calytrix flavescens,66,44,96,7,SMK
Calytrix fraseri,51,34,73,9,SMK
Calytrix glutinosa,46,35,57,2,SMK
Calytrix gracilis,49,44,53,2,SMK
Calytrix leschenaultii,35,17,73,9,SMK
Calytrix longiflora,79,54,105,2,SMK
Calytrix sapphirina,40,33,51,3,SMK
Calytrix strigosa,39,27,56,5,SMK
Calytrix tetragona,40,28,73,12,SMK
Canavalia ensiformis,25,8,74,4,HW
Canavalia rosea,11,10,12,2,HW
Capparis spinosa,40,0,0,1,
Capparis umbonata,33,0,0,1,
Cardiospermum halicacabum,15,8,33,10,
Cartonema philydroides,29,14,46,6,
Casuarina cristata,18,11,22,6,None
Casuarina obesa,20,17,23,4,None
Centipeda minima,23,8,37,5,Light
Cephalipterum drummondii,10,6,26,15,Light
Cephalipterum drummondii large cream,8,5,14,8,Light
Cephalipterum drummondii large yellow,6,3,10,5,Light
Cephalipterum drummondii small white,9,7,11,2,Light
Cephalipterum drummondii small yellow,11,7,17,3,Light
Cephalotus follicularis,81,73,90,2,
Chamaescilla corymbosa,67,29,106,2,None
Chamaescilla spiralis,62,0,0,1,
Chamelaucium axillare,70,0,0,1,
Chamelaucium ciliatum,61,50,78,3,
Chamelaucium megalopetalum,111,0,0,1,
Chamelaucium uncinatum,39,34,51,4,
Cheiranthera filifolia,41,32,49,4,SMK
Chenopodium gaudichaudianum,13,10,19,3,SMK
Choretrum glomeratum,54,0,0,1,
Chorilaena quercifolia,73,54,103,4,
Chorizema aciculare,23,0,0,1,HW
Chorizema cordatum,25,18,40,20,HW
Chorizema dicksonii,20,12,27,16,HW
Chorizema diversifolium,22,16,58,15,HW
Chorizema glycinifolium,31,0,0,1,HW
Chorizema ilicifolium,23,16,48,19,HW
Chorizema racemosum,15,14,15,2,HW
Chorizema rhombeum,23,0,0,1,HW
Chorizema varium,29,25,32,2,HW
Chorizema varium x ilicifolium,10,10,10,1,HW
Chrysocephalum apiculatum,19,13,33,5,
Chrysocephalum pterochaetum,25,21,28,2,
Chrysocephalum puteale,22,17,27,3,
Clematicissus angustissima,38,30,46,3,
Clematis linearifolia,35,21,80,9,
Clematis pubescens,44,28,61,9,
Cleome tetrandra,48,0,0,1,
Cleome uncifera,11,0,0,1,
Cleome viscosa,26,15,49,11,
Clerodendrum floribundum,44,0,0,1,
Clerodendrum lanceolatum,46,35,63,2,
Clerodendrum tomentosum,29,0,0,1,
Cochlospermum fraseri,30,12,62,3,
Codonocarpus cotinifolius,58,31,84,4,
Comesperma confertum,40,31,49,2,SMK
Comesperma virgatum,53,0,0,l,SMK
Comesperma volubile,57,0,0,l,SMK
Commersonia gaudichaudii,23,20,25,4,SMK
Commicarpus australis,15,9,35,8,
Conospermum acerosum,40,35,44,2,SMK
Conospermum amoenum,30,21,42,6,SMK
Conospermum bracteosum,68,0,0,1,SMK
Conospermum brownii,64,34,110,4,SMK
Conospermum caeruleum,39,38,40,2,SMK
Conospermum densiflorum,61,0,0,l,SMK
Conospermum distichum,29,19,66,9,SMK
Conospermum flexuosum,32,28,35,2,SMK
Conospermum glumaceum,40,31,56,8,SMK
Conospermum huegelii,50,9,73,3,SMK
Conospermum incurvum,31,19,58,10,SMK
Conospermum leianthum,47,47,47,1,SMK
Conospermum nervosum,73,0,0,1,SMK
Conospermum polycephalum,36,0,0,1,SMK
Conospermum rassinervium,37,23,53,9,SMK
Conospermum stoechadis,26,17,41,19,SMK
Conospermum teretifolium,53,0,0,1,SMK
Conospermum triplinervium,21,17,28,18,SMK
Conospermum undulatum,75,75,75,1,SMK
Conostylis aculeata,29,11,57,20,SMK
Conostylis aculeata subsp. bromelioides,34,34,34,1,SMK
Conostylis aculeata subsp. preissii,30,23,51,12,SMK
Conostylis bracteata,26,23,29,4,SMK
Conostylis candicans,26,9,36,14,SMK
Conostylis candicans x aculeata,37,34,39,2,SMK
Conostylis dielsii subsp. teres,14,14,14,1,SMK
Conostylis micrantha,48,48,48,1,SMK
Conostylis pauciflora,34,34,34,1,SMK
Conostylis prolifera,51,48,54,2,SMK
Conostylis serrulata,45,0,0,1,SMK
Conostylis setigera,31,22,56,6,SMK
Conostylis setosa,45,28,70,11,SMK
Conostylis stylidioides,26,20,32,7,SMK
Conothamnus trinervis,23,16,30,9,
Convolvulus erubescens,8,5,18,10,
Coopernookia polygalacea,68,46,90,2,
Coopernookia strophiolata,62,36,90,2,
Corchorus walcottii,32,14,49,6,
Corymbia calophylla,13,6,25,23,None
Corymbia calophylla red form ,14,8,17,3,None
Corymbia chippendalei,17,17,17,1,None
Corymbia dichromophloia,16,11,21,2,None
Corymbia ficifolia,18,6,24,11,None
Corymbia haematoxylon,18,12,28,7,
Corymbia ptychocarpa,19,18,19,3,None
Cosmelia rubra ,35,21,44,4,
Corymbia zygophylla,18,15,21,2,None
Cotula bipinnata,11,8,14,6,
Cotula coronopifolia,9,4,11,9,
Cotula cotuloides,17,4,25,17,
Craspedia variabilis,13,11,19,4,
Crassula colorata,14,0,0,1,
Cratystylis subspinescens,18,0,0,1,
Croninia kingiana,74,0,0,1,SMK
Crotalaria crispata,11,7,15,2,HW
Crotalaria cunninghamii,9,6,20,19,HW
Crotalaria dissitiflora,7,0,0,1,HW
Crotalaria laburnifolia,4,4,4,1,HW
Crotalaria medicaginea,4,4,4,1,HW
Crotalaria novae-hollandiae,10,5,36,26,HW
 Crotalaria retusa,8,4,14,17,HW
Crotalaria verrucosa,13,7,18,10,HW
Crowea angustifolia,77,57,90,6,
Cryptandra arbutiflora,22,18,26,2,HW
Cucumis trigonis,57,50,63,2,
Cullen badocanum,7,7,7,1,
Cullen cinereum,9,0,0,1,
Cullen lachnostachys,11,3,35,13,
Cullen leucanthum,13,6,18,16,
Cullen martinii,9,4,14,10,
Cullen plumosum,9,0,0,1,
Cullen pustulatum,11,6,13,13,
Cyanostegia angustifolia,64,13,122,3,
Cyanostegia lanceolata,58,0,0,1,
Cymbopogon ambiguus,3,3,3,1,
Cymbopogon obtectus,4,4,4,1,
Cymbopogon procerus,7,3,21,8,
Cynanchum floribundum,31,19,42,7,
Dampiera eriocephala,65,42,111,3,
Dampiera incana,49,49,49,1,
Dampiera spicigera,103,82,123,2,
Dampiera wellsiana,46,16,73,9,
Darwinia carnea,77,0,0,1,
Darwinia citriodora,43,21,67,6,
Darwinia diosmoides,39,27,50,4,
Darwinia helichrysoides,43,0,0,1,
Darwinia macrostegia,8,0,0,1,
Darwinia neildiana,63,35,96,7,
Darwinia oldfieldii,41,34,48,7,
Darwinia pinifolia,53,22,89,4,
Darwinia purpurea,37,24,50,2,
Darwinia thymoides,44,34,53,2,
Darwinia virescens,47,0,0,1,
Dasypogon bromeliifolius,88,0,0,1,
Datura leichhardtii,37,15,55,4,
Daucus glochidiatus,19,0,0,1,
Daviesia alternifolia,96,0,0,1,HW
Daviesia brevifolia,26,22,29,2,HW
