"","species","tree","context","location","state","country","vessel_area_per_image","distance_from_apex","sapwood_density","sapwood_density_stdev","lat","lon","elevation","image","vessels_per_image","vessels_per_tree","vessel_area","image_area","vessel_density_per_tree","void.wood_ratio_per_tree","vessel_diameter","Dh_per_tree","D_800","tree_height","T_min","T_max","P","P_min","P_max","E","E_min","E_max","AI"
"53","Eucalyptus microcarpa",2,"sampled 800 cm below the tree apex","Pyrenees State Forest","VIC","Australia","218072.7823","800","N/A","N/A",-36.66,143.3,261,2.04117647058824,30.7411764705882,87.3058823529412,7609.52418189294,1459741.40988235,1993.63735428824,14.6306393070588,91.0759454991177,121.756502633529,22.66,1920,19.23,22.27,502.14,201.9,902.2,1159.31082352941,1021.2,1300.9,0.44
"54","Eucalyptus microcarpa",3,"sampled 800 cm below the tree apex","Pyrenees State Forest","VIC","Australia","182588.5772","800","N/A","N/A",-36.66,143.3,261,1.96575342465753,25.6849315068493,73.4931506849315,8361.25934297055,1459741.12438356,1678.22306127397,13.8639055443836,97.3691039571233,126.199854280822,25.2630136986301,1910,19.23,22.27,502.14,201.9,902.2,1158.85452054795,1021.2,1300.9,0.44
"55","Eucalyptus obliqua",1,"sampled 800 cm below the tree apex","Black Range State Forest","VIC","Australia","1113741.086","800","N/A","N/A",-37.34,145.6,753,2.03284671532847,46.9197080291971,139.63503649635,22099.8728101839,5838949.52,797.147020943796,17.5266899727007,158.010059891241,208.288260186131,37.9656934306569,4065,14.47,17.72,1245.97,696.4,1809.6,929.638540145985,810.1,1054.9,1.35
"56","Eucalyptus obliqua",2,"sampled 800 cm below the tree apex","Black Range State Forest","VIC","Australia","166376.5616","800","N/A","N/A",-37.34,145.6,753,1.91764705882353,14.7411764705882,43.2117647058824,11464.6323734988,1459737.39129412,986.747454874118,11.1277246691765,114.155303664471,145.51077506,29.3141176470588,3650,14.47,17.72,1245.97,696.4,1809.6,929.590823529412,810.1,1054.9,1.35
"57","Eucalyptus obliqua",3,"sampled 800 cm below the tree apex","Black Range State Forest","VIC","Australia","158647.593","800","N/A","N/A",-37.34,145.6,753,1.94444444444444,12.4722222222222,36.0277777777778,15761.0508630861,1459747.71944444,822.694161463889,12.9318992108333,130.386167601806,187.626855084722,33.5,3720,14.47,17.72,1245.97,696.4,1809.6,929.067916666667,810.1,1054.9,1.35
"58","Eucalyptus obliqua_Creswick",1,"sampled 130 cm abut the tree base","Creswick Forest","VIC","Australia","721564.7723","N/A","0.64","0.061",-37.45,143.93,565,2.09150326797386,51.797385620915,153,15781.8631305719,5838990.96,873.4385847,13.7844882,129.259607843137,188.5238591,34.8,NA,15.61,18.69,753.39,380.1,1121,952.65,811.8,1109.4,0.79
"59","Eucalyptus obliqua_Creswick",2,"sampled 130 cm abut the tree base","Creswick Forest","VIC","Australia","564066.0558","N/A","0.64","0.061",-37.45,143.93,565,1.99166666666667,40.0166666666667,120,13691.9508377683,5838977.15,685.0514906,9.37969133,122.710166666667,179.1533774,37.2,NA,15.61,18.69,753.39,380.1,1121,952.65,811.8,1109.4,0.79
"60","Eucalyptus obliqua_Creswick",3,"sampled 130 cm abut the tree base","Creswick Forest","VIC","Australia","733037.6623","N/A","0.64","0.061",-37.45,143.93,565,1.88888888888889,36.8888888888889,108,21042.7787144935,5838977.15,616.5463415,12.97384823,153.846574074074,201.8956494,57.4,NA,15.61,18.69,753.39,380.1,1121,952.65,811.8,1109.4,0.79
"61","Eucalyptus patens",1,"sampled 130 cm abut the tree base","31 Mile Brook","WA","Australia","1131435.991","N/A","0.63","0.016",-32.25,116.15,360,1.95541401273885,52.4904458598726,157,19939.9761337701,5838977.15,896.2757002,17.87171607,153.837197452229,180.2338629,44.6,2100,20.34,23.7,1211.96,696.6,2037.9,1263.57,1088.9,1396.6,0.96
"62","Eucalyptus patens",2,"sampled 130 cm abut the tree base","31 Mile Brook","WA","Australia","1066653.968","N/A","0.63","0.016",-32.25,116.15,360,1.95541401273885,52.8726114649682,157,19301.9319344707,5838977.15,896.2757002,17.29985256,148.946942675159,188.1159692,29.9,1550,20.34,23.7,1211.96,696.6,2037.9,1263.57,1088.9,1396.6,0.96
